dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,0,183.122,0,0.07208,51.509,234.812,234.703
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,1,0.055616,0,0.05954,0.01168,0.177939,0.126836
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,2,0.033568,0,0.05112,0.009856,0.127419,0.094544
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,3,0.035328,0,0.055169,0.00752,0.137809,0.098017
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,4,0.035968,0,0.05499,0.008896,0.139298,0.099854
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,5,0.035456,0,0.05489,0.009056,0.137399,0.099402
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,6,0.036,0,0.05471,0.008096,0.136459,0.098806
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,7,0.040544,0,0.05437,0.008,0.145468,0.102914
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,8,0.03568,0,0.05549,0.008416,0.140329,0.099586
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,9,0.036,0,0.05542,0.009024,0.141089,0.100444
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,10,0.035872,0,0.05503,0.00912,0.140908,0.100022
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,11,0.035072,0,0.05471,0.00832,0.138638,0.098102
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,12,0.037184,0,0.054898,0.009344,0.141709,0.101426
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,13,0.039328,0,0.05556,0.00912,0.144809,0.104008
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,14,0.033856,0,0.05525,0.008352,0.136259,0.097458
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,15,0.036512,0,0.05494,0.008768,0.137438,0.10022
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,16,0.034272,0,0.05447,0.009408,0.137788,0.09815
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,17,0.035616,0,0.054829,0.009696,0.138289,0.100141
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,18,0.03728,0,0.05458,0.00736,0.139749,0.09922
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,19,0.036544,0,0.055069,0.008032,0.138669,0.099645
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,20,0.033024,0,0.05122,0.010336,0.126789,0.09458
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,21,0.034304,0,0.05527,0.008288,0.138148,0.097862
2,double,uniform,CPU,"Ds | Ds | Ds | Ds",64,22,0.032992,0,0.05411,0.008224,0.133039,0.095326
