dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,36,0.239296,0.001661,0.068079,0.035104,0.474685,0.34414
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,37,0.245472,0.00184,0.067179,0.035456,0.480815,0.349947
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,38,0.247232,0.0017,0.06739,0.035456,0.482484,0.351778
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,39,0.23696,0.001729,0.067039,0.035808,0.473025,0.341536
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,40,0.239072,0.0016,0.067529,0.03472,0.473785,0.342921
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,41,0.239392,0.00171,0.068719,0.034976,0.473644,0.344797
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,42,0.236448,0.001709,0.149799,0.035264,0.553474,0.42322
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,43,0.240416,0.00153,0.067548,0.036928,0.475865,0.346422
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,44,0.245152,0.00161,0.067159,0.03376,0.479124,0.347681
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,45,0.246496,0.001579,0.068039,0.034368,0.482515,0.350482
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,46,0.238176,0.00158,0.07014,0.035456,0.476735,0.345352
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,47,0.23296,0.00175,0.065289,0.035968,0.459945,0.335967
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,48,0.236512,0.00161,0.06805,0.033984,0.471395,0.340156
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,49,0.253472,0.0016,0.067339,0.033728,0.488405,0.356139
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,50,0.235008,0.00161,0.06804,0.035584,0.469945,0.340242
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,51,0.33696,0.00156,0.06778,0.034944,0.572574,0.441244
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,52,0.324864,0.001669,0.06814,0.036,0.562864,0.430673
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,53,0.238816,0.001611,0.067549,0.035648,0.476725,0.343624
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,54,0.248384,0.00169,0.066819,0.033984,0.483835,0.350877
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,55,0.234272,0.00182,0.068439,0.034496,0.471415,0.339027
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,56,0.245472,0.001749,0.06768,0.035648,0.484075,0.350549
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,57,0.235328,0.00158,0.06763,0.034336,0.469485,0.338874
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,58,0.236992,0.00165,0.067969,0.033664,0.472084,0.340275
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,59,0.238656,0.001651,0.071709,0.034176,0.479005,0.346192
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,60,0.238464,0.001659,0.067609,0.03424,0.473945,0.341972
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,61,0.326976,0.001539,0.067619,0.03376,0.561024,0.429894
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,62,0.233216,0.001761,0.067359,0.03472,0.467595,0.337056
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,63,0.24528,0.001599,0.067229,0.035392,0.481755,0.3495
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,64,0.239136,0.001541,0.068039,0.035232,0.474375,0.343948
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,65,0.23776,0.00164,0.067559,0.033568,0.472155,0.340527
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,66,0.235968,0.00162,0.06746,0.03504,0.471765,0.340088
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,67,0.237728,0.00157,0.06788,0.035488,0.474095,0.342666
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,68,0.247136,0.00153,0.06784,0.035744,0.482815,0.35225
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,69,0.241568,0.00184,0.06766,0.035584,0.479345,0.346652
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,70,0.237696,0.001582,0.063799,0.036096,0.461806,0.339173
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,71,0.239808,0.00173,0.133568,0.03456,0.541195,0.409666
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,72,0.244896,0.0016,0.06755,0.034752,0.481055,0.348798
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,73,0.238016,0.00157,0.06862,0.034208,0.473165,0.342414
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,74,0.24384,0.00165,0.06743,0.034208,0.478365,0.347128
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,0,1.82826,0.001991,0.316898,0.067968,2.46431,2.21511
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,1,1.53536,0.00214,0.311957,0.068352,2.16583,1.91781
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,2,1.54138,0.00207,0.306367,0.067072,2.13961,1.91689
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,3,1.54685,0.00202,0.311686,0.066176,2.14914,1.92673
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,4,1.53043,0.00166,0.306877,0.066176,2.12915,1.90514
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,5,1.52032,0.00179,0.307507,0.065504,2.15847,1.89512
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,6,1.50346,0.0018,0.307447,0.065408,2.10414,1.87811
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,7,1.52323,0.001901,0.306778,0.065696,2.11936,1.89761
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,8,1.50262,0.001629,0.307617,0.066048,2.10008,1.87792
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,9,1.52883,0.00168,0.306386,0.066016,2.12277,1.90291
