dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,0,0.189632,0.00299,0.112759,200.948,201.359,201.253
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,1,0.1544,0.00169,0.058279,0.01312,0.271767,0.227489
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,2,0.146592,0.00149,0.04745,0.009952,0.250567,0.205484
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,3,0.143968,0.00158,0.0461,0.00848,0.244177,0.200128
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,4,0.142688,0.001549,0.045399,0.009152,0.240748,0.198788
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,5,0.144096,0.001489,0.04453,0.008032,0.240657,0.198147
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,6,0.140704,0.00172,0.045009,0.008096,0.239188,0.195529
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,7,0.143744,0.001569,0.053469,0.008864,0.250487,0.207646
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,8,0.14848,0.00151,0.04641,0.010688,0.249237,0.207088
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,9,0.14976,0.001469,0.041519,0.01072,0.241618,0.203468
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,10,0.141312,0.001589,0.04611,0.008768,0.239978,0.197779
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,11,0.139776,0.001499,0.044639,0.009536,0.238547,0.19545
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,12,0.140992,0.00153,0.044979,0.008064,0.238247,0.195565
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,13,0.141024,0.001521,0.04645,0.008448,0.241277,0.197443
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,14,0.141664,0.00144,0.046549,0.00832,0.241367,0.197973
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,15,0.142176,0.001539,0.04747,0.008288,0.243077,0.199473
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,16,0.143456,0.00157,0.044679,0.008032,0.240207,0.197737
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,17,0.140736,0.00156,0.045609,0.009504,0.239507,0.197409
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,18,0.140928,0.00149,0.045269,0.008192,0.239048,0.195879
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,19,0.13888,0.00152,0.046769,0.008416,0.239207,0.195585
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,20,0.139104,0.00157,0.04557,0.008768,0.240587,0.195012
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,21,0.142016,0.001589,0.04543,0.009152,0.242437,0.198187
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,22,0.139584,0.00163,0.04511,0.010816,0.237707,0.19714
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,23,0.140352,0.001522,0.04528,0.017728,0.247028,0.204882
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,24,0.14192,0.001519,0.045739,0.008,0.240397,0.197178
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,25,0.143328,0.00169,0.045821,0.00992,0.243707,0.200759
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,26,0.142816,0.00152,0.045199,0.009888,0.241577,0.199423
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,27,0.14192,0.00154,0.045369,0.010144,0.240007,0.198973
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,28,0.141312,0.00154,0.040729,0.011232,0.233287,0.194813
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,29,0.142144,0.00153,0.04556,0.0088,0.241787,0.198034
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,30,0.142656,0.001519,0.050098,0.00848,0.246167,0.202753
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,31,0.140576,0.00162,0.04519,0.008864,0.239567,0.19625
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,32,0.13952,0.001599,0.04515,0.009728,0.238257,0.195997
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,33,0.140672,0.00155,0.048269,0.009568,0.242877,0.200059
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,34,0.140032,0.00154,0.040218,0.010912,0.234327,0.192702
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,35,0.141728,0.0015,0.045289,0.008608,0.238957,0.197125
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,36,0.143904,0.001481,0.04559,0.008672,0.242897,0.199647
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,37,0.141664,0.001541,0.045249,0.009696,0.241428,0.19815
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,38,0.144704,0.00147,0.04873,0.009984,0.245937,0.204888
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,39,0.138976,0.00148,0.041298,0.011104,0.231587,0.192858
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,40,0.139744,0.00155,0.044639,0.010048,0.238987,0.195981
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,41,0.143808,0.001491,0.04616,0.009536,0.241818,0.200995
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,42,0.141248,0.00168,0.046819,0.008928,0.246217,0.198675
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,43,0.141344,0.00151,0.04522,0.010112,0.241297,0.198186
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,44,0.140288,0.001521,0.045269,0.009152,0.239727,0.19623
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,45,0.141152,0.00158,0.046431,0.008704,0.251988,0.197867
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,46,0.14576,0.00152,0.04493,0.00896,0.244167,0.20117
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,47,0.140384,0.00152,0.04522,0.008608,0.238078,0.195732
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,48,0.142624,0.00162,0.045659,0.009312,0.243448,0.199215
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,49,0.14144,0.001501,0.04451,0.01056,0.240547,0.198011
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,50,0.143744,0.0015,0.04553,0.008928,0.249787,0.199702
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,51,0.324544,0.001621,0.049239,0.008992,0.427855,0.384396
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,52,0.138816,0.001581,0.04523,0.009984,0.237958,0.195611
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,53,0.142176,0.0014,0.045449,0.011168,0.243927,0.200193
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,54,0.152416,0.001441,0.046949,0.009088,0.257126,0.209894
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,55,0.14336,0.00157,0.045659,0.0096,0.243007,0.200189
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,56,0.142272,0.00179,0.04524,0.00912,0.241517,0.198422
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,57,0.141472,0.00169,0.045359,0.008704,0.239777,0.197225
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,58,0.139072,0.00168,0.04536,0.008384,0.238338,0.194496
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,59,0.142784,0.00147,0.047319,0.009792,0.242867,0.201365
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,60,0.145088,0.00157,0.04696,0.00944,0.245927,0.203058
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,61,0.140736,0.00153,0.045469,0.00752,0.237777,0.195255
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,62,0.145024,0.001479,0.047939,0.009088,0.247938,0.20353
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,63,0.14704,0.001589,0.044749,0.008192,0.246808,0.20157
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,64,0.143616,0.00153,0.045219,0.009312,0.240967,0.199677
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,65,0.142656,0.00154,0.04727,0.008864,0.241657,0.20033
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,66,0.143232,0.00152,0.044929,0.009984,0.242728,0.199665
3,float,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,67,0.390976,0.00155,0.04678,0.008768,0.491574,0.448074
