dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,40,0.147328,0.001581,0.04257,0.012992,0.258777,0.204471
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,41,0.147936,0.00148,0.042169,0.012992,0.259397,0.204577
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,42,0.149824,0.001529,0.04166,0.013216,0.257967,0.206229
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,43,0.15696,0.00169,0.042758,0.011776,0.268607,0.213184
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,44,0.149216,0.00152,0.041539,0.010912,0.257508,0.203187
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,45,0.146016,0.001509,0.04197,0.013184,0.256107,0.202679
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,46,0.15104,0.001561,0.251608,0.01376,0.471074,0.417969
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,47,0.1528,0.00169,0.04154,0.012992,0.262007,0.209022
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,48,0.148768,0.00144,0.04251,0.012288,0.259217,0.205006
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,49,0.150496,0.00156,0.045739,0.01296,0.265058,0.210755
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,50,0.149312,0.001501,0.0424,0.01344,0.257918,0.206653
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,51,0.149952,0.00154,0.042549,0.01376,0.261397,0.207801
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,52,0.145888,0.00166,0.035949,0.01568,0.243807,0.199177
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,53,0.1536,0.00151,0.04144,0.012992,0.263277,0.209542
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,54,0.149664,0.00157,0.042028,0.013056,0.260007,0.206318
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,55,0.148256,0.00153,0.042719,0.01296,0.264757,0.205465
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,56,0.151392,0.001521,0.0416,0.012768,0.263037,0.207281
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,57,0.151872,0.00148,0.04206,0.012064,0.260697,0.207476
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,58,0.15088,0.001631,0.042081,0.011936,0.259348,0.206528
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,59,0.152288,0.001509,0.041718,0.012864,0.262427,0.208379
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,60,0.147424,0.00148,0.041659,0.01344,0.256437,0.204003
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,61,0.156352,0.00155,0.042319,0.011232,0.266028,0.211453
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,62,0.151424,0.00152,0.04159,0.013312,0.261197,0.207846
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,63,0.150656,0.001509,0.042518,0.01392,0.261487,0.208603
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,64,0.15136,0.00149,0.04221,0.012768,0.450615,0.207828
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,65,0.149888,0.00154,0.042549,0.011584,0.259827,0.205561
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,66,0.14752,0.00152,0.041659,0.013152,0.257817,0.203851
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,67,0.1552,0.001539,0.041869,0.0128,0.263897,0.211408
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,68,0.149504,0.0017,0.042399,0.01136,0.261857,0.204963
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,69,0.150048,0.00149,0.04195,0.012192,0.258977,0.20568
