dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | P | P",64,48,0.227968,0,0.091089,0.029664,0.388255,0.348721
3,double,uniform,CPU,"P | P | P | P | P | P",64,49,0.232832,0,0.091209,0.030176,0.398735,0.354217
3,double,uniform,CPU,"P | P | P | P | P | P",64,50,0.236704,0,0.094678,0.026784,0.409466,0.358166
3,double,uniform,CPU,"P | P | P | P | P | P",64,51,0.235488,0,0.096209,0.02752,0.407875,0.359217
3,double,uniform,CPU,"P | P | P | P | P | P",64,52,0.23632,0,0.095309,0.02944,0.420366,0.361069
3,double,uniform,CPU,"P | P | P | P | P | P",64,53,0.23312,0,0.095268,0.027904,0.405456,0.356292
3,double,uniform,CPU,"P | P | P | P | P | P",64,54,0.23216,0,0.095459,0.025408,0.404016,0.353027
3,double,uniform,CPU,"P | P | P | P | P | P",64,55,0.23136,0,0.092088,0.029536,0.394196,0.352984
3,double,uniform,CPU,"P | P | P | P | P | P",64,56,0.233248,0,0.095568,0.02672,0.404905,0.355536
3,double,uniform,CPU,"P | P | P | P | P | P",64,57,0.240736,0,0.09541,0.029024,0.415495,0.36517
3,double,uniform,CPU,"P | P | P | P | P | P",64,58,0.23264,0,0.09537,0.029344,0.407765,0.357354
3,double,uniform,CPU,"P | P | P | P | P | P",64,59,0.241952,0,0.095319,0.02672,0.414235,0.363991
3,double,uniform,CPU,"P | P | P | P | P | P",64,60,0.232128,0,0.095638,0.027488,0.406546,0.355254
3,double,uniform,CPU,"P | P | P | P | P | P",64,61,0.235232,0,0.095699,0.027712,0.523854,0.358643
3,double,uniform,CPU,"P | P | P | P | P | P",64,62,0.231872,0,0.095059,0.026848,0.402265,0.353779
3,double,uniform,CPU,"P | P | P | P | P | P",64,63,0.23472,0,0.095438,0.02768,0.409506,0.357838
3,double,uniform,CPU,"P | P | P | P | P | P",64,64,0.233632,0,0.095969,0.02624,0.405775,0.355841
3,double,uniform,CPU,"P | P | P | P | P | P",64,65,0.234048,0,0.095409,0.02512,0.406385,0.354577
3,double,uniform,CPU,"P | P | P | P | P | P",64,66,0.23328,0,0.0955,0.025248,0.404695,0.354028
3,double,uniform,CPU,"P | P | P | P | P | P",64,67,0.23232,0,0.095459,0.02576,0.403106,0.353539
3,double,uniform,CPU,"P | P | P | P | P | P",64,68,0.235936,0,0.244187,0.030048,0.558204,0.510171
3,double,uniform,CPU,"P | P | P | P | P | P",64,69,0.230208,0,0.09531,0.0272,0.402415,0.352718
3,double,uniform,CPU,"P | P | P | P | P | P",64,70,0.237568,0,0.095108,0.026784,0.408726,0.35946
3,double,uniform,CPU,"P | P | P | P | P | P",64,71,0.231808,0,0.0952,0.02512,0.401535,0.352128
3,double,uniform,CPU,"P | P | P | P | P | P",64,72,0.359072,0,0.095019,0.024928,0.530144,0.479019
3,double,uniform,CPU,"P | P | P | P | P | P",64,73,0.234976,0,0.095178,0.02848,0.407736,0.358634
3,double,uniform,CPU,"P | P | P | P | P | P",64,74,0.2336,0,0.095098,0.027424,0.406896,0.356122
3,double,uniform,CPU,"P | P | P | P | P | P",128,0,1.53872,0,0.475745,0.118752,2.20103,2.13322
3,double,uniform,CPU,"P | P | P | P | P | P",128,1,1.52198,0,0.473204,0.101728,2.15063,2.09692
3,double,uniform,CPU,"P | P | P | P | P | P",128,2,1.57293,0,0.476844,0.118496,2.24467,2.16827
3,double,uniform,CPU,"P | P | P | P | P | P",128,3,1.5471,0,0.476715,0.11824,2.21808,2.14206
3,double,uniform,CPU,"P | P | P | P | P | P",128,4,1.51706,0,0.473445,0.10208,2.14562,2.09258
3,double,uniform,CPU,"P | P | P | P | P | P",128,5,1.52378,0,0.471665,0.1016,2.14603,2.09704
3,double,uniform,CPU,"P | P | P | P | P | P",128,6,1.56976,0,0.472295,0.103424,2.1993,2.14548
3,double,uniform,CPU,"P | P | P | P | P | P",128,7,1.5287,0,0.472665,0.102816,2.1553,2.10419
3,double,uniform,CPU,"P | P | P | P | P | P",128,8,1.58778,0,0.472096,0.097984,2.20987,2.15786
3,double,uniform,CPU,"P | P | P | P | P | P",128,9,1.51405,0,0.472395,0.101984,2.1464,2.08843
3,double,uniform,CPU,"P | P | P | P | P | P",128,10,1.5287,0,0.472775,0.1008,2.15425,2.10228
3,double,uniform,CPU,"P | P | P | P | P | P",128,11,1.51962,0,0.472974,0.100704,2.14764,2.09329
3,double,uniform,CPU,"P | P | P | P | P | P",128,12,1.60038,0,0.469595,0.104096,2.22252,2.17407
3,double,uniform,CPU,"P | P | P | P | P | P",128,13,1.54822,0,0.472644,0.101632,2.17509,2.1225
3,double,uniform,CPU,"P | P | P | P | P | P",128,14,1.58298,0,0.472634,0.101728,2.20928,2.15734
