dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,38,0.14096,0.00153,0.045949,0.010304,0.240317,0.198743
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,39,0.143168,0.001429,0.04499,0.009376,0.241667,0.198963
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,40,0.14208,0.00151,0.04587,0.008992,0.241837,0.198452
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,41,0.142112,0.00154,0.044991,0.01024,0.241747,0.198883
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,42,0.142624,0.00163,0.045689,0.008832,0.240487,0.198775
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,43,0.142272,0.001691,0.04561,0.01024,0.245288,0.199813
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,44,0.144352,0.00148,0.04676,0.009152,0.246188,0.201744
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,45,0.141376,0.00148,0.04607,0.00736,0.240477,0.196286
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,46,0.141952,0.001471,0.045909,0.009344,0.241087,0.198676
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,47,0.150272,0.0015,0.045689,0.009664,0.251597,0.207125
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,48,0.143584,0.00161,0.0462,0.009472,0.243027,0.200866
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,49,0.14208,0.00137,0.047598,0.0096,0.244057,0.200648
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,50,0.148512,0.001411,0.04589,0.009088,0.248657,0.204901
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,51,0.142624,0.00143,0.046639,0.009824,0.244807,0.200517
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,52,0.140992,0.00149,0.045589,0.00848,0.240117,0.196551
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,53,0.141408,0.001539,0.046429,0.009536,0.241997,0.198912
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,54,0.140864,0.00153,0.04652,0.009408,0.240267,0.198322
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,55,0.14224,0.00141,0.046429,0.008928,0.242457,0.199007
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,56,0.141536,0.00143,0.046561,0.009664,0.242028,0.199191
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,57,0.141952,0.00149,0.046859,0.008384,0.242667,0.198685
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,58,0.13984,0.00149,0.046399,0.009056,0.241008,0.196785
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,59,0.140864,0.001561,0.0451,0.009472,0.239458,0.196997
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,60,0.139776,0.00172,0.04564,0.008864,0.237378,0.196
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,61,0.14752,0.00144,0.048069,0.009888,0.250417,0.206917
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,62,0.142656,0.00145,0.04851,0.007712,0.244237,0.200328
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,63,0.141472,0.001479,0.046418,0.007904,0.240037,0.197273
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,64,0.140352,0.00141,0.044839,0.010464,0.239767,0.197065
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,65,0.14192,0.001459,0.045399,0.008992,0.245538,0.19777
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,66,0.145824,0.0015,0.045581,0.009568,0.242937,0.202473
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,67,0.141664,0.00153,0.04524,0.009664,0.240088,0.198098
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,68,0.140928,0.0017,0.045319,0.00976,0.240498,0.197707
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,69,0.143328,0.0017,0.045969,0.0088,0.331236,0.199797
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,70,0.141664,0.00146,0.04643,0.009248,0.244447,0.198802
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,71,0.140128,0.00146,0.045399,0.008448,0.238178,0.195435
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,72,0.150656,0.00157,0.045519,0.009024,0.249807,0.206769
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,73,0.141824,0.00163,0.045429,0.00944,0.242088,0.198323
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,74,0.141088,0.00159,0.046799,0.008256,0.242137,0.197733
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,0,0.810784,0.00197,0.081808,0.025248,0.969889,0.91981
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,1,0.828864,0.00206,0.093489,0.0272,1.01779,0.951613
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,2,0.835744,0.002031,0.093358,0.026976,1.02615,0.958109
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,3,0.814208,0.00151,0.075378,0.018656,0.95432,0.909752
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,4,0.810336,0.00158,0.075749,0.01968,0.950619,0.907345
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,5,0.81136,0.00158,0.07487,0.019232,0.950959,0.907042
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,6,0.806304,0.00163,0.075149,0.019808,0.945179,0.902891
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,7,0.799296,0.00171,0.103289,0.02,0.967079,0.924295
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,8,0.81616,0.00152,0.076518,0.020608,0.959299,0.914806
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,9,0.807808,0.00156,0.074869,0.020256,0.947289,0.904493
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,10,0.808768,0.00164,0.075578,0.021728,0.953209,0.907714
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,11,0.82144,0.00164,0.07756,0.021216,0.966759,0.921856
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,12,0.8072,0.00152,0.076489,0.020224,0.949499,0.905433
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,13,0.810368,0.00152,0.07599,0.018624,0.950589,0.906502
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,14,0.810688,0.00151,0.075259,0.020256,0.951159,0.907713
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,15,0.819008,0.001671,0.078069,0.020256,0.964019,0.919004
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,16,0.813632,0.00151,0.075169,0.019136,0.953819,0.909447
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,17,0.811872,0.00153,0.0773,0.019488,0.955739,0.91019
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,18,0.816864,0.001709,0.075047,0.01872,0.956429,0.91234
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,19,0.81216,0.00153,0.076308,0.019424,0.95327,0.909422
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,20,0.80928,0.00151,0.07655,0.019456,0.957819,0.906796
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,21,0.81328,0.00184,0.07521,0.01904,0.952849,0.90937
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,22,0.814304,0.00158,0.07512,0.018848,0.954039,0.909852
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,23,0.80768,0.001671,0.078618,0.020768,0.951389,0.908737
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,24,0.918208,0.00173,0.076769,0.02112,1.06454,1.01783
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,25,0.873376,0.001641,0.075688,0.01712,1.01398,0.967825
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,26,0.814912,0.001569,0.075099,0.02096,0.95855,0.91254
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,27,0.801088,0.00171,0.06933,0.021696,0.930929,0.893824
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,28,0.818912,0.00154,0.076959,0.019232,0.960109,0.916643
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,29,0.909984,0.001491,0.075358,0.019072,1.05076,1.00591
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,30,0.867136,0.00152,0.075578,0.020992,1.00748,0.965226
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,31,0.809088,0.00153,0.075669,0.018432,0.948639,0.904719
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,32,0.815648,0.001559,0.076368,0.020224,0.958759,0.913799
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,33,0.889792,0.00157,0.078179,0.01888,1.0348,0.988421
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,34,0.813088,0.00152,0.074548,0.02,0.952199,0.909156
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,35,0.804928,0.00172,0.082339,0.020064,0.952269,0.909051
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,36,0.81504,0.00154,0.07619,0.019648,0.957699,0.912418
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,37,0.803968,0.00149,0.08124,0.0192,0.949679,0.905898
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,38,0.821984,0.001491,0.07506,0.019168,0.961499,0.917703
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,39,0.81632,0.00166,0.07508,0.020416,0.957009,0.913476
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,40,0.809152,0.00172,0.075078,0.020832,0.95268,0.906782
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,41,0.844928,0.0015,0.076999,0.019488,0.989569,0.942915
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,42,0.846912,0.00158,0.07512,0.018976,0.984309,0.942588
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,43,0.878368,0.001671,0.07517,0.0208,1.02275,0.976009
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,44,0.80752,0.0015,0.151257,0.019584,1.02392,0.979861
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,45,0.812224,0.001599,0.075769,0.01824,0.95304,0.907832
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,46,0.812768,0.0015,0.076029,0.019488,0.953169,0.909785
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,47,0.816704,0.001532,0.075249,0.020512,0.956899,0.913997
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,48,0.812576,0.00152,0.077699,0.018176,0.952429,0.909971
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,49,0.928672,0.001539,0.0757,0.020064,1.07118,1.02597
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,50,0.813184,0.00155,0.076018,0.020032,0.95531,0.910784
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,51,0.816352,0.001778,0.071609,0.02096,0.950279,0.910699
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,52,0.81296,0.0015,0.076738,0.020224,0.955189,0.911422
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,53,0.811072,0.00163,0.075749,0.019488,0.952699,0.907939
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,54,0.810272,0.001531,0.068088,0.020384,0.937939,0.900275
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,55,0.881088,0.00152,0.075149,0.0184,1.01923,0.976157
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,56,0.815168,0.001699,0.07549,0.018464,0.954029,0.910821
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,57,0.809568,0.001759,0.07573,0.02064,1.02648,0.907697
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,58,0.810656,0.00151,0.08113,0.017696,0.956999,0.910992
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,59,0.825696,0.00159,0.075398,0.019936,0.967909,0.92262
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,60,0.82976,0.001999,0.093289,0.025984,1.02023,0.951032
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,61,0.8144,0.0016,0.076839,0.019968,0.959419,0.912807
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,62,0.803776,0.001541,0.07484,0.01984,0.940549,0.899997
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,63,0.794912,0.001549,0.069589,0.02192,0.92485,0.88797
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,64,0.808896,0.00152,0.07568,0.018816,0.949619,0.904912
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,65,0.802816,0.00149,0.076837,0.020544,0.94584,0.901687
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,66,0.822816,0.00149,0.076718,0.01936,0.965318,0.920384
