dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | N | D",64,0,182.835,0.00311,0.146429,69.3506,252.447,252.335
3,double,uniform,GPU,"P | P | P | P | N | D",64,1,0.009568,0.00163,0.117238,0.024736,0.214578,0.153172
3,double,uniform,GPU,"P | P | P | P | N | D",64,2,0.009792,0.001729,0.115448,0.021472,0.210687,0.148441
3,double,uniform,GPU,"P | P | P | P | N | D",64,3,0.010016,0.00158,0.115429,0.02496,0.214678,0.151985
3,double,uniform,GPU,"P | P | P | P | N | D",64,4,0.011136,0.00164,0.115069,0.021056,0.210847,0.148901
3,double,uniform,GPU,"P | P | P | P | N | D",64,5,0.009216,0.001619,0.115058,0.0232,0.211818,0.149093
3,double,uniform,GPU,"P | P | P | P | N | D",64,6,0.016416,0.001581,0.11568,0.02256,0.217848,0.156237
3,double,uniform,GPU,"P | P | P | P | N | D",64,7,0.015968,0.00153,0.11276,0.024416,0.213737,0.154674
3,double,uniform,GPU,"P | P | P | P | N | D",64,8,0.016832,0.00158,0.115728,0.021472,0.218538,0.155612
3,double,uniform,GPU,"P | P | P | P | N | D",64,9,0.00944,0.00161,0.121589,0.023104,0.218397,0.155743
3,double,uniform,GPU,"P | P | P | P | N | D",64,10,0.01072,0.0016,0.115608,0.02304,0.212928,0.150968
3,double,uniform,GPU,"P | P | P | P | N | D",64,11,0.0104,0.00162,0.114768,0.022112,0.212028,0.1489
3,double,uniform,GPU,"P | P | P | P | N | D",64,12,0.015872,0.00155,0.115849,0.021248,0.329256,0.154519
3,double,uniform,GPU,"P | P | P | P | N | D",64,13,0.016768,0.00185,0.114879,0.024992,0.219277,0.158489
3,double,uniform,GPU,"P | P | P | P | N | D",64,14,0.0176,0.00174,0.11529,0.023168,0.220928,0.157798
3,double,uniform,GPU,"P | P | P | P | N | D",64,15,0.016928,0.00158,0.116948,0.023712,0.222798,0.159168
3,double,uniform,GPU,"P | P | P | P | N | D",64,16,0.01712,0.00156,0.115368,0.024864,0.218468,0.158912
3,double,uniform,GPU,"P | P | P | P | N | D",64,17,0.00912,0.00154,0.114458,0.023168,0.211208,0.148286
3,double,uniform,GPU,"P | P | P | P | N | D",64,18,0.012672,0.00151,0.112968,0.021984,0.206868,0.149134
3,double,uniform,GPU,"P | P | P | P | N | D",64,19,0.015456,0.001499,0.112578,0.0256,0.212958,0.155133
3,double,uniform,GPU,"P | P | P | P | N | D",64,20,0.018688,0.001449,0.116299,0.022048,0.228128,0.158484
3,double,uniform,GPU,"P | P | P | P | N | D",64,21,0.013824,0.00161,0.112499,0.022048,0.210208,0.149981
3,double,uniform,GPU,"P | P | P | P | N | D",64,22,0.010848,0.001641,0.115389,0.021568,0.210778,0.149446
3,double,uniform,GPU,"P | P | P | P | N | D",64,23,0.016544,0.001619,0.115538,0.022688,0.300927,0.156389
3,double,uniform,GPU,"P | P | P | P | N | D",64,24,0.018112,0.00167,0.115748,0.022816,0.220257,0.158346
3,double,uniform,GPU,"P | P | P | P | N | D",64,25,0.017056,0.00167,0.113498,0.02112,0.213368,0.153344
3,double,uniform,GPU,"P | P | P | P | N | D",64,26,0.009536,0.00161,0.115838,0.022944,0.211858,0.149928
3,double,uniform,GPU,"P | P | P | P | N | D",64,27,0.009184,0.001761,0.11499,0.020832,0.209657,0.146767
3,double,uniform,GPU,"P | P | P | P | N | D",64,28,0.0096,0.001611,0.115638,0.025088,0.221447,0.151937
3,double,uniform,GPU,"P | P | P | P | N | D",64,29,0.010848,0.00169,0.114908,0.02272,0.213058,0.150166
3,double,uniform,GPU,"P | P | P | P | N | D",64,30,0.010048,0.00154,0.114988,0.019584,0.208688,0.14616
3,double,uniform,GPU,"P | P | P | P | N | D",64,31,0.016672,0.00154,0.115458,0.020224,0.217058,0.153894
3,double,uniform,GPU,"P | P | P | P | N | D",64,32,0.009408,0.00158,0.115428,0.023776,0.211917,0.150192
3,double,uniform,GPU,"P | P | P | P | N | D",64,33,0.017024,0.00152,0.115629,0.024192,0.221358,0.158365
3,double,uniform,GPU,"P | P | P | P | N | D",64,34,0.017408,0.00154,0.114868,0.0216,0.217698,0.155416
3,double,uniform,GPU,"P | P | P | P | N | D",64,35,0.016448,0.00157,0.115239,0.022656,0.218238,0.155913
3,double,uniform,GPU,"P | P | P | P | N | D",64,36,0.010272,0.00154,0.115108,0.019904,0.209738,0.146824
3,double,uniform,GPU,"P | P | P | P | N | D",64,37,0.016672,0.0015,0.115879,0.02448,0.220697,0.158531
3,double,uniform,GPU,"P | P | P | P | N | D",64,38,0.016608,0.0018,0.115679,0.023168,0.220147,0.157255
3,double,uniform,GPU,"P | P | P | P | N | D",64,39,0.009696,0.00164,0.118039,0.021248,0.213048,0.150623
3,double,uniform,GPU,"P | P | P | P | N | D",64,40,0.016384,0.0016,0.115408,0.020256,0.216188,0.153648
3,double,uniform,GPU,"P | P | P | P | N | D",64,41,0.016448,0.00158,0.114709,0.022464,0.222938,0.155201
3,double,uniform,GPU,"P | P | P | P | N | D",64,42,0.010016,0.00153,0.11286,0.022816,0.209188,0.147222
3,double,uniform,GPU,"P | P | P | P | N | D",64,43,0.015424,0.001631,0.115268,0.020512,0.216358,0.152835
3,double,uniform,GPU,"P | P | P | P | N | D",64,44,0.01632,0.001529,0.221438,0.020576,0.323226,0.259863
3,double,uniform,GPU,"P | P | P | P | N | D",64,45,0.01616,0.001501,0.115479,0.02112,0.216387,0.15426
3,double,uniform,GPU,"P | P | P | P | N | D",64,46,0.017888,0.001551,0.114739,0.020192,0.217848,0.15437
3,double,uniform,GPU,"P | P | P | P | N | D",64,47,0.008288,0.00157,0.12264,0.020032,0.216168,0.15253
3,double,uniform,GPU,"P | P | P | P | N | D",64,48,0.010016,0.001531,0.115189,0.024768,0.213918,0.151504
3,double,uniform,GPU,"P | P | P | P | N | D",64,49,0.015936,0.001679,0.115139,0.021312,0.217178,0.154066
3,double,uniform,GPU,"P | P | P | P | N | D",64,50,0.017152,0.00149,0.115108,0.020416,0.216978,0.154166
3,double,uniform,GPU,"P | P | P | P | N | D",64,51,0.00816,0.00152,0.115048,0.024128,0.207408,0.148856
3,double,uniform,GPU,"P | P | P | P | N | D",64,52,0.00976,0.0017,0.115029,0.02032,0.211038,0.146809
3,double,uniform,GPU,"P | P | P | P | N | D",64,53,0.009792,0.00154,0.114958,0.022816,0.211818,0.149106
3,double,uniform,GPU,"P | P | P | P | N | D",64,54,0.00912,0.001471,0.116329,0.02304,0.212957,0.14996
3,double,uniform,GPU,"P | P | P | P | N | D",64,55,0.008896,0.00155,0.11488,0.020736,0.209217,0.146062
3,double,uniform,GPU,"P | P | P | P | N | D",64,56,0.0168,0.001581,0.114928,0.020096,0.216868,0.153405
3,double,uniform,GPU,"P | P | P | P | N | D",64,57,0.011136,0.001561,0.114998,0.022272,0.212538,0.149967
3,double,uniform,GPU,"P | P | P | P | N | D",64,58,0.016448,0.00156,0.11478,0.021216,0.217878,0.154004
3,double,uniform,GPU,"P | P | P | P | N | D",64,59,0.017088,0.0016,0.1184,0.021216,0.219868,0.158304
3,double,uniform,GPU,"P | P | P | P | N | D",64,60,0.015904,0.001521,0.11437,0.020608,0.214628,0.152403
3,double,uniform,GPU,"P | P | P | P | N | D",64,61,0.00928,0.00153,0.114848,0.022912,0.211128,0.14857
3,double,uniform,GPU,"P | P | P | P | N | D",64,62,0.015904,0.00155,0.115069,0.02128,0.270097,0.153803
3,double,uniform,GPU,"P | P | P | P | N | D",64,63,0.01552,0.00191,0.115029,0.022592,0.216898,0.155051
3,double,uniform,GPU,"P | P | P | P | N | D",64,64,0.009344,0.0019,0.114559,0.019776,0.209168,0.145579
3,double,uniform,GPU,"P | P | P | P | N | D",64,65,0.00864,0.001549,0.114988,0.020992,0.209778,0.146169
3,double,uniform,GPU,"P | P | P | P | N | D",64,66,0.008192,0.001561,0.114258,0.02112,0.209118,0.145131
3,double,uniform,GPU,"P | P | P | P | N | D",64,67,0.009216,0.001529,0.11456,0.021792,0.210488,0.147097
