dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,0,182.084,0.002579,0.078918,67.3328,249.607,249.499
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,1,0.008224,0.00168,0.043139,0.013984,0.130528,0.067027
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,2,0.016512,0.001629,0.03473,0.015744,0.121819,0.068615
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,3,0.015904,0.00188,0.042089,0.011968,0.144859,0.071841
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,4,0.014848,0.00161,0.042809,0.01392,0.136609,0.073187
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,5,0.01344,0.00156,0.042351,0.011904,0.134188,0.069255
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,6,0.013984,0.00155,0.04206,0.011872,0.132059,0.069466
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,7,0.01344,0.00161,0.042719,0.012928,0.134168,0.070697
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,8,0.015776,0.001621,0.041898,0.01264,0.133968,0.071935
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,9,0.014784,0.00161,0.042249,0.013024,0.135319,0.071667
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,10,0.013952,0.00154,0.04203,0.014976,0.136599,0.072498
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,11,0.014528,0.00157,0.04265,0.012448,0.136618,0.071196
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,12,0.014592,0.00164,0.04211,0.013664,0.135938,0.072006
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,13,0.013376,0.001788,0.048779,0.012032,0.139388,0.075975
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,14,0.014912,0.00168,0.04245,0.014304,0.135079,0.073346
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,15,0.015104,0.00179,0.043149,0.013472,0.136858,0.073515
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,16,0.014464,0.001609,0.042949,0.012768,0.134768,0.07179
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,17,0.013088,0.00152,0.04159,0.01408,0.133619,0.070278
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,18,0.015872,0.00163,0.04217,0.012256,0.133929,0.071928
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,19,0.015776,0.001589,0.295357,0.012864,0.390226,0.325586
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,20,0.016,0.001631,0.034999,0.014656,0.121268,0.067286
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,21,0.013952,0.00165,0.04242,0.013312,0.135358,0.071334
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,22,0.014752,0.001571,0.04781,0.013152,0.140738,0.077285
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,23,0.013312,0.00164,0.042149,0.014176,0.135268,0.071277
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,24,0.015872,0.001631,0.04264,0.013408,0.136868,0.073551
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,25,0.012064,0.00153,0.042769,0.014336,0.134048,0.070699
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,26,0.013216,0.00156,0.04214,0.015168,0.135549,0.072084
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,27,0.00848,0.001549,0.041978,0.01424,0.129198,0.066247
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,28,0.015168,0.001609,0.04164,0.01568,0.137268,0.074097
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,29,0.01472,0.00175,0.04237,0.013568,0.135498,0.072408
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,30,0.014944,0.001528,0.042439,0.01328,0.135608,0.072191
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,31,0.013792,0.001521,0.04211,0.012416,0.133738,0.069839
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,32,0.014624,0.00162,0.042588,0.020512,0.140648,0.079344
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,33,0.014048,0.001601,0.04227,0.014016,0.134768,0.071935
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,34,0.01472,0.00152,0.041979,0.011424,0.133819,0.069643
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,35,0.014272,0.00157,0.041699,0.013984,0.134148,0.071525
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,36,0.01344,0.00161,0.04198,0.014016,0.133938,0.071046
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,37,0.014432,0.00158,0.04359,0.015552,0.144689,0.075154
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,38,0.014912,0.00157,0.042419,0.013248,0.137038,0.072149
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,39,0.018624,0.001681,0.042461,0.012416,0.136528,0.075182
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,40,0.013856,0.00173,0.04291,0.012544,0.133589,0.07104
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,41,0.014272,0.00171,0.050649,0.012864,0.142589,0.079495
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,42,0.01504,0.00157,0.042169,0.011936,0.132848,0.070715
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,43,0.015072,0.00159,0.0421,0.011424,0.133028,0.070186
3,float,uniform,GPU,"P | P | P | P | Ns | Ns",64,44,0.015744,0.00151,0.041989,0.011712,0.133279,0.070955
