dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"Ds | Ns",64,0,183.507,0,0.053829,51.6841,235.346,235.245
1,double,uniform,GPU,"Ds | Ns",64,1,0.01936,0,0.04117,0.012512,0.113729,0.073042
1,double,uniform,GPU,"Ds | Ns",64,2,0.011488,0,0.03558,0.007456,0.089449,0.054524
1,double,uniform,GPU,"Ds | Ns",64,3,0.011872,0,0.035259,0.008928,0.089049,0.056059
1,double,uniform,GPU,"Ds | Ns",64,4,0.01216,0,0.03523,0.009312,0.090179,0.056702
1,double,uniform,GPU,"Ds | Ns",64,5,0.01168,0,0.03529,0.008864,0.089419,0.055834
1,double,uniform,GPU,"Ds | Ns",64,6,0.010592,0,0.035139,0.00944,0.088029,0.055171
1,double,uniform,GPU,"Ds | Ns",64,7,0.011648,0,0.035699,0.009472,0.091059,0.056819
1,double,uniform,GPU,"Ds | Ns",64,8,0.010624,0,0.035218,0.007456,0.086519,0.053298
1,double,uniform,GPU,"Ds | Ns",64,9,0.012192,0,0.03443,0.009504,0.085859,0.056126
1,double,uniform,GPU,"Ds | Ns",64,10,0.012864,0,0.03185,0.008128,0.081339,0.052842
1,double,uniform,GPU,"Ds | Ns",64,11,0.011328,0,0.03523,0.008992,0.089859,0.05555
1,double,uniform,GPU,"Ds | Ns",64,12,0.011296,0,0.03566,0.006432,0.088149,0.053388
1,double,uniform,GPU,"Ds | Ns",64,13,0.014848,0,0.03535,0.006592,0.090099,0.05679
1,double,uniform,GPU,"Ds | Ns",64,14,0.01248,0,0.03511,0.007968,0.088519,0.055558
1,double,uniform,GPU,"Ds | Ns",64,15,0.009632,0,0.0353,0.009248,0.087889,0.05418
1,double,uniform,GPU,"Ds | Ns",64,16,0.01168,0,0.035089,0.005504,0.084259,0.052273
1,double,uniform,GPU,"Ds | Ns",64,17,0.011968,0,0.035119,0.009984,0.092499,0.057071
1,double,uniform,GPU,"Ds | Ns",64,18,0.011264,0,0.036289,0.008544,0.090049,0.056097
1,double,uniform,GPU,"Ds | Ns",64,19,0.011488,0,0.035169,0.005696,0.086769,0.052353
1,double,uniform,GPU,"Ds | Ns",64,20,0.011136,0,0.03544,0.006592,0.093749,0.053168
1,double,uniform,GPU,"Ds | Ns",64,21,0.010624,0,0.03503,0.00736,0.085269,0.053014
1,double,uniform,GPU,"Ds | Ns",64,22,0.013568,0,0.03541,0.00576,0.089189,0.054738
1,double,uniform,GPU,"Ds | Ns",64,23,0.010496,0,0.032759,0.00912,0.080299,0.052375
1,double,uniform,GPU,"Ds | Ns",64,24,0.011552,0,0.035489,0.005568,0.086799,0.052609
1,double,uniform,GPU,"Ds | Ns",64,25,0.012512,0,0.035209,0.009408,0.091999,0.057129
1,double,uniform,GPU,"Ds | Ns",64,26,0.01264,0,0.034779,0.006848,0.087599,0.054267
1,double,uniform,GPU,"Ds | Ns",64,27,0.011808,0,0.03563,0.008608,0.091429,0.056046
1,double,uniform,GPU,"Ds | Ns",64,28,0.01232,0,0.03546,0.007808,0.089059,0.055588
1,double,uniform,GPU,"Ds | Ns",64,29,0.013184,0,0.035259,0.009024,0.091349,0.057467
1,double,uniform,GPU,"Ds | Ns",64,30,0.01184,0,0.03527,0.007168,0.087868,0.054278
1,double,uniform,GPU,"Ds | Ns",64,31,0.011072,0,0.03518,0.009312,0.088829,0.055564
1,double,uniform,GPU,"Ds | Ns",64,32,0.01408,0,0.03523,0.007584,0.089919,0.056894
1,double,uniform,GPU,"Ds | Ns",64,33,0.011008,0,0.03534,0.008672,0.088339,0.05502
1,double,uniform,GPU,"Ds | Ns",64,34,0.01152,0,0.035249,0.009088,0.088689,0.055857
1,double,uniform,GPU,"Ds | Ns",64,35,0.010784,0,0.03515,0.009248,0.088819,0.055182
1,double,uniform,GPU,"Ds | Ns",64,36,0.010848,0,0.03585,0.006944,0.08702,0.053642
1,double,uniform,GPU,"Ds | Ns",64,37,0.011232,0,0.03524,0.00832,0.095629,0.054792
1,double,uniform,GPU,"Ds | Ns",64,38,0.01392,0,0.035519,0.006816,0.090529,0.056255
1,double,uniform,GPU,"Ds | Ns",64,39,0.013248,0,0.03563,0.008512,0.092329,0.05739
1,double,uniform,GPU,"Ds | Ns",64,40,0.01024,0,0.03491,0.006912,0.085089,0.052062
1,double,uniform,GPU,"Ds | Ns",64,41,0.011264,0,0.03123,0.013056,0.083429,0.05555
1,double,uniform,GPU,"Ds | Ns",64,42,0.0104,0,0.031879,0.008544,0.078379,0.050823
1,double,uniform,GPU,"Ds | Ns",64,43,0.011424,0,0.03511,0.00896,0.0896,0.055494
1,double,uniform,GPU,"Ds | Ns",64,44,0.011232,0,0.035149,0.009312,0.088989,0.055693
1,double,uniform,GPU,"Ds | Ns",64,45,0.011296,0,0.04235,0.005984,0.09385,0.05963
1,double,uniform,GPU,"Ds | Ns",64,46,0.030912,0,0.0407,0.013984,0.136589,0.085596
1,double,uniform,GPU,"Ds | Ns",64,47,0.011616,0,0.0358,0.007392,0.087849,0.054808
1,double,uniform,GPU,"Ds | Ns",64,48,0.01072,0,0.03541,0.007104,0.08564,0.053234
1,double,uniform,GPU,"Ds | Ns",64,49,0.014176,0,0.03549,0.009248,0.094739,0.058914
1,double,uniform,GPU,"Ds | Ns",64,50,0.010496,0,0.03599,0.007456,0.08655,0.053942
1,double,uniform,GPU,"Ds | Ns",64,51,0.012672,0,0.03519,0.007456,0.089389,0.055318
1,double,uniform,GPU,"Ds | Ns",64,52,0.012352,0,0.03519,0.008704,0.090769,0.056246
1,double,uniform,GPU,"Ds | Ns",64,53,0.012896,0,0.03523,0.006208,0.0881,0.054334
1,double,uniform,GPU,"Ds | Ns",64,54,0.012032,0,0.03588,0.006272,0.087419,0.054184
1,double,uniform,GPU,"Ds | Ns",64,55,0.013248,0,0.03183,0.008992,0.083819,0.05407
1,double,uniform,GPU,"Ds | Ns",64,56,0.012128,0,0.03545,0.00928,0.093659,0.056858
1,double,uniform,GPU,"Ds | Ns",64,57,0.010848,0,0.035119,0.009216,0.087769,0.055183
1,double,uniform,GPU,"Ds | Ns",64,58,0.013856,0,0.03519,0.007456,0.089819,0.056502
1,double,uniform,GPU,"Ds | Ns",64,59,0.01184,0,0.03537,0.00912,0.089499,0.05633
1,double,uniform,GPU,"Ds | Ns",64,60,0.012576,0,0.03534,0.009024,0.090159,0.05694
1,double,uniform,GPU,"Ds | Ns",64,61,0.012352,0,0.03519,0.007136,0.087559,0.054678
1,double,uniform,GPU,"Ds | Ns",64,62,0.013088,0,0.035328,0.009312,0.091629,0.057728
1,double,uniform,GPU,"Ds | Ns",64,63,0.010176,0,0.03577,0.008896,0.088849,0.054842
1,double,uniform,GPU,"Ds | Ns",64,64,0.010752,0,0.03568,0.00672,0.08712,0.053152
1,double,uniform,GPU,"Ds | Ns",64,65,0.011776,0,0.0358,0.006688,0.08778,0.054264
1,double,uniform,GPU,"Ds | Ns",64,66,0.012928,0,0.0356,0.009568,0.092579,0.058096
1,double,uniform,GPU,"Ds | Ns",64,67,0.01856,0,0.03517,0.009088,0.097289,0.062818
1,double,uniform,GPU,"Ds | Ns",64,68,0.0104,0,0.031839,0.009664,0.080339,0.051903
1,double,uniform,GPU,"Ds | Ns",64,69,0.011744,0,0.03519,0.006592,0.08683,0.053526
1,double,uniform,GPU,"Ds | Ns",64,70,0.011808,0,0.03512,0.006912,0.087239,0.05384
1,double,uniform,GPU,"Ds | Ns",64,71,0.011712,0,0.035459,0.009632,0.091999,0.056803
1,double,uniform,GPU,"Ds | Ns",64,72,0.01024,0,0.036039,0.005984,0.085609,0.052263
1,double,uniform,GPU,"Ds | Ns",64,73,0.012032,0,0.035,0.008352,0.089479,0.055384
