dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,0.075904,0.003131,0.060969,52.1897,263.74,52.3297
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,0.014272,0.001601,0.03149,0.022336,0.155718,0.069699
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,0.019584,0.001519,0.02497,0.023584,0.152608,0.069657
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,0.02016,0.001681,0.02441,0.023424,0.150258,0.069675
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,0.01952,0.001619,0.02414,0.022016,0.150388,0.067295
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,0.020032,0.001531,0.02137,0.023552,0.141089,0.066485
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,0.01776,0.00154,0.02066,0.023648,0.137708,0.063608
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,0.019648,0.00158,0.02407,0.023648,0.151848,0.068946
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,0.019072,0.00155,0.02377,0.024544,0.149808,0.068936
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,0.02128,0.00153,0.02526,0.0224,0.154459,0.07047
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,0.01888,0.00156,0.02432,0.024512,0.150728,0.069272
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,0.011872,0.00166,0.02508,0.023264,0.143349,0.061876
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,0.0184,0.001671,0.02135,0.025472,0.140429,0.066893
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,0.019648,0.00153,0.02383,0.021952,0.150298,0.06696
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,0.01312,0.00154,0.025439,0.02352,0.143728,0.063619
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,15,0.017888,0.00179,0.024319,0.023456,0.149168,0.067453
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,16,0.010912,0.0015,0.024099,0.023296,0.140898,0.059807
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,17,0.014624,0.001599,0.024469,0.024736,0.146078,0.065428
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,18,0.019808,0.00156,0.02254,0.025056,0.146278,0.068964
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,19,0.01904,0.00159,0.02419,0.023168,0.147978,0.067988
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,20,0.019808,0.00153,0.02417,0.024672,0.151738,0.07018
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,21,0.020096,0.00163,0.02486,0.024704,0.152908,0.07129
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,22,0.020928,0.00152,0.024539,0.022944,0.152138,0.069931
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,23,0.019936,0.00156,0.02558,0.02352,0.151298,0.070596
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,24,0.020704,0.00153,0.02416,0.024736,0.152358,0.07113
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,25,0.019936,0.00156,0.024069,0.023328,0.150648,0.068893
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,26,0.019136,0.001572,0.02489,0.02272,0.150198,0.068318
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,27,0.019232,0.00154,0.02536,0.02336,0.152638,0.069492
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,28,0.019744,0.00159,0.02373,0.02352,0.151998,0.068584
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,29,0.01904,0.001519,0.024219,0.022688,0.149129,0.067466
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,30,0.01808,0.001631,0.0246,0.023744,0.151559,0.068055
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,31,0.02096,0.00167,0.02443,0.022624,0.149708,0.069684
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,32,0.020416,0.001529,0.023879,0.025216,0.152488,0.07104
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,33,0.019232,0.00157,0.024049,0.022912,0.148998,0.067763
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,34,0.019552,0.00156,0.02446,0.023456,0.151248,0.069028
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,35,0.019872,0.00151,0.02469,0.022848,0.150298,0.06892
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,36,0.013024,0.00165,0.02471,0.022528,0.143379,0.061912
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,37,0.01136,0.00172,0.0247,0.022656,0.141119,0.060436
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,38,0.017792,0.001689,0.024179,0.022752,0.148139,0.066412
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,39,0.018624,0.00156,0.02444,0.022752,0.157028,0.067376
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,40,0.020896,0.00157,0.024569,0.024192,0.152618,0.071227
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,41,0.018944,0.0016,0.02405,0.022272,0.149109,0.066866
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,42,0.018816,0.00156,0.024869,0.023168,0.150048,0.068413
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,43,0.016064,0.001588,0.02501,0.0232,0.146828,0.065862
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,44,0.018432,0.00161,0.023509,0.023168,0.148649,0.066719
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,45,0.01824,0.00156,0.024119,0.022112,0.148108,0.066031
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,46,0.018176,0.00156,0.02445,0.023264,0.149288,0.06745
3,float,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,47,0.020384,0.001569,0.02538,0.02352,0.152258,0.070853
