dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"Ns | Ns",64,0,0.084704,0,0.072288,193.286,193.539,193.443
1,float,uniform,CPU,"Ns | Ns",64,1,0.022528,0,0.026139,0.011168,0.101699,0.059835
1,float,uniform,CPU,"Ns | Ns",64,2,0.020096,0,0.02152,0.008896,0.088179,0.050512
1,float,uniform,CPU,"Ns | Ns",64,3,0.019008,0,0.01722,0.008512,0.077219,0.04474
1,float,uniform,CPU,"Ns | Ns",64,4,0.019328,0,0.022259,0.00688,0.085439,0.048467
1,float,uniform,CPU,"Ns | Ns",64,5,0.018304,0,0.020739,0.008544,0.089929,0.047587
1,float,uniform,CPU,"Ns | Ns",64,6,0.018624,0,0.02032,0.006848,0.082549,0.045792
1,float,uniform,CPU,"Ns | Ns",64,7,0.0176,0,0.02047,0.007008,0.081939,0.045078
1,float,uniform,CPU,"Ns | Ns",64,8,0.018496,0,0.02026,0.008224,0.083709,0.04698
1,float,uniform,CPU,"Ns | Ns",64,9,0.019616,0,0.02095,0.00784,0.084679,0.048406
1,float,uniform,CPU,"Ns | Ns",64,10,0.01936,0,0.020031,0.008096,0.083669,0.047487
1,float,uniform,CPU,"Ns | Ns",64,11,0.018528,0,0.02013,0.006464,0.081568,0.045122
1,float,uniform,CPU,"Ns | Ns",64,12,0.019392,0,0.020449,0.007552,0.083669,0.047393
1,float,uniform,CPU,"Ns | Ns",64,13,0.019712,0,0.020909,0.008672,0.088169,0.049293
1,float,uniform,CPU,"Ns | Ns",64,14,0.019264,0,0.021129,0.006848,0.085579,0.047241
1,float,uniform,CPU,"Ns | Ns",64,15,0.019392,0,0.02113,0.007232,0.085109,0.047754
1,float,uniform,CPU,"Ns | Ns",64,16,0.021952,0,0.01774,0.008256,0.083539,0.047948
1,float,uniform,CPU,"Ns | Ns",64,17,0.020096,0,0.02235,0.008352,0.090609,0.050798
1,float,uniform,CPU,"Ns | Ns",64,18,0.020672,0,0.02144,0.0064,0.087589,0.048512
1,float,uniform,CPU,"Ns | Ns",64,19,0.01952,0,0.02133,0.010208,0.090009,0.051058
1,float,uniform,CPU,"Ns | Ns",64,20,0.0184,0,0.02012,0.00912,0.084629,0.04764
1,float,uniform,CPU,"Ns | Ns",64,21,0.019168,0,0.02177,0.008704,0.087339,0.049642
1,float,uniform,CPU,"Ns | Ns",64,22,0.018752,0,0.022389,0.00736,0.087659,0.048501
1,float,uniform,CPU,"Ns | Ns",64,23,0.020064,0,0.02088,0.006432,0.089239,0.047376
1,float,uniform,CPU,"Ns | Ns",64,24,0.130944,0,0.021139,0.008096,0.196628,0.160179
1,float,uniform,CPU,"Ns | Ns",64,25,0.01936,0,0.02157,0.005888,0.084799,0.046818
1,float,uniform,CPU,"Ns | Ns",64,26,0.020512,0,0.02192,0.007936,0.088719,0.050368
1,float,uniform,CPU,"Ns | Ns",64,27,0.020128,0,0.02233,0.006368,0.088039,0.048826
1,float,uniform,CPU,"Ns | Ns",64,28,0.0184,0,0.02112,0.006848,0.083069,0.046368
1,float,uniform,CPU,"Ns | Ns",64,29,0.018816,0,0.01867,0.008288,0.08105,0.045774
1,float,uniform,CPU,"Ns | Ns",64,30,0.019104,0,0.0211,0.007808,0.086779,0.048012
1,float,uniform,CPU,"Ns | Ns",64,31,0.018464,0,0.02193,0.008096,0.086689,0.04849
1,float,uniform,CPU,"Ns | Ns",64,32,0.019008,0,0.02065,0.006752,0.083328,0.04641
1,float,uniform,CPU,"Ns | Ns",64,33,0.01808,0,0.01914,0.00704,0.080239,0.04426
