dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,0,0.075808,0,0.086449,199.683,199.942,199.845
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,1,0.015392,0,0.059969,0.012608,0.124288,0.087969
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,2,0.013536,0,0.055889,0.009248,0.113259,0.078673
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,3,0.013536,0,0.05598,0.009312,0.114809,0.078828
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,4,0.013376,0,0.05563,0.00784,0.111389,0.076846
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,5,0.014368,0,0.05584,0.008544,0.114088,0.078752
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,6,0.013472,0,0.05593,0.0088,0.111208,0.078202
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,7,0.013792,0,0.05455,0.010112,0.109658,0.078454
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,8,0.013664,0,0.056029,0.009728,0.114009,0.079421
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,9,0.012032,0,0.055209,0.008672,0.109869,0.075913
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,10,0.013248,0,0.055509,0.008256,0.111149,0.077013
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,11,0.014048,0,0.055579,0.00816,0.113009,0.077787
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,12,0.013408,0,0.05596,0.0096,0.114008,0.078968
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,13,0.012448,0,0.055469,0.007712,0.110939,0.075629
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,14,0.012416,0,0.05567,0.008896,0.112468,0.076982
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,15,0.01376,0,0.0548,0.008416,0.115838,0.076976
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,16,0.013632,0,0.055659,0.009504,0.114199,0.078795
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,17,0.012384,0,0.05575,0.008672,0.112849,0.076806
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,18,0.012544,0,0.056199,0.008384,0.110729,0.077127
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,19,0.013376,0,0.05672,0.00912,0.115309,0.079216
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,20,0.012544,0,0.05553,0.008096,0.110378,0.07617
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,21,0.012864,0,0.05247,0.010464,0.103868,0.075798
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,22,0.013216,0,0.055419,0.008864,0.112749,0.077499
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,23,0.012896,0,0.05537,0.008736,0.111819,0.077002
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,24,0.012704,0,0.057049,0.008704,0.112819,0.078457
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,25,0.014624,0,0.05611,0.008832,0.118619,0.079566
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,26,0.015296,0,0.151229,0.008608,0.211568,0.175133
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,27,0.012544,0,0.05519,0.008384,0.110469,0.076118
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,28,0.013408,0,0.05614,0.00928,0.113369,0.078828
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,29,0.012736,0,0.055919,0.008416,0.113438,0.077071
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,30,0.01376,0,0.05584,0.007968,0.112908,0.077568
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,31,0.012928,0,0.055709,0.008736,0.111999,0.077373
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,32,0.013216,0,0.056039,0.00928,0.113239,0.078535
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,33,0.013024,0,0.05634,0.00992,0.119658,0.079284
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,34,0.012352,0,0.05303,0.009632,0.104038,0.075014
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,35,0.01408,0,0.055789,0.008384,0.113288,0.078253
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,36,0.012384,0,0.055599,0.00816,0.110369,0.076143
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,37,0.01312,0,0.05534,0.008192,0.110978,0.076652
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,38,0.015296,0,0.055539,0.007072,0.111938,0.077907
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,39,0.013056,0,0.056159,0.00832,0.112109,0.077535
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,40,0.014272,0,0.0559,0.009728,0.115088,0.0799
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,41,0.011712,0,0.05562,0.008224,0.111538,0.075556
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,42,0.012512,0,0.05812,0.008288,0.113568,0.07892
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,43,0.014784,0,0.055889,0.009888,0.117048,0.080561
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,44,0.013504,0,0.05539,0.008416,0.113009,0.07731
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,45,0.012992,0,0.055909,0.007616,0.110158,0.076517
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,46,0.014816,0,0.05645,0.00832,0.115639,0.079586
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,47,0.012096,0,0.055529,0.007904,0.109939,0.075529
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,48,0.012352,0,0.055419,0.008,0.110149,0.075771
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,49,0.017312,0,0.055439,0.008352,0.114609,0.081103
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,50,0.013664,0,0.05562,0.008736,0.111829,0.07802
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,51,0.01216,0,0.056209,0.0088,0.111819,0.077169
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,52,0.01264,0,0.055459,0.016064,0.118709,0.084163
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,53,0.0152,0,0.05643,0.008736,0.115759,0.080366
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,54,0.011904,0,0.05538,0.008192,0.110579,0.075476
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,55,0.011936,0,0.055849,0.008768,0.111119,0.076553
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,56,0.013824,0,0.055839,0.008768,0.114048,0.078431
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,57,0.014688,0,0.056869,0.009376,0.116359,0.080933
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,58,0.012864,0,0.055539,0.009664,0.113059,0.078067
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,59,0.012736,0,0.055699,0.009888,0.112139,0.078323
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,60,0.01376,0,0.056199,0.009248,0.113449,0.079207
2,double,uniform,GPU,"Ds | Ds | Ds | Ds",64,61,0.012928,0,0.05593,0.008256,0.111179,0.077114
