dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"D | D | D | D | N | D",64,0,0.0744,0.00249,0.08893,200.723,200.998,200.889
3,float,uniform,GPU,"D | D | D | D | N | D",64,1,0.015136,0.001539,0.049409,0.012864,0.133999,0.078948
3,float,uniform,GPU,"D | D | D | D | N | D",64,2,0.011008,0.001641,0.04543,0.011616,0.121808,0.069695
3,float,uniform,GPU,"D | D | D | D | N | D",64,3,0.01904,0.001509,0.044429,0.009472,0.129278,0.07445
3,float,uniform,GPU,"D | D | D | D | N | D",64,4,0.019808,0.00156,0.04401,0.010496,0.129299,0.075874
3,float,uniform,GPU,"D | D | D | D | N | D",64,5,0.020288,0.00147,0.044091,0.008448,0.129008,0.074297
3,float,uniform,GPU,"D | D | D | D | N | D",64,6,0.013984,0.00169,0.044689,0.01232,0.125878,0.072683
3,float,uniform,GPU,"D | D | D | D | N | D",64,7,0.02016,0.00146,0.04405,0.009088,0.128259,0.074758
3,float,uniform,GPU,"D | D | D | D | N | D",64,8,0.013856,0.001511,0.044929,0.011392,0.125749,0.071688
3,float,uniform,GPU,"D | D | D | D | N | D",64,9,0.011232,0.00153,0.044479,0.008032,0.120258,0.065273
3,float,uniform,GPU,"D | D | D | D | N | D",64,10,0.020416,0.00152,0.045229,0.009984,0.131299,0.077149
3,float,uniform,GPU,"D | D | D | D | N | D",64,11,0.020032,0.00146,0.05096,0.008352,0.135339,0.080804
3,float,uniform,GPU,"D | D | D | D | N | D",64,12,0.020096,0.00166,0.04506,0.011232,0.131868,0.078048
3,float,uniform,GPU,"D | D | D | D | N | D",64,13,0.013568,0.00155,0.04465,0.00928,0.122219,0.069048
3,float,uniform,GPU,"D | D | D | D | N | D",64,14,0.01184,0.001511,0.044949,0.01184,0.123739,0.07014
3,float,uniform,GPU,"D | D | D | D | N | D",64,15,0.020416,0.00155,0.044829,0.009792,0.131529,0.076587
3,float,uniform,GPU,"D | D | D | D | N | D",64,16,0.019552,0.001471,0.049819,0.010656,0.135739,0.081498
3,float,uniform,GPU,"D | D | D | D | N | D",64,17,0.01824,0.001549,0.044349,0.008896,0.202217,0.073034
3,float,uniform,GPU,"D | D | D | D | N | D",64,18,0.012576,0.00147,0.04541,0.008992,0.121719,0.068448
3,float,uniform,GPU,"D | D | D | D | N | D",64,19,0.019616,0.00145,0.03837,0.010304,0.117148,0.06974
3,float,uniform,GPU,"D | D | D | D | N | D",64,20,0.01392,0.00148,0.04413,0.011488,0.124589,0.071018
3,float,uniform,GPU,"D | D | D | D | N | D",64,21,0.01392,0.001459,0.045369,0.010752,0.282737,0.0715
3,float,uniform,GPU,"D | D | D | D | N | D",64,22,0.021664,0.00151,0.046199,0.010656,0.133619,0.080029
3,float,uniform,GPU,"D | D | D | D | N | D",64,23,0.020896,0.001599,0.044219,0.010016,0.129808,0.07673
3,float,uniform,GPU,"D | D | D | D | N | D",64,24,0.012768,0.00145,0.044499,0.009568,0.121538,0.068285
3,float,uniform,GPU,"D | D | D | D | N | D",64,25,0.01856,0.001441,0.0447,0.010528,0.130658,0.075229
3,float,uniform,GPU,"D | D | D | D | N | D",64,26,0.013152,0.00151,0.04497,0.012512,0.125689,0.072144
3,float,uniform,GPU,"D | D | D | D | N | D",64,27,0.01968,0.00144,0.04418,0.009312,0.129039,0.074612
3,float,uniform,GPU,"D | D | D | D | N | D",64,28,0.020416,0.001501,0.044769,0.011008,0.131129,0.077694
3,float,uniform,GPU,"D | D | D | D | N | D",64,29,0.020032,0.001429,0.04465,0.00816,0.129098,0.074271
3,float,uniform,GPU,"D | D | D | D | N | D",64,30,0.0216,0.00147,0.044329,0.0088,0.137359,0.076199
3,float,uniform,GPU,"D | D | D | D | N | D",64,31,0.020416,0.001499,0.044169,0.010304,0.129908,0.076388
3,float,uniform,GPU,"D | D | D | D | N | D",64,32,0.0136,0.00163,0.044499,0.01168,0.123919,0.071409
3,float,uniform,GPU,"D | D | D | D | N | D",64,33,0.020672,0.001439,0.044229,0.007904,0.129398,0.074244
3,float,uniform,GPU,"D | D | D | D | N | D",64,34,0.012064,0.001539,0.04494,0.011584,0.123698,0.070127
3,float,uniform,GPU,"D | D | D | D | N | D",64,35,0.013824,0.00149,0.051319,0.0104,0.130689,0.077033
3,float,uniform,GPU,"D | D | D | D | N | D",64,36,0.018304,0.00146,0.046959,0.010336,0.131089,0.077059
3,float,uniform,GPU,"D | D | D | D | N | D",64,37,0.020288,0.00153,0.04412,0.007712,0.128439,0.07365
3,float,uniform,GPU,"D | D | D | D | N | D",64,38,0.012608,0.00149,0.042,0.01296,0.121159,0.069058
3,float,uniform,GPU,"D | D | D | D | N | D",64,39,0.014304,0.00174,0.04519,0.010048,0.124678,0.071282
3,float,uniform,GPU,"D | D | D | D | N | D",64,40,0.019808,0.001479,0.04527,0.011552,0.131928,0.078109
3,float,uniform,GPU,"D | D | D | D | N | D",64,41,0.018336,0.00147,0.046379,0.010048,0.131158,0.076233
3,float,uniform,GPU,"D | D | D | D | N | D",64,42,0.02192,0.001561,0.045329,0.008992,0.135669,0.077802
3,float,uniform,GPU,"D | D | D | D | N | D",64,43,0.021088,0.00149,0.044511,0.008608,0.128608,0.075697
3,float,uniform,GPU,"D | D | D | D | N | D",64,44,0.016576,0.00147,0.038919,0.010752,0.114428,0.067717
3,float,uniform,GPU,"D | D | D | D | N | D",64,45,0.020224,0.00147,0.0448,0.00928,0.130259,0.075774
3,float,uniform,GPU,"D | D | D | D | N | D",64,46,0.009984,0.00146,0.044899,0.010464,0.120658,0.066807
3,float,uniform,GPU,"D | D | D | D | N | D",64,47,0.018688,0.001431,0.04778,0.011488,0.133358,0.079387
3,float,uniform,GPU,"D | D | D | D | N | D",64,48,0.014432,0.00146,0.045139,0.009824,0.123729,0.070855
3,float,uniform,GPU,"D | D | D | D | N | D",64,49,0.019808,0.001401,0.04451,0.008512,0.129139,0.074231
3,float,uniform,GPU,"D | D | D | D | N | D",64,50,0.019136,0.00157,0.044749,0.00864,0.129019,0.074095
3,float,uniform,GPU,"D | D | D | D | N | D",64,51,0.018944,0.001439,0.044739,0.010304,0.129959,0.075426
3,float,uniform,GPU,"D | D | D | D | N | D",64,52,0.020864,0.00148,0.04389,0.00992,0.130238,0.076154
3,float,uniform,GPU,"D | D | D | D | N | D",64,53,0.013952,0.001461,0.04393,0.008384,0.121608,0.067727
3,float,uniform,GPU,"D | D | D | D | N | D",64,54,0.019616,0.00151,0.044361,0.008864,0.128238,0.074351
3,float,uniform,GPU,"D | D | D | D | N | D",64,55,0.020608,0.0015,0.044709,0.010048,0.130508,0.076865
3,float,uniform,GPU,"D | D | D | D | N | D",64,56,0.02128,0.00145,0.044349,0.008576,0.130229,0.075655
3,float,uniform,GPU,"D | D | D | D | N | D",64,57,0.019008,0.00154,0.044359,0.008288,0.126138,0.073195
3,float,uniform,GPU,"D | D | D | D | N | D",64,58,0.018432,0.00148,0.043869,0.00832,0.126139,0.072101
3,float,uniform,GPU,"D | D | D | D | N | D",64,59,0.018816,0.001601,0.04408,0.010848,0.129619,0.075345
3,float,uniform,GPU,"D | D | D | D | N | D",64,60,0.021664,0.00158,0.044519,0.01056,0.132348,0.078323
3,float,uniform,GPU,"D | D | D | D | N | D",64,61,0.01984,0.00159,0.044219,0.008384,0.128528,0.074033
3,float,uniform,GPU,"D | D | D | D | N | D",64,62,0.012,0.001521,0.037139,0.011104,0.108089,0.061764
3,float,uniform,GPU,"D | D | D | D | N | D",64,63,0.012256,0.00146,0.04423,0.00912,0.118869,0.067066
3,float,uniform,GPU,"D | D | D | D | N | D",64,64,0.01904,0.001519,0.044129,0.010656,0.129568,0.075344
3,float,uniform,GPU,"D | D | D | D | N | D",64,65,0.02096,0.001749,0.044369,0.010144,0.131838,0.077222
3,float,uniform,GPU,"D | D | D | D | N | D",64,66,0.012192,0.00149,0.04443,0.009408,0.120589,0.06752
3,float,uniform,GPU,"D | D | D | D | N | D",64,67,0.014016,0.001511,0.04412,0.010784,0.124969,0.070431
3,float,uniform,GPU,"D | D | D | D | N | D",64,68,0.018784,0.00141,0.04397,0.008288,0.126109,0.072452
3,float,uniform,GPU,"D | D | D | D | N | D",64,69,0.012736,0.00151,0.03705,0.010624,0.107849,0.06192
3,float,uniform,GPU,"D | D | D | D | N | D",64,70,0.019392,0.00149,0.044449,0.008544,0.128068,0.073875
3,float,uniform,GPU,"D | D | D | D | N | D",64,71,0.020768,0.00152,0.04452,0.009024,0.129799,0.075832
3,float,uniform,GPU,"D | D | D | D | N | D",64,72,0.020928,0.00143,0.043961,0.009312,0.129458,0.075631
3,float,uniform,GPU,"D | D | D | D | N | D",64,73,0.01504,0.001459,0.04543,0.009728,0.225277,0.071657
3,float,uniform,GPU,"D | D | D | D | N | D",64,74,0.013024,0.001391,0.04529,0.012736,0.124319,0.072441
3,float,uniform,GPU,"D | D | D | D | N | D",128,0,0.035456,0.002111,0.126858,0.025152,0.244267,0.189577
3,float,uniform,GPU,"D | D | D | D | N | D",128,1,0.026112,0.001581,0.117489,0.017824,0.218277,0.163006
3,float,uniform,GPU,"D | D | D | D | N | D",128,2,0.026048,0.00155,0.117699,0.020416,0.220048,0.165713
3,float,uniform,GPU,"D | D | D | D | N | D",128,3,0.02736,0.001941,0.118298,0.019456,0.221838,0.167055
3,float,uniform,GPU,"D | D | D | D | N | D",128,4,0.026144,0.001559,0.118108,0.020352,0.219328,0.166163
3,float,uniform,GPU,"D | D | D | D | N | D",128,5,0.0264,0.001551,0.117679,0.018528,0.219827,0.164158
3,float,uniform,GPU,"D | D | D | D | N | D",128,6,0.026464,0.001551,0.121498,0.019264,0.221877,0.168777
3,float,uniform,GPU,"D | D | D | D | N | D",128,7,0.03456,0.00157,0.117369,0.019136,0.227448,0.172635
3,float,uniform,GPU,"D | D | D | D | N | D",128,8,0.026816,0.001579,0.117028,0.019072,0.217578,0.164495
3,float,uniform,GPU,"D | D | D | D | N | D",128,9,0.027616,0.00166,0.118538,0.020608,0.222188,0.168422
