dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,0,0.28256,0.00298,0.177599,215.534,216.12,215.997
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,1,0.234944,0.00162,0.122918,0.025152,0.439885,0.384634
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,2,0.227904,0.001521,0.119949,0.026016,0.426056,0.37539
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,3,0.228608,0.00161,0.12145,0.022368,0.426085,0.374036
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,4,0.225856,0.00156,0.11912,0.024,0.420795,0.370536
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,5,0.227904,0.00159,0.124168,0.024672,0.427945,0.378334
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,6,0.225376,0.00158,0.119139,0.026432,0.421615,0.372527
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,7,0.229792,0.00175,0.120058,0.027456,0.431215,0.379056
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,8,0.225344,0.00158,0.119328,0.022112,0.420466,0.368364
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,9,0.3088,0.0015,0.120339,0.023968,0.506794,0.454607
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,10,0.224928,0.001569,0.11643,0.02416,0.413996,0.367087
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,11,0.236608,0.001801,0.1214,0.022528,0.434256,0.382337
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,12,0.227904,0.00161,0.11891,0.024032,0.423735,0.372456
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,13,0.231136,0.00187,0.120898,0.024512,0.429815,0.378416
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,14,0.23632,0.00161,0.119659,0.024064,0.432205,0.381653
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,15,0.22224,0.00155,0.11228,0.02688,0.402966,0.36295
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,16,0.4544,0.00156,0.121039,0.024384,0.653163,0.601383
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,17,0.227008,0.001491,0.119819,0.023424,0.423635,0.371742
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,18,0.226432,0.00173,0.120129,0.021056,0.421995,0.369347
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,19,0.23408,0.001569,0.11951,0.024832,0.430215,0.379991
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,20,0.23008,0.00157,0.119689,0.025088,0.427656,0.376427
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,21,0.231904,0.00159,0.120658,0.022176,0.425216,0.376328
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,22,0.227776,0.00162,0.121468,0.022752,0.427076,0.373616
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,23,0.452096,0.00152,0.119569,0.02288,0.646993,0.596065
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,24,0.227168,0.001581,0.118959,0.024256,0.423666,0.371964
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,25,0.2248,0.00152,0.119689,0.02384,0.429695,0.369849
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,26,0.225664,0.00157,0.119029,0.02352,0.420286,0.369783
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,27,0.231968,0.00164,0.128528,0.026528,0.439455,0.388664
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,28,0.227136,0.00159,0.120258,0.021248,0.422685,0.370232
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,29,0.227936,0.00157,0.119238,0.0232,0.421966,0.371944
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,30,0.226592,0.001509,0.119869,0.024832,0.430805,0.372802
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,31,0.226752,0.00177,0.119819,0.024192,0.422866,0.372533
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,32,0.227488,0.00151,0.119098,0.025536,0.425045,0.373632
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,33,0.228448,0.00165,0.120259,0.024448,0.427486,0.374805
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,34,0.234144,0.00162,0.119148,0.021856,0.429015,0.376768
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,35,0.225536,0.00172,0.119838,0.024832,0.422915,0.371926
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,36,0.228256,0.00155,0.119448,0.023392,0.424795,0.372646
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,37,0.233536,0.00155,0.119298,0.024736,0.431005,0.37912
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,38,0.227488,0.001831,0.120779,0.024288,0.427486,0.374386
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,39,0.227904,0.00154,0.126918,0.025056,0.430356,0.381418
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,40,0.227072,0.001601,0.119789,0.023552,0.422065,0.372014
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,41,0.22592,0.00162,0.120148,0.02256,0.422245,0.370248
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,42,0.234176,0.00166,0.120159,0.022784,0.431046,0.378779
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,43,0.22544,0.001579,0.120228,0.02352,0.422445,0.370767
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,44,0.23152,0.00148,0.118368,0.023968,0.425765,0.375336
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,45,0.231392,0.001611,0.121319,0.024736,0.431745,0.379058
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,46,0.228128,0.00148,0.120358,0.025824,0.426095,0.37579
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,47,0.228896,0.001578,0.121028,0.023392,0.428485,0.374894
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,48,0.228064,0.00147,0.119809,0.024096,0.603753,0.373439
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,49,0.228096,0.00162,0.119638,0.027712,0.427575,0.377066
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,50,0.226656,0.001521,0.112049,0.0272,0.411015,0.367426
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,51,0.226272,0.00155,0.119888,0.023808,0.422845,0.371518
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,52,0.234528,0.00161,0.119898,0.025504,0.432445,0.38154
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,53,0.307552,0.00167,0.119479,0.022336,0.503254,0.451037
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,54,0.22832,0.001511,0.119709,0.024128,0.425495,0.373668
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,55,0.229216,0.00157,0.119539,0.025696,0.425605,0.376021
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,56,0.231328,0.0016,0.119839,0.025344,0.427995,0.378111
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,57,0.236672,0.001621,0.119209,0.024672,0.434066,0.382174
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,58,0.232672,0.00156,0.120759,0.023424,0.430485,0.378415
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,59,0.227904,0.00157,0.119309,0.022528,0.422955,0.371311
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,60,0.227808,0.00183,0.223977,0.025024,0.529944,0.478639
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,61,0.226688,0.00145,0.118789,0.02384,0.419936,0.370767
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,62,0.239136,0.00168,0.120758,0.023456,0.436065,0.38503
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,63,0.22608,0.001609,0.119499,0.02352,0.421245,0.370708
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,64,0.235712,0.00161,0.118769,0.025184,0.434035,0.381275
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,65,0.235584,0.00158,0.121849,0.024608,0.434135,0.383621
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,66,0.226112,0.001599,0.119358,0.024608,0.422295,0.371677
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,67,0.22736,0.00179,0.119789,0.022368,0.422035,0.371307
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,68,0.225952,0.00148,0.119598,0.022688,0.419705,0.369718
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,69,0.23536,0.001569,0.11944,0.025376,0.434095,0.381745
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,70,0.227584,0.00161,0.120398,0.024544,0.425815,0.374136
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,71,0.229024,0.00165,0.128469,0.021984,0.435845,0.381127
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,72,0.22592,0.00149,0.120178,0.02656,0.425705,0.374148
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,73,0.22624,0.0016,0.264757,0.024704,0.567213,0.517301
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",64,74,0.22688,0.00156,0.120028,0.022784,0.423165,0.371252
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,0,1.5407,0.00211,0.542403,0.1032,2.25996,2.18842
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,1,1.52899,0.001691,0.530005,0.094496,2.20965,2.15518
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,2,1.5777,0.00163,0.524234,0.099264,2.25131,2.20282
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,3,1.52234,0.0019,0.530002,0.095616,2.20645,2.14985
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,4,1.5368,0.001729,0.531874,0.09696,2.22003,2.16736
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,5,1.61376,0.00159,0.530455,0.095712,2.29524,2.24152
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,6,1.52342,0.001769,0.528143,0.097344,2.20518,2.15068
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,7,1.57213,0.001849,0.530235,0.097952,2.25862,2.20216
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,8,1.60214,0.001611,0.529055,0.097152,2.28514,2.22996
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,9,1.52122,0.001709,0.525233,0.099616,2.19853,2.14777
3,double,uniform,CPU,"P | P | P | P | Ds | Ds",128,10,1.53184,0.00172,0.530085,0.099008,2.21842,2.16265
