dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,0,183.127,0,0.046729,51.8809,235.15,235.055
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,1,0.018784,0,0.029869,0.01152,0.102079,0.060173
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,2,0.011712,0,0.0197,0.009984,0.070409,0.041396
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,3,0.01408,0,0.018909,0.008704,0.071309,0.041693
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,4,0.0128,0,0.02188,0.005728,0.07512,0.040408
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,5,0.012896,0,0.022359,0.008832,0.078499,0.044087
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,6,0.014176,0,0.02162,0.005696,0.075809,0.041492
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,7,0.01296,0,0.02113,0.005728,0.167118,0.039818
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,8,0.012032,0,0.0217,0.006016,0.074889,0.039748
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,9,0.011168,0,0.021841,0.005536,0.072119,0.038545
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,10,0.01136,0,0.021119,0.007488,0.075229,0.039967
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,11,0.013792,0,0.02214,0.006368,0.07767,0.0423
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,12,0.011264,0,0.0219,0.006848,0.073669,0.040012
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,13,0.01328,0,0.02749,0.00592,0.082149,0.04669
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,14,0.01088,0,0.02119,0.00688,0.072559,0.03895
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,15,0.013984,0,0.02124,0.00832,0.07811,0.043544
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,16,0.01264,0,0.02208,0.006912,0.07616,0.041632
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,17,0.01408,0,0.02168,0.005728,0.07741,0.041488
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",64,18,0.012928,0,0.02123,0.008704,0.077239,0.042862
