dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,0,185.309,0.0025,0.136729,52.1264,237.676,237.574
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,1,0.009568,0.001578,0.120029,0.01616,0.201398,0.147335
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,2,0.013888,0.001499,0.116649,0.014752,0.200828,0.146788
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,3,0.014368,0.00152,0.121618,0.013952,0.207148,0.151458
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,4,0.008736,0.001569,0.116618,0.014976,0.195838,0.141899
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,5,0.01616,0.00157,0.116409,0.01408,0.202507,0.148219
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,6,0.015744,0.00166,0.116628,0.015488,0.205408,0.14952
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,7,0.016032,0.00149,0.11618,0.012896,0.200928,0.146598
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,8,0.015968,0.00151,0.116018,0.013824,0.201708,0.14732
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,9,0.017856,0.00165,0.115738,0.015584,0.205888,0.150828
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,10,0.015904,0.001529,0.116458,0.01504,0.202457,0.148931
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,11,0.015392,0.00148,0.117179,0.01424,0.202138,0.148291
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,12,0.016608,0.0016,0.116529,0.015264,0.203327,0.150001
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,13,0.01568,0.001589,0.111979,0.01728,0.195568,0.146528
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,14,0.015072,0.0015,0.113419,0.01552,0.197658,0.145511
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,15,0.008288,0.00157,0.115488,0.014496,0.194848,0.139842
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,16,0.01568,0.00143,0.116448,0.014464,0.201228,0.148022
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,17,0.018016,0.00145,0.115699,0.0152,0.202718,0.150365
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,18,0.016672,0.001449,0.115719,0.01648,0.204318,0.15032
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,19,0.009984,0.00147,0.115608,0.014688,0.197898,0.14175
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,20,0.014496,0.001461,0.110058,0.016288,0.191738,0.142303
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,21,0.009056,0.00148,0.203338,0.01488,0.283708,0.228754
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,22,0.0152,0.001469,0.116228,0.015904,0.202368,0.148801
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,23,0.015008,0.00149,0.11646,0.014208,0.201638,0.147166
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,24,0.016736,0.001479,0.116959,0.015104,0.203729,0.150278
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,25,0.016032,0.00157,0.11654,0.015072,0.202278,0.149214
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,26,0.015552,0.00151,0.116548,0.015008,0.202569,0.148618
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,27,0.014336,0.0015,0.11613,0.01376,0.201718,0.145726
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,28,0.015296,0.00147,0.116619,0.015424,0.202308,0.148809
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,29,0.015744,0.00148,0.116308,0.015584,0.202958,0.149116
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,30,0.014848,0.00153,0.116748,0.01312,0.200978,0.146246
