dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | N | D",64,0,0.29184,0.003041,0.177677,216.797,217.389,217.269
3,double,uniform,CPU,"P | P | P | P | N | D",64,1,0.2344,0.001618,0.12782,0.028,0.445825,0.391838
3,double,uniform,CPU,"P | P | P | P | N | D",64,2,0.222912,0.00158,0.112428,0.026624,0.406056,0.363544
3,double,uniform,CPU,"P | P | P | P | N | D",64,3,0.227552,0.00175,0.120179,0.023232,0.425436,0.372713
3,double,uniform,CPU,"P | P | P | P | N | D",64,4,0.229216,0.00145,0.119428,0.023936,0.430006,0.37403
3,double,uniform,CPU,"P | P | P | P | N | D",64,5,0.232288,0.00159,0.118209,0.024032,0.426395,0.376119
3,double,uniform,CPU,"P | P | P | P | N | D",64,6,0.23824,0.00163,0.119628,0.026336,0.438615,0.385834
3,double,uniform,CPU,"P | P | P | P | N | D",64,7,0.23152,0.001761,0.120018,0.027488,0.431585,0.380787
3,double,uniform,CPU,"P | P | P | P | N | D",64,8,0.225856,0.00164,0.110888,0.026464,0.406126,0.364848
3,double,uniform,CPU,"P | P | P | P | N | D",64,9,0.228672,0.001621,0.119279,0.032448,0.432765,0.38202
3,double,uniform,CPU,"P | P | P | P | N | D",64,10,0.23152,0.00158,0.120028,0.024672,0.430695,0.3778
3,double,uniform,CPU,"P | P | P | P | N | D",64,11,0.229056,0.001559,0.117829,0.032832,0.433245,0.381276
3,double,uniform,CPU,"P | P | P | P | N | D",64,12,0.228288,0.001459,0.117589,0.023008,0.421636,0.370344
3,double,uniform,CPU,"P | P | P | P | N | D",64,13,0.224992,0.001621,0.11069,0.02688,0.407535,0.364183
3,double,uniform,CPU,"P | P | P | P | N | D",64,14,0.228288,0.001819,0.117979,0.024832,0.419595,0.372918
3,double,uniform,CPU,"P | P | P | P | N | D",64,15,0.23664,0.00154,0.120689,0.024864,0.436095,0.383733
3,double,uniform,CPU,"P | P | P | P | N | D",64,16,0.228512,0.00159,0.119699,0.024224,0.428495,0.374025
3,double,uniform,CPU,"P | P | P | P | N | D",64,17,0.228864,0.00155,0.118808,0.024192,0.429755,0.373414
3,double,uniform,CPU,"P | P | P | P | N | D",64,18,0.230784,0.001601,0.117629,0.021056,0.423465,0.37107
3,double,uniform,CPU,"P | P | P | P | N | D",64,19,0.417856,0.0015,0.117839,0.024992,0.612263,0.562187
3,double,uniform,CPU,"P | P | P | P | N | D",64,20,0.230624,0.00176,0.119789,0.026176,0.428625,0.378349
3,double,uniform,CPU,"P | P | P | P | N | D",64,21,0.229984,0.001562,0.12042,0.024736,0.432875,0.376702
3,double,uniform,CPU,"P | P | P | P | N | D",64,22,0.229408,0.00148,0.118589,0.026208,0.425945,0.375685
3,double,uniform,CPU,"P | P | P | P | N | D",64,23,0.229408,0.00154,0.117419,0.02608,0.424825,0.374447
3,double,uniform,CPU,"P | P | P | P | N | D",64,24,0.2304,0.00154,0.117858,0.023776,0.425676,0.373574
3,double,uniform,CPU,"P | P | P | P | N | D",64,25,0.224064,0.001539,0.113299,0.024768,0.408376,0.36367
3,double,uniform,CPU,"P | P | P | P | N | D",64,26,0.229696,0.001551,0.118548,0.024096,0.426105,0.373891
3,double,uniform,CPU,"P | P | P | P | N | D",64,27,0.227104,0.001671,0.225217,0.025984,0.531214,0.479976
3,double,uniform,CPU,"P | P | P | P | N | D",64,28,0.228192,0.00155,0.119378,0.025792,0.424075,0.374912
3,double,uniform,CPU,"P | P | P | P | N | D",64,29,0.228928,0.00148,0.117999,0.024576,0.423186,0.372983
3,double,uniform,CPU,"P | P | P | P | N | D",64,30,0.231648,0.00158,0.119778,0.02448,0.430615,0.377486
3,double,uniform,CPU,"P | P | P | P | N | D",64,31,0.229152,0.001568,0.116789,0.026784,0.423006,0.374293
3,double,uniform,CPU,"P | P | P | P | N | D",64,32,0.231008,0.001569,0.117778,0.026272,0.427916,0.376627
3,double,uniform,CPU,"P | P | P | P | N | D",64,33,0.228512,0.00154,0.118298,0.022592,0.422685,0.370942
3,double,uniform,CPU,"P | P | P | P | N | D",64,34,0.23056,0.00146,0.119558,0.026016,0.430905,0.377594
3,double,uniform,CPU,"P | P | P | P | N | D",64,35,0.230464,0.00817,0.118238,0.026272,0.434895,0.383144
3,double,uniform,CPU,"P | P | P | P | N | D",64,36,0.22944,0.0015,0.117469,0.024192,0.424255,0.372601
3,double,uniform,CPU,"P | P | P | P | N | D",64,37,0.23472,0.00189,0.117298,0.025152,0.430695,0.37906
3,double,uniform,CPU,"P | P | P | P | N | D",64,38,0.22752,0.00154,0.118239,0.024768,0.422645,0.372067
