dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"P | P",64,57,0.012416,0,0.027249,0.012512,0.093249,0.052177
1,double,uniform,GPU,"P | P",64,58,0.01328,0,0.027649,0.013856,0.095889,0.054785
1,double,uniform,GPU,"P | P",64,59,0.012448,0,0.0275,0.012544,0.093169,0.052492
1,double,uniform,GPU,"P | P",64,60,0.012352,0,0.02722,0.012768,0.095549,0.05234
1,double,uniform,GPU,"P | P",64,61,0.013376,0,0.02724,0.011712,0.095789,0.052328
1,double,uniform,GPU,"P | P",64,62,0.01344,0,0.028089,0.014336,0.099089,0.055865
1,double,uniform,GPU,"P | P",64,63,0.012768,0,0.027529,0.011456,0.093509,0.051753
1,double,uniform,GPU,"P | P",64,64,0.012,0,0.027329,0.012032,0.092199,0.051361
1,double,uniform,GPU,"P | P",64,65,0.012288,0,0.02759,0.012192,0.093119,0.05207
1,double,uniform,GPU,"P | P",64,66,0.014048,0,0.02728,0.01088,0.093549,0.052208
1,double,uniform,GPU,"P | P",64,67,0.013856,0,0.033749,0.013344,0.103769,0.060949
1,double,uniform,GPU,"P | P",64,68,0.01376,0,0.034199,0.012608,0.102519,0.060567
1,double,uniform,GPU,"P | P",64,69,0.013088,0,0.02743,0.01184,0.096459,0.052358
1,double,uniform,GPU,"P | P",64,70,0.013856,0,0.027499,0.01168,0.095299,0.053035
1,double,uniform,GPU,"P | P",64,71,0.01392,0,0.02709,0.01088,0.094199,0.05189
1,double,uniform,GPU,"P | P",64,72,0.012768,0,0.027609,0.012448,0.094099,0.052825
1,double,uniform,GPU,"P | P",64,73,0.012,0,0.02744,0.014016,0.096299,0.053456
1,double,uniform,GPU,"P | P",64,74,0.013216,0,0.02747,0.012704,0.096519,0.05339
1,double,uniform,GPU,"P | P",128,0,0.02528,0,0.033119,0.02272,0.130759,0.081119
1,double,uniform,GPU,"P | P",128,1,0.0136,0,0.029439,0.014112,0.099939,0.057151
1,double,uniform,GPU,"P | P",128,2,0.012672,0,0.03009,0.013888,0.097629,0.05665
1,double,uniform,GPU,"P | P",128,3,0.013536,0,0.02952,0.012928,0.097158,0.055984
1,double,uniform,GPU,"P | P",128,4,0.012768,0,0.03012,0.013984,0.099219,0.056872
1,double,uniform,GPU,"P | P",128,5,0.012992,0,0.02575,0.014304,0.091519,0.053046
1,double,uniform,GPU,"P | P",128,6,0.012128,0,0.025619,0.014016,0.087149,0.051763
1,double,uniform,GPU,"P | P",128,7,0.011456,0,0.02953,0.01344,0.095149,0.054426
1,double,uniform,GPU,"P | P",128,8,0.012672,0,0.02991,0.012544,0.095659,0.055126
1,double,uniform,GPU,"P | P",128,9,0.012864,0,0.02974,0.011616,0.101849,0.05422
1,double,uniform,GPU,"P | P",128,10,0.012448,0,0.029449,0.013664,0.098208,0.055561
1,double,uniform,GPU,"P | P",128,11,0.013504,0,0.0295,0.013344,0.097999,0.056348
1,double,uniform,GPU,"P | P",128,12,0.0128,0,0.029179,0.012992,0.095559,0.054971
1,double,uniform,GPU,"P | P",128,13,0.011872,0,0.02987,0.01488,0.098519,0.056622
1,double,uniform,GPU,"P | P",128,14,0.014432,0,0.02963,0.012992,0.098819,0.057054
1,double,uniform,GPU,"P | P",128,15,0.013216,0,0.029329,0.014592,0.098099,0.057137
1,double,uniform,GPU,"P | P",128,16,0.011104,0,0.02909,0.0152,0.095989,0.055394
1,double,uniform,GPU,"P | P",128,17,0.013152,0,0.029749,0.013856,0.097579,0.056757
1,double,uniform,GPU,"P | P",128,18,0.011456,0,0.02984,0.012544,0.095019,0.05384
1,double,uniform,GPU,"P | P",128,19,0.01216,0,0.02933,0.011904,0.093909,0.053394
1,double,uniform,GPU,"P | P",128,20,0.012864,0,0.02927,0.012448,0.094628,0.054582
1,double,uniform,GPU,"P | P",128,21,0.012288,0,0.029569,0.0144,0.096969,0.056257
1,double,uniform,GPU,"P | P",128,22,0.012736,0,0.02908,0.014752,0.098269,0.056568
