dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"D | D",64,0,182.975,0,0.03496,50.4643,233.567,233.474
1,float,uniform,GPU,"D | D",64,1,0.012576,0,0.02177,0.0064,0.077339,0.040746
1,float,uniform,GPU,"D | D",64,2,0.010656,0,0.01873,0.00608,0.06865,0.035466
1,float,uniform,GPU,"D | D",64,3,0.01104,0,0.0181,0.005472,0.069059,0.034612
1,float,uniform,GPU,"D | D",64,4,0.011296,0,0.018439,0.005408,0.068619,0.035143
1,float,uniform,GPU,"D | D",64,5,0.010848,0,0.01842,0.005664,0.067799,0.034932
1,float,uniform,GPU,"D | D",64,6,0.013696,0,0.01817,0.005248,0.06999,0.037114
1,float,uniform,GPU,"D | D",64,7,0.010144,0,0.019,0.005568,0.06845,0.034712
1,float,uniform,GPU,"D | D",64,8,0.010688,0,0.01796,0.005312,0.06687,0.03396
1,float,uniform,GPU,"D | D",64,9,0.010144,0,0.01879,0.00448,0.06731,0.033414
1,float,uniform,GPU,"D | D",64,10,0.010016,0,0.01798,0.005376,0.066729,0.033372
1,float,uniform,GPU,"D | D",64,11,0.010848,0,0.01905,0.00704,0.07083,0.036938
1,float,uniform,GPU,"D | D",64,12,0.009728,0,0.018631,0.005568,0.066599,0.033927
1,float,uniform,GPU,"D | D",64,13,0.010432,0,0.01774,0.013056,0.07599,0.041228
1,float,uniform,GPU,"D | D",64,14,0.01152,0,0.01827,0.005504,0.068469,0.035294
1,float,uniform,GPU,"D | D",64,15,0.012576,0,0.01859,0.005312,0.06841,0.036478
1,float,uniform,GPU,"D | D",64,16,0.012544,0,0.01797,0.005824,0.070419,0.036338
1,float,uniform,GPU,"D | D",64,17,0.010048,0,0.01804,0.006368,0.067589,0.034456
1,float,uniform,GPU,"D | D",64,18,0.010464,0,0.01643,0.006528,0.061319,0.033422
1,float,uniform,GPU,"D | D",64,19,0.011712,0,0.017891,0.005248,0.067319,0.034851
1,float,uniform,GPU,"D | D",64,20,0.011296,0,0.01807,0.005408,0.068059,0.034774
1,float,uniform,GPU,"D | D",64,21,0.01216,0,0.017809,0.005472,0.067969,0.035441
1,float,uniform,GPU,"D | D",64,22,0.013856,0,0.01839,0.0056,0.07152,0.037846
1,float,uniform,GPU,"D | D",64,23,0.010528,0,0.01828,0.005472,0.06781,0.03428
1,float,uniform,GPU,"D | D",64,24,0.012032,0,0.018601,0.0056,0.068309,0.036233
1,float,uniform,GPU,"D | D",64,25,0.010208,0,0.018799,0.004544,0.067719,0.033551
1,float,uniform,GPU,"D | D",64,26,0.011008,0,0.022709,0.004512,0.072789,0.038229
1,float,uniform,GPU,"D | D",64,27,0.01328,0,0.0181,0.005088,0.070299,0.036468
1,float,uniform,GPU,"D | D",64,28,0.01152,0,0.01832,0.005376,0.068269,0.035216
1,float,uniform,GPU,"D | D",64,29,0.013568,0,0.018358,0.006176,0.072549,0.038102
1,float,uniform,GPU,"D | D",64,30,0.012736,0,0.01793,0.007072,0.07224,0.037738
1,float,uniform,GPU,"D | D",64,31,0.012512,0,0.018351,0.005248,0.068949,0.036111
1,float,uniform,GPU,"D | D",64,32,0.011712,0,0.01825,0.005152,0.067579,0.035114
1,float,uniform,GPU,"D | D",64,33,0.012416,0,0.0183,0.007328,0.070259,0.038044
1,float,uniform,GPU,"D | D",64,34,0.011232,0,0.0185,0.0056,0.06817,0.035332
1,float,uniform,GPU,"D | D",64,35,0.010688,0,0.017759,0.005408,0.067149,0.033855
1,float,uniform,GPU,"D | D",64,36,0.00976,0,0.01851,0.005344,0.066219,0.033614
1,float,uniform,GPU,"D | D",64,37,0.012704,0,0.018249,0.00528,0.070459,0.036233
1,float,uniform,GPU,"D | D",64,38,0.010304,0,0.0179,0.005184,0.06534,0.033388
1,float,uniform,GPU,"D | D",64,39,0.01072,0,0.01948,0.011488,0.075439,0.041688
1,float,uniform,GPU,"D | D",64,40,0.010592,0,0.01776,0.00544,0.067459,0.033792
1,float,uniform,GPU,"D | D",64,41,0.01296,0,0.01792,0.004576,0.07362,0.035456
1,float,uniform,GPU,"D | D",64,42,0.011296,0,0.018749,0.005568,0.067279,0.035613
1,float,uniform,GPU,"D | D",64,43,0.013632,0,0.01828,0.005696,0.07068,0.037608
1,float,uniform,GPU,"D | D",64,44,0.011232,0,0.01804,0.005312,0.06651,0.034584
1,float,uniform,GPU,"D | D",64,45,0.01216,0,0.018329,0.005408,0.068489,0.035897
1,float,uniform,GPU,"D | D",64,46,0.013408,0,0.01786,0.009184,0.07317,0.040452
1,float,uniform,GPU,"D | D",64,47,0.011936,0,0.01828,0.00704,0.071369,0.037256
1,float,uniform,GPU,"D | D",64,48,0.011424,0,0.0178,0.0056,0.06759,0.034824
