dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"P | P",64,0,0.060992,0,0.05571,209.762,209.987,209.878
1,double,uniform,CPU,"P | P",64,1,0.021184,0,0.02699,0.018016,0.107319,0.06619
1,double,uniform,CPU,"P | P",64,2,0.021824,0,0.028229,0.017056,0.112858,0.067109
1,double,uniform,CPU,"P | P",64,3,0.02,0,0.02801,0.01632,0.110709,0.06433
1,double,uniform,CPU,"P | P",64,4,0.02032,0,0.027709,0.016288,0.110109,0.064317
1,double,uniform,CPU,"P | P",64,5,0.019744,0,0.028169,0.015392,0.108628,0.063305
1,double,uniform,CPU,"P | P",64,6,0.019392,0,0.02783,0.015072,0.109549,0.062294
1,double,uniform,CPU,"P | P",64,7,0.018368,0,0.02824,0.014592,0.107049,0.0612
1,double,uniform,CPU,"P | P",64,8,0.020096,0,0.02745,0.014272,0.105919,0.061818
1,double,uniform,CPU,"P | P",64,9,0.019808,0,0.02778,0.01616,0.111619,0.063748
1,double,uniform,CPU,"P | P",64,10,0.019136,0,0.02727,0.015328,0.108069,0.061734
1,double,uniform,CPU,"P | P",64,11,0.02,0,0.02783,0.016672,0.112128,0.064502
1,double,uniform,CPU,"P | P",64,12,0.018688,0,0.02747,0.015328,0.108929,0.061486
1,double,uniform,CPU,"P | P",64,13,0.019424,0,0.02818,0.015616,0.108909,0.06322
1,double,uniform,CPU,"P | P",64,14,0.0184,0,0.0235,0.0176,0.09669,0.0595
1,double,uniform,CPU,"P | P",64,15,0.019776,0,0.02807,0.014752,0.111209,0.062598
1,double,uniform,CPU,"P | P",64,16,0.018784,0,0.027969,0.015136,0.109719,0.061889
1,double,uniform,CPU,"P | P",64,17,0.018944,0,0.027809,0.016416,0.110509,0.063169
1,double,uniform,CPU,"P | P",64,18,0.022112,0,0.02707,0.018656,0.118268,0.067838
1,double,uniform,CPU,"P | P",64,19,0.019008,0,0.028139,0.016288,0.110529,0.063435
1,double,uniform,CPU,"P | P",64,20,0.020224,0,0.02794,0.01664,0.112239,0.064804
1,double,uniform,CPU,"P | P",64,21,0.02064,0,0.02783,0.01584,0.110829,0.06431
1,double,uniform,CPU,"P | P",64,22,0.020128,0,0.02729,0.015456,0.108599,0.062874
1,double,uniform,CPU,"P | P",64,23,0.019616,0,0.034149,0.015552,0.115309,0.069317
1,double,uniform,CPU,"P | P",64,24,0.019968,0,0.105189,0.015584,0.189187,0.140741
1,double,uniform,CPU,"P | P",64,25,0.018368,0,0.028059,0.014944,0.108609,0.061371
1,double,uniform,CPU,"P | P",64,26,0.021536,0,0.027359,0.015296,0.109909,0.064191
1,double,uniform,CPU,"P | P",64,27,0.0184,0,0.0245,0.014272,0.095819,0.057172
1,double,uniform,CPU,"P | P",64,28,0.019584,0,0.027679,0.016128,0.112979,0.063391
1,double,uniform,CPU,"P | P",64,29,0.019424,0,0.028099,0.016768,0.111279,0.064291
1,double,uniform,CPU,"P | P",64,30,0.02032,0,0.02776,0.016896,0.112139,0.064976
1,double,uniform,CPU,"P | P",64,31,0.020512,0,0.0272,0.017248,0.111678,0.06496
1,double,uniform,CPU,"P | P",64,32,0.017888,0,0.02753,0.014688,0.107158,0.060106
1,double,uniform,CPU,"P | P",64,33,0.018112,0,0.02835,0.0152,0.108759,0.061662
1,double,uniform,CPU,"P | P",64,34,0.02032,0,0.028099,0.015424,0.114319,0.063843
1,double,uniform,CPU,"P | P",64,35,0.018848,0,0.028269,0.01712,0.111089,0.064237
1,double,uniform,CPU,"P | P",64,36,0.019584,0,0.027009,0.01648,0.110839,0.063073
1,double,uniform,CPU,"P | P",64,37,0.018688,0,0.02772,0.015424,0.108829,0.061832
1,double,uniform,CPU,"P | P",64,38,0.020032,0,0.02792,0.015968,0.110948,0.06392
1,double,uniform,CPU,"P | P",64,39,0.018656,0,0.027679,0.013984,0.106519,0.060319
1,double,uniform,CPU,"P | P",64,40,0.019136,0,0.02773,0.0168,0.108488,0.063666
1,double,uniform,CPU,"P | P",64,41,0.019264,0,0.027949,0.01664,0.111599,0.063853
1,double,uniform,CPU,"P | P",64,42,0.020288,0,0.027549,0.016256,0.111199,0.064093
1,double,uniform,CPU,"P | P",64,43,0.019808,0,0.028651,0.016224,0.112419,0.064683
1,double,uniform,CPU,"P | P",64,44,0.02048,0,0.027358,0.017088,0.110609,0.064926
1,double,uniform,CPU,"P | P",64,45,0.022272,0,0.02782,0.018976,0.119078,0.069068
1,double,uniform,CPU,"P | P",64,46,0.01888,0,0.027349,0.015552,0.108279,0.061781
1,double,uniform,CPU,"P | P",64,47,0.021152,0,0.028289,0.016416,0.111629,0.065857
1,double,uniform,CPU,"P | P",64,48,0.019616,0,0.027869,0.016416,0.111499,0.063901
1,double,uniform,CPU,"P | P",64,49,0.018688,0,0.0276,0.014752,0.106629,0.06104
1,double,uniform,CPU,"P | P",64,50,0.020384,0,0.02752,0.018688,0.112579,0.066592
1,double,uniform,CPU,"P | P",64,51,0.01968,0,0.02793,0.01664,0.111408,0.06425
1,double,uniform,CPU,"P | P",64,52,0.020928,0,0.02778,0.015904,0.117999,0.064612
1,double,uniform,CPU,"P | P",64,53,0.021632,0,0.02839,0.016224,0.110938,0.066246
1,double,uniform,CPU,"P | P",64,54,0.019296,0,0.02734,0.014752,0.108668,0.061388
1,double,uniform,CPU,"P | P",64,55,0.019424,0,0.02854,0.013984,0.110339,0.061948
1,double,uniform,CPU,"P | P",64,56,0.019328,0,0.027699,0.01552,0.109019,0.062547
1,double,uniform,CPU,"P | P",64,57,0.020032,0,0.02809,0.016608,0.111949,0.06473
1,double,uniform,CPU,"P | P",64,58,0.019968,0,0.02769,0.016064,0.110959,0.063722
1,double,uniform,CPU,"P | P",64,59,0.018656,0,0.02542,0.016352,0.103959,0.060428
1,double,uniform,CPU,"P | P",64,60,0.01888,0,0.02806,0.016576,0.110238,0.063516
1,double,uniform,CPU,"P | P",64,61,0.019296,0,0.02806,0.015136,0.108799,0.062492
1,double,uniform,CPU,"P | P",64,62,0.018144,0,0.027519,0.018304,0.110139,0.063967
1,double,uniform,CPU,"P | P",64,63,0.020512,0,0.02734,0.016576,0.111189,0.064428
1,double,uniform,CPU,"P | P",64,64,0.018144,0,0.02729,0.015584,0.107849,0.061018
1,double,uniform,CPU,"P | P",64,65,0.0208,0,0.0278,0.016256,0.110909,0.064856
1,double,uniform,CPU,"P | P",64,66,0.020064,0,0.027679,0.015744,0.108669,0.063487
1,double,uniform,CPU,"P | P",64,67,0.019776,0,0.027489,0.01392,0.108049,0.061185
1,double,uniform,CPU,"P | P",64,68,0.018912,0,0.027279,0.01696,0.110949,0.063151
1,double,uniform,CPU,"P | P",64,69,0.018496,0,0.02798,0.016384,0.111258,0.06286
1,double,uniform,CPU,"P | P",64,70,0.020064,0,0.02771,0.014272,0.108139,0.062046
1,double,uniform,CPU,"P | P",64,71,0.020576,0,0.027359,0.015264,0.108309,0.063199
1,double,uniform,CPU,"P | P",64,72,0.021056,0,0.023599,0.018016,0.107489,0.062671
1,double,uniform,CPU,"P | P",64,73,0.01856,0,0.027919,0.121344,0.214868,0.167823
1,double,uniform,CPU,"P | P",64,74,0.020736,0,0.02811,0.015872,0.112109,0.064718
1,double,uniform,CPU,"P | P",128,0,0.024832,0,0.034049,0.028384,0.146429,0.087265
1,double,uniform,CPU,"P | P",128,1,0.02,0,0.029849,0.014976,0.114409,0.064825
1,double,uniform,CPU,"P | P",128,2,0.019072,0,0.0298,0.015648,0.108189,0.06452
1,double,uniform,CPU,"P | P",128,3,0.023904,0,0.02577,0.018464,0.106668,0.068138
1,double,uniform,CPU,"P | P",128,4,0.017952,0,0.02942,0.01616,0.109588,0.063532
1,double,uniform,CPU,"P | P",128,5,0.021664,0,0.029719,0.015648,0.112939,0.067031
1,double,uniform,CPU,"P | P",128,6,0.023136,0,0.029669,0.012768,0.110659,0.065573
1,double,uniform,CPU,"P | P",128,7,0.01904,0,0.029799,0.01696,0.112059,0.065799
1,double,uniform,CPU,"P | P",128,8,0.019232,0,0.035739,0.017504,0.121198,0.072475
1,double,uniform,CPU,"P | P",128,9,0.018528,0,0.02934,0.01664,0.111599,0.064508
1,double,uniform,CPU,"P | P",128,10,0.021632,0,0.02992,0.017856,0.115609,0.069408
1,double,uniform,CPU,"P | P",128,11,0.018464,0,0.02964,0.01696,0.110238,0.065064
1,double,uniform,CPU,"P | P",128,12,0.02128,0,0.0295,0.01856,0.118009,0.06934
1,double,uniform,CPU,"P | P",128,13,0.018496,0,0.02997,0.013568,0.107498,0.062034
1,double,uniform,CPU,"P | P",128,14,0.020192,0,0.02954,0.014816,0.111159,0.064548
1,double,uniform,CPU,"P | P",128,15,0.018816,0,0.027279,0.019072,0.106229,0.065167
1,double,uniform,CPU,"P | P",128,16,0.017696,0,0.032649,0.017856,0.104789,0.068201
1,double,uniform,CPU,"P | P",128,17,0.020384,0,0.029429,0.015904,0.109219,0.065717
1,double,uniform,CPU,"P | P",128,18,0.020768,0,0.02945,0.01552,0.111278,0.065738
1,double,uniform,CPU,"P | P",128,19,0.019968,0,0.029118,0.014944,0.110119,0.06403
1,double,uniform,CPU,"P | P",128,20,0.0192,0,0.02978,0.016096,0.111108,0.065076
1,double,uniform,CPU,"P | P",128,21,0.018528,0,0.02925,0.015264,0.109508,0.063042
1,double,uniform,CPU,"P | P",128,22,0.019488,0,0.029729,0.015872,0.111549,0.065089
1,double,uniform,CPU,"P | P",128,23,0.01936,0,0.02948,0.015744,0.108218,0.064584
1,double,uniform,CPU,"P | P",128,24,0.023744,0,0.02961,0.017216,0.116179,0.07057
1,double,uniform,CPU,"P | P",128,25,0.020832,0,0.030559,0.018016,0.116219,0.069407
1,double,uniform,CPU,"P | P",128,26,0.019072,0,0.02955,0.01616,0.110408,0.064782
1,double,uniform,CPU,"P | P",128,27,0.018976,0,0.030099,0.016704,0.112308,0.065779
1,double,uniform,CPU,"P | P",128,28,0.018336,0,0.029379,0.014528,0.106309,0.062243
1,double,uniform,CPU,"P | P",128,29,0.018976,0,0.027929,0.015712,0.101949,0.062617
1,double,uniform,CPU,"P | P",128,30,0.021152,0,0.02963,0.017952,0.113698,0.068734
1,double,uniform,CPU,"P | P",128,31,0.020544,0,0.02951,0.015488,0.112779,0.065542
1,double,uniform,CPU,"P | P",128,32,0.019232,0,0.02959,0.014912,0.107429,0.063734
1,double,uniform,CPU,"P | P",128,33,0.018688,0,0.0365,0.015296,0.117718,0.070484
1,double,uniform,CPU,"P | P",128,34,0.020032,0,0.029699,0.01712,0.194168,0.066851
1,double,uniform,CPU,"P | P",128,35,0.01872,0,0.02939,0.014304,0.105569,0.062414
