dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | P | P",64,23,0.149632,0,0.02746,0.02256,0.253057,0.199652
3,float,uniform,CPU,"P | P | P | P | P | P",64,24,0.145024,0,0.02821,0.012832,0.240807,0.186066
3,float,uniform,CPU,"P | P | P | P | P | P",64,25,0.151136,0,0.034429,0.010976,0.252947,0.196541
3,float,uniform,CPU,"P | P | P | P | P | P",64,26,0.149728,0,0.028239,0.012768,0.243517,0.190735
3,float,uniform,CPU,"P | P | P | P | P | P",64,27,0.150464,0,0.027389,0.012928,0.243287,0.190781
3,float,uniform,CPU,"P | P | P | P | P | P",64,28,0.149888,0,0.027139,0.012608,0.242457,0.189635
3,float,uniform,CPU,"P | P | P | P | P | P",64,29,0.14928,0,0.027459,0.0136,0.244347,0.190339
3,float,uniform,CPU,"P | P | P | P | P | P",64,30,0.153152,0,0.02708,0.01456,0.250217,0.194792
3,float,uniform,CPU,"P | P | P | P | P | P",64,31,0.151712,0,0.027189,0.011552,0.245407,0.190453
3,float,uniform,CPU,"P | P | P | P | P | P",64,32,0.153312,0,0.02732,0.015296,0.249088,0.195928
3,float,uniform,CPU,"P | P | P | P | P | P",64,33,0.150176,0,0.02821,0.01264,0.245137,0.191026
3,float,uniform,CPU,"P | P | P | P | P | P",64,34,0.148256,0,0.02782,0.012192,0.241167,0.188268
3,float,uniform,CPU,"P | P | P | P | P | P",64,35,0.148,0,0.0276,0.015328,0.243447,0.190928
3,float,uniform,CPU,"P | P | P | P | P | P",64,36,0.15808,0,0.02726,0.012192,0.248617,0.197532
3,float,uniform,CPU,"P | P | P | P | P | P",64,37,0.15168,0,0.02812,0.013888,0.247597,0.193688
3,float,uniform,CPU,"P | P | P | P | P | P",64,38,0.146432,0,0.02499,0.014144,0.230337,0.185566
3,float,uniform,CPU,"P | P | P | P | P | P",64,39,0.152896,0,0.027259,0.012928,0.247358,0.193083
3,float,uniform,CPU,"P | P | P | P | P | P",64,40,0.15568,0,0.02728,0.012576,0.249898,0.195536
3,float,uniform,CPU,"P | P | P | P | P | P",64,41,0.152384,0,0.027439,0.015392,0.249558,0.195215
3,float,uniform,CPU,"P | P | P | P | P | P",64,42,0.14912,0,0.02814,0.013472,0.244998,0.190732
3,float,uniform,CPU,"P | P | P | P | P | P",64,43,0.410688,0,0.02781,0.015616,0.508864,0.454114
3,float,uniform,CPU,"P | P | P | P | P | P",64,44,0.148384,0,0.027249,0.013536,0.243647,0.189169
3,float,uniform,CPU,"P | P | P | P | P | P",64,45,0.146016,0,0.0263,0.012416,0.236017,0.184732
3,float,uniform,CPU,"P | P | P | P | P | P",64,46,0.148128,0,0.028869,0.012288,0.242407,0.189285
3,float,uniform,CPU,"P | P | P | P | P | P",64,47,0.153056,0,0.02696,0.01216,0.248047,0.192176
3,float,uniform,CPU,"P | P | P | P | P | P",64,48,0.149824,0,0.035319,0.011744,0.251877,0.196887
3,float,uniform,CPU,"P | P | P | P | P | P",64,49,0.14752,0,0.02791,0.01296,0.242747,0.18839
3,float,uniform,CPU,"P | P | P | P | P | P",64,50,0.151648,0,0.02735,0.012992,0.247178,0.19199
3,float,uniform,CPU,"P | P | P | P | P | P",64,51,0.153312,0,0.02863,0.012096,0.254047,0.194038
3,float,uniform,CPU,"P | P | P | P | P | P",64,52,0.148704,0,0.02712,0.013472,0.243857,0.189296
3,float,uniform,CPU,"P | P | P | P | P | P",64,53,0.150144,0,0.02738,0.012544,0.245148,0.190068
3,float,uniform,CPU,"P | P | P | P | P | P",64,54,0.148064,0,0.027419,0.010784,0.241447,0.186267
3,float,uniform,CPU,"P | P | P | P | P | P",64,55,0.14928,0,0.02728,0.01472,0.246567,0.19128
3,float,uniform,CPU,"P | P | P | P | P | P",64,56,0.153984,0,0.027169,0.0128,0.248317,0.193953
3,float,uniform,CPU,"P | P | P | P | P | P",64,57,0.154752,0,0.02782,0.0152,0.249437,0.197772
3,float,uniform,CPU,"P | P | P | P | P | P",64,58,0.150208,0,0.02769,0.011488,0.242337,0.189386
3,float,uniform,CPU,"P | P | P | P | P | P",64,59,0.147136,0,0.02807,0.011456,0.242267,0.186662
3,float,uniform,CPU,"P | P | P | P | P | P",64,60,0.148224,0,0.02752,0.013952,0.244287,0.189696
3,float,uniform,CPU,"P | P | P | P | P | P",64,61,0.147808,0,0.0273,0.012064,0.239617,0.187172
3,float,uniform,CPU,"P | P | P | P | P | P",64,62,0.15104,0,0.02735,0.01328,0.247198,0.19167
3,float,uniform,CPU,"P | P | P | P | P | P",64,63,0.1512,0,0.02695,0.012768,0.244708,0.190918
3,float,uniform,CPU,"P | P | P | P | P | P",64,64,0.159264,0,0.02717,0.012128,0.253808,0.198562
3,float,uniform,CPU,"P | P | P | P | P | P",64,65,0.148288,0,0.02769,0.013728,0.244598,0.189706
3,float,uniform,CPU,"P | P | P | P | P | P",64,66,0.150976,0,0.027249,0.012928,0.247077,0.191153
3,float,uniform,CPU,"P | P | P | P | P | P",64,67,0.155392,0,0.028529,0.01312,0.249548,0.197041
3,float,uniform,CPU,"P | P | P | P | P | P",64,68,0.150688,0,0.02436,0.017344,0.236997,0.192392
3,float,uniform,CPU,"P | P | P | P | P | P",64,69,0.150272,0,0.02745,0.012544,0.244098,0.190266
3,float,uniform,CPU,"P | P | P | P | P | P",64,70,0.156192,0,0.02706,0.013472,0.249587,0.196724
3,float,uniform,CPU,"P | P | P | P | P | P",64,71,0.150112,0,0.02739,0.013248,0.244607,0.19075
3,float,uniform,CPU,"P | P | P | P | P | P",64,72,0.152384,0,0.027429,0.01296,0.249518,0.192773
3,float,uniform,CPU,"P | P | P | P | P | P",64,73,0.148352,0,0.02744,0.014016,0.244097,0.189808
3,float,uniform,CPU,"P | P | P | P | P | P",64,74,0.150272,0,0.027889,0.01376,0.245457,0.191921
3,float,uniform,CPU,"P | P | P | P | P | P",128,0,0.993472,0,0.062019,0.037248,1.14892,1.09274
3,float,uniform,CPU,"P | P | P | P | P | P",128,1,0.81136,0,0.061239,0.033312,0.95843,0.905911
3,float,uniform,CPU,"P | P | P | P | P | P",128,2,0.781216,0,0.060619,0.032096,0.92838,0.873931
3,float,uniform,CPU,"P | P | P | P | P | P",128,3,0.791424,0,0.059779,0.030176,0.93491,0.881379
3,float,uniform,CPU,"P | P | P | P | P | P",128,4,0.833216,0,0.06153,0.028512,0.979839,0.923258
3,float,uniform,CPU,"P | P | P | P | P | P",128,5,0.781376,0,0.060819,0.14672,1.041,0.988915
3,float,uniform,CPU,"P | P | P | P | P | P",128,6,0.774624,0,0.061709,0.029984,0.91938,0.866317
3,float,uniform,CPU,"P | P | P | P | P | P",128,7,0.785888,0,0.06081,0.030176,0.93134,0.876874
