dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,0,182.86,0,0.04612,51.3849,234.392,234.291
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,1,0.03888,0,0.02726,0.010656,0.121039,0.076796
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,2,0.032224,0,0.02153,0.006048,0.100169,0.059802
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,3,0.030528,0,0.02068,0.007488,0.09121,0.058696
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,4,0.033824,0,0.021899,0.007488,0.103919,0.063211
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,5,0.03824,0,0.02156,0.006912,0.107619,0.066712
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,6,0.034464,0,0.02153,0.005984,0.103179,0.061978
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,7,0.034848,0,0.02167,0.007136,0.103189,0.063654
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,8,0.033888,0,0.021249,0.006496,0.103699,0.061633
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,9,0.035232,0,0.02146,0.006912,0.104649,0.063604
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,10,0.033728,0,0.021779,0.007008,0.101159,0.062515
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,11,0.031872,0,0.021109,0.007808,0.101209,0.060789
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,12,0.033152,0,0.02158,0.007488,0.101219,0.06222
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,13,0.128576,0,0.02228,0.006432,0.198458,0.157288
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,14,0.035616,0,0.022169,0.004864,0.102559,0.062649
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,15,0.033664,0,0.02171,0.008128,0.104099,0.063502
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,16,0.034528,0,0.021419,0.007136,0.102009,0.063083
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,17,0.032832,0,0.02211,0.005696,0.101339,0.060638
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,18,0.033536,0,0.02211,0.007808,0.104209,0.063454
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,19,0.031968,0,0.02195,0.008,0.107219,0.061918
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,20,0.033504,0,0.02137,0.007552,0.101688,0.062426
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,21,0.034752,0,0.021509,0.007104,0.103349,0.063365
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,22,0.034464,0,0.019219,0.007456,0.093289,0.061139
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,23,0.03328,0,0.02163,0.00768,0.105309,0.06259
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,24,0.035296,0,0.021918,0.006944,0.105029,0.064158
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,25,0.03344,0,0.021318,0.007424,0.103139,0.062182
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,26,0.03552,0,0.02039,0.007936,0.103328,0.063846
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,27,0.034336,0,0.022,0.004928,0.100928,0.061264
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,28,0.032736,0,0.02125,0.007616,0.102439,0.061602
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,29,0.034016,0,0.02114,0.007776,0.102429,0.062932
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,30,0.032384,0,0.02147,0.008224,0.102349,0.062078
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,31,0.036928,0,0.02178,0.007712,0.107589,0.06642
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,32,0.03552,0,0.02193,0.005888,0.104198,0.063338
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,33,0.032832,0,0.02729,0.007712,0.106899,0.067834
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,34,0.032736,0,0.02194,0.004992,0.102618,0.059668
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,35,0.036256,0,0.02128,0.00752,0.104949,0.065056
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,36,0.03648,0,0.02197,0.007584,0.105268,0.066034
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,37,0.033184,0,0.02154,0.006432,0.204797,0.061156
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,38,0.033024,0,0.021259,0.007328,0.102279,0.061611
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,39,0.034048,0,0.0213,0.008192,0.104708,0.06354
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,40,0.033472,0,0.01979,0.00752,0.093669,0.060782
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,41,0.034368,0,0.01945,0.008384,0.094759,0.062202
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,42,0.035072,0,0.02139,0.010432,0.107079,0.066894
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,43,0.032832,0,0.02111,0.007648,0.101319,0.06159
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,44,0.041568,0,0.02246,0.00656,0.114529,0.070588
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,45,0.037056,0,0.02194,0.006368,0.104519,0.065364
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,46,0.03344,0,0.02181,0.007168,0.102719,0.062418
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,47,0.0328,0,0.02123,0.007584,0.105159,0.061614
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,48,0.036288,0,0.021169,0.006176,0.103319,0.063633
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,49,0.036288,0,0.02161,0.006688,0.106268,0.064586
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,50,0.036416,0,0.021859,0.008416,0.108279,0.066691
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,51,0.032192,0,0.02141,0.007552,0.10101,0.061154
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,52,0.032416,0,0.021309,0.008288,0.104049,0.062013
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,53,0.032416,0,0.02117,0.007872,0.101479,0.061458
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,54,0.035552,0,0.02243,0.008384,0.105429,0.066366
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,55,0.033984,0,0.021581,0.0096,0.104799,0.065165
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,56,0.031424,0,0.02137,0.00896,0.100448,0.061754
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,57,0.034016,0,0.02131,0.007296,0.103259,0.062622
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,58,0.037472,0,0.02228,0.007008,0.110179,0.06676
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,59,0.033792,0,0.02172,0.006464,0.101649,0.061976
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,60,0.030304,0,0.019419,0.007456,0.089049,0.057179
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,61,0.03264,0,0.02129,0.008448,0.105039,0.062378
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,62,0.033792,0,0.02121,0.007936,0.103978,0.062938
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,63,0.032064,0,0.022199,0.008416,0.103639,0.062679
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,64,0.030976,0,0.02151,0.007072,0.098328,0.059558
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,65,0.031168,0,0.02173,0.007392,0.100209,0.06029
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,66,0.0344,0,0.02144,0.007456,0.103839,0.063296
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,67,0.037088,0,0.0222,0.006688,0.105769,0.065976
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,68,0.03408,0,0.02191,0.006816,0.100629,0.062806
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,69,0.037824,0,0.02169,0.008256,0.108778,0.06777
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,70,0.032128,0,0.02186,0.00704,0.100739,0.061028
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,71,0.037632,0,0.02207,0.007424,0.107089,0.067126
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,72,0.032608,0,0.01997,0.009568,0.093939,0.062146
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,73,0.034176,0,0.02145,0.007264,0.098738,0.06289
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",64,74,0.03424,0,0.0233,0.007072,0.103709,0.064612
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,0,0.07136,0,0.029649,0.01168,0.158858,0.112689
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,1,0.046688,0,0.02384,0.008736,0.119729,0.079264
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,2,0.041472,0,0.023319,0.005632,0.108669,0.070423
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,3,0.039584,0,0.02398,0.005888,0.109429,0.069452
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,4,0.041536,0,0.024089,0.006368,0.112629,0.071993
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,5,0.039936,0,0.023579,0.006112,0.109989,0.069627
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,6,0.039936,0,0.023319,0.006368,0.109619,0.069623
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,7,0.041952,0,0.02347,0.007008,0.111019,0.07243
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,8,0.04288,0,0.023619,0.008512,0.115609,0.075011
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,9,0.043072,0,0.02344,0.009184,0.117108,0.075696
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,10,0.043072,0,0.02377,0.006432,0.113629,0.073274
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,11,0.038688,0,0.023339,0.00576,0.107679,0.067787
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,12,0.040736,0,0.023489,0.006048,0.112529,0.070273
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,13,0.042208,0,0.02386,0.007552,0.113198,0.07362
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,14,0.040736,0,0.023429,0.00688,0.112009,0.071045
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,15,0.040736,0,0.02334,0.006528,0.110178,0.070604
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,16,0.039648,0,0.02329,0.007552,0.109409,0.07049
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,17,0.041984,0,0.023719,0.006656,0.117739,0.072359
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,18,0.04528,0,0.02324,0.008416,0.117659,0.076936
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,19,0.043456,0,0.024109,0.008512,0.114699,0.076077
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,20,0.038272,0,0.02352,0.007008,0.108089,0.0688
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,21,0.037056,0,0.02325,0.00656,0.108599,0.066866
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,22,0.039424,0,0.02395,0.013152,0.117239,0.076526
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,23,0.037376,0,0.023169,0.008928,0.109879,0.069473
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,24,0.037376,0,0.023439,0.006368,0.107069,0.067183
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,25,0.037056,0,0.021329,0.0072,0.101829,0.065585
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,26,0.040096,0,0.02351,0.006912,0.109988,0.070518
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,27,0.039456,0,0.02343,0.007872,0.112319,0.070758
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,28,0.044448,0,0.023251,0.006304,0.114449,0.074003
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,29,0.039136,0,0.02323,0.005344,0.107279,0.06771
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,30,0.039136,0,0.02419,0.005472,0.111309,0.068798
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,31,0.038112,0,0.0236,0.00608,0.107559,0.067792
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,32,0.039584,0,0.02425,0.00704,0.110768,0.070874
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,33,0.037568,0,0.02318,0.007264,0.108559,0.068012
2,float,uniform,CPU,"Ns | Ns | Ns | Ns",128,34,0.04256,0,0.02363,0.007424,0.114909,0.073614
