dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"Ns | Ns",64,0,181.143,0,0.03545,50.0844,231.358,231.263
1,float,uniform,GPU,"Ns | Ns",64,1,0.013408,0,0.02194,0.010688,0.083509,0.046036
1,float,uniform,GPU,"Ns | Ns",64,2,0.010016,0,0.0185,0.003616,0.067279,0.032132
1,float,uniform,GPU,"Ns | Ns",64,3,0.01024,0,0.01689,0.006304,0.068139,0.033434
1,float,uniform,GPU,"Ns | Ns",64,4,0.011392,0,0.01866,0.004512,0.068469,0.034564
1,float,uniform,GPU,"Ns | Ns",64,5,0.010944,0,0.01793,0.004608,0.067529,0.033482
1,float,uniform,GPU,"Ns | Ns",64,6,0.009824,0,0.01774,0.004576,0.066569,0.03214
1,float,uniform,GPU,"Ns | Ns",64,7,0.011872,0,0.018148,0.00464,0.068689,0.03466
1,float,uniform,GPU,"Ns | Ns",64,8,0.01088,0,0.02406,0.004448,0.074779,0.039388
1,float,uniform,GPU,"Ns | Ns",64,9,0.014848,0,0.0177,0.00576,0.074719,0.038308
1,float,uniform,GPU,"Ns | Ns",64,10,0.011168,0,0.017999,0.004608,0.068249,0.033775
1,float,uniform,GPU,"Ns | Ns",64,11,0.012064,0,0.01813,0.004736,0.068549,0.03493
1,float,uniform,GPU,"Ns | Ns",64,12,0.011328,0,0.01793,0.005664,0.06909,0.034922
1,float,uniform,GPU,"Ns | Ns",64,13,0.01104,0,0.01791,0.00464,0.06763,0.03359
1,float,uniform,GPU,"Ns | Ns",64,14,0.011616,0,0.01792,0.004352,0.067909,0.033888
1,float,uniform,GPU,"Ns | Ns",64,15,0.011936,0,0.01772,0.004416,0.070149,0.034072
1,float,uniform,GPU,"Ns | Ns",64,16,0.010272,0,0.01793,0.004672,0.066669,0.032874
1,float,uniform,GPU,"Ns | Ns",64,17,0.011232,0,0.018039,0.012384,0.075809,0.041655
1,float,uniform,GPU,"Ns | Ns",64,18,0.008544,0,0.017968,0.003616,0.065709,0.030128
1,float,uniform,GPU,"Ns | Ns",64,19,0.012704,0,0.018729,0.006304,0.073199,0.037737
1,float,uniform,GPU,"Ns | Ns",64,20,0.011168,0,0.0183,0.004576,0.06785,0.034044
1,float,uniform,GPU,"Ns | Ns",64,21,0.011104,0,0.01784,0.004768,0.067039,0.033712
1,float,uniform,GPU,"Ns | Ns",64,22,0.009952,0,0.018049,0.00448,0.072869,0.032481
