dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"Ns | Ns",64,52,0.029024,0,0.03062,0.005184,0.105109,0.064828
1,double,uniform,CPU,"Ns | Ns",64,53,0.031552,0,0.03133,0.00736,0.110409,0.070242
1,double,uniform,CPU,"Ns | Ns",64,54,0.032576,0,0.03115,0.007584,0.112239,0.07131
1,double,uniform,CPU,"Ns | Ns",64,55,0.036832,0,0.03152,0.011104,0.119019,0.079456
1,double,uniform,CPU,"Ns | Ns",64,56,0.02832,0,0.030939,0.007648,0.106009,0.066907
1,double,uniform,CPU,"Ns | Ns",64,57,0.02992,0,0.03081,0.007616,0.109879,0.068346
1,double,uniform,CPU,"Ns | Ns",64,58,0.032224,0,0.03157,0.009088,0.110839,0.072882
1,double,uniform,CPU,"Ns | Ns",64,59,0.030272,0,0.03128,0.00768,0.111169,0.069232
1,double,uniform,CPU,"Ns | Ns",64,60,0.026848,0,0.0271,0.007168,0.092899,0.061116
1,double,uniform,CPU,"Ns | Ns",64,61,0.028,0,0.02704,0.009056,0.096019,0.064096
1,double,uniform,CPU,"Ns | Ns",64,62,0.031744,0,0.028509,0.00656,0.103399,0.066813
1,double,uniform,CPU,"Ns | Ns",64,63,0.0312,0,0.03148,0.008512,0.110509,0.071192
1,double,uniform,CPU,"Ns | Ns",64,64,0.028992,0,0.03409,0.008736,0.113209,0.071818
1,double,uniform,CPU,"Ns | Ns",64,65,0.028224,0,0.030819,0.007776,0.106219,0.066819
1,double,uniform,CPU,"Ns | Ns",64,66,0.02944,0,0.0317,0.00768,0.108399,0.06882
1,double,uniform,CPU,"Ns | Ns",64,67,0.030688,0,0.03068,0.008352,0.109529,0.06972
1,double,uniform,CPU,"Ns | Ns",64,68,0.0312,0,0.03131,0.008192,0.110339,0.070702
1,double,uniform,CPU,"Ns | Ns",64,69,0.030208,0,0.03082,0.007136,0.108589,0.068164
1,double,uniform,CPU,"Ns | Ns",64,70,0.033536,0,0.030789,0.008,0.112639,0.072325
1,double,uniform,CPU,"Ns | Ns",64,71,0.035584,0,0.03068,0.00704,0.115369,0.073304
1,double,uniform,CPU,"Ns | Ns",64,72,0.029376,0,0.031049,0.008064,0.108629,0.068489
1,double,uniform,CPU,"Ns | Ns",64,73,0.030848,0,0.03075,0.007968,0.109709,0.069566
1,double,uniform,CPU,"Ns | Ns",64,74,0.032416,0,0.03041,0.007744,0.11117,0.07057
1,double,uniform,CPU,"Ns | Ns",128,0,0.057024,0,0.03747,0.0112,0.154159,0.105694
1,double,uniform,CPU,"Ns | Ns",128,1,0.031648,0,0.033689,0.007328,0.112499,0.072665
1,double,uniform,CPU,"Ns | Ns",128,2,0.029728,0,0.03298,0.007264,0.108128,0.069972
