dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,0,185.364,0.00234,0.140899,52.182,237.792,237.689
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,1,0.0112,0.001729,0.119699,0.016704,0.202778,0.149332
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,2,0.010016,0.001649,0.117948,0.015072,0.200348,0.144685
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,3,0.015968,0.00159,0.116089,0.014176,0.202998,0.147823
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,4,0.015008,0.00148,0.118057,0.014336,0.204718,0.148881
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,5,0.015936,0.00147,0.115888,0.014528,0.394596,0.147822
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,6,0.010048,0.00151,0.115889,0.013824,0.196048,0.141271
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,7,0.013056,0.001519,0.1178,0.013152,0.203158,0.145527
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,8,0.016448,0.00148,0.11679,0.01264,0.203608,0.147358
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,9,0.015552,0.001499,0.117728,0.014368,0.204078,0.149147
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,10,0.015392,0.00151,0.116369,0.0152,0.202438,0.148471
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,11,0.013408,0.00148,0.115939,0.013504,0.199938,0.144331
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,12,0.015776,0.00147,0.11652,0.014784,0.202598,0.14855
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,13,0.015712,0.00156,0.117489,0.014976,0.203658,0.149737
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,14,0.01504,0.00141,0.115988,0.015168,0.202178,0.147606
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,15,0.0144,0.00145,0.121959,0.014592,0.207198,0.152401
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,16,0.016832,0.00144,0.11744,0.01392,0.204678,0.149632
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,17,0.01712,0.00171,0.117738,0.016608,0.207398,0.153176
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,18,0.016352,0.0016,0.116829,0.015328,0.209748,0.150109
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,19,0.01504,0.00147,0.115459,0.015392,0.201508,0.147361
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,20,0.01568,0.001518,0.116269,0.01424,0.210298,0.147707
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,21,0.017184,0.00149,0.116419,0.013632,0.205448,0.148725
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,22,0.016064,0.00151,0.115989,0.0168,0.205147,0.150363
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,23,0.015392,0.00147,0.121599,0.012992,0.207847,0.151453
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,24,0.015616,0.00144,0.112249,0.016,0.198598,0.145305
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,25,0.015968,0.00147,0.116558,0.015616,0.203128,0.149612
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,26,0.015008,0.001561,0.116369,0.01488,0.202068,0.147818
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,27,0.010048,0.00161,0.118138,0.014816,0.199958,0.144612
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,28,0.015456,0.00162,0.11723,0.01536,0.207227,0.149666
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,29,0.01648,0.001578,0.11713,0.01472,0.205088,0.149908
