dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"D | N",64,0,0.07296,0,0.049749,199.324,199.541,199.447
1,float,uniform,GPU,"D | N",64,1,0.01328,0,0.023639,0.010464,0.085039,0.047383
1,float,uniform,GPU,"D | N",64,2,0.012832,0,0.01892,0.006304,0.07032,0.038056
1,float,uniform,GPU,"D | N",64,3,0.013248,0,0.01889,0.007552,0.071339,0.03969
1,float,uniform,GPU,"D | N",64,4,0.012224,0,0.01911,0.00512,0.069329,0.036454
1,float,uniform,GPU,"D | N",64,5,0.013952,0,0.019029,0.008704,0.074149,0.041685
1,float,uniform,GPU,"D | N",64,6,0.015616,0,0.019079,0.006048,0.074269,0.040743
1,float,uniform,GPU,"D | N",64,7,0.012768,0,0.019269,0.006112,0.069869,0.038149
1,float,uniform,GPU,"D | N",64,8,0.013728,0,0.01881,0.007008,0.07353,0.039546
1,float,uniform,GPU,"D | N",64,9,0.012672,0,0.019099,0.005952,0.069539,0.037723
1,float,uniform,GPU,"D | N",64,10,0.01344,0,0.01854,0.006944,0.081819,0.038924
1,float,uniform,GPU,"D | N",64,11,0.018592,0,0.01863,0.005184,0.07495,0.042406
1,float,uniform,GPU,"D | N",64,12,0.013184,0,0.136239,0.008512,0.189448,0.157935
1,float,uniform,GPU,"D | N",64,13,0.014688,0,0.019439,0.005856,0.074899,0.039983
1,float,uniform,GPU,"D | N",64,14,0.013664,0,0.01929,0.008064,0.073779,0.041018
1,float,uniform,GPU,"D | N",64,15,0.01248,0,0.0189,0.005312,0.070339,0.036692
1,float,uniform,GPU,"D | N",64,16,0.012512,0,0.01893,0.00576,0.068519,0.037202
1,float,uniform,GPU,"D | N",64,17,0.01264,0,0.018469,0.007296,0.071419,0.038405
1,float,uniform,GPU,"D | N",64,18,0.012064,0,0.01831,0.006368,0.06949,0.036742
1,float,uniform,GPU,"D | N",64,19,0.012448,0,0.01887,0.008096,0.071369,0.039414
1,float,uniform,GPU,"D | N",64,20,0.011616,0,0.01822,0.008,0.071019,0.037836
1,float,uniform,GPU,"D | N",64,21,0.012736,0,0.01899,0.005856,0.069909,0.037582
