dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"D | D",64,0,183.613,0,0.05879,51.6275,235.405,235.3
1,double,uniform,CPU,"D | D",64,1,0.032768,0,0.045899,0.008352,0.131189,0.087019
1,double,uniform,CPU,"D | D",64,2,0.031936,0,0.041399,0.009792,0.123219,0.083127
1,double,uniform,CPU,"D | D",64,3,0.026912,0,0.037899,0.008096,0.106179,0.072907
1,double,uniform,CPU,"D | D",64,4,0.030304,0,0.047439,0.0072,0.125369,0.084943
1,double,uniform,CPU,"D | D",64,5,0.02912,0,0.04177,0.005824,0.120999,0.076714
1,double,uniform,CPU,"D | D",64,6,0.03056,0,0.249958,0.008416,0.328987,0.288934
1,double,uniform,CPU,"D | D",64,7,0.029184,0,0.0413,0.007296,0.115829,0.07778
1,double,uniform,CPU,"D | D",64,8,0.0296,0,0.042059,0.00656,0.119159,0.078219
1,double,uniform,CPU,"D | D",64,9,0.02896,0,0.041589,0.007936,0.118519,0.078485
1,double,uniform,CPU,"D | D",64,10,0.03136,0,0.041229,0.009088,0.119869,0.081677
1,double,uniform,CPU,"D | D",64,11,0.031104,0,0.0426,0.008608,0.119399,0.082312
1,double,uniform,CPU,"D | D",64,12,0.028544,0,0.04167,0.006304,0.116329,0.076518
1,double,uniform,CPU,"D | D",64,13,0.029056,0,0.041909,0.005824,0.115309,0.076789
1,double,uniform,CPU,"D | D",64,14,0.030208,0,0.04095,0.008512,0.118729,0.07967
1,double,uniform,CPU,"D | D",64,15,0.034304,0,0.041949,0.008256,0.123729,0.084509
1,double,uniform,CPU,"D | D",64,16,0.030592,0,0.041639,0.00704,0.116729,0.079271
1,double,uniform,CPU,"D | D",64,17,0.030496,0,0.040979,0.006624,0.115319,0.078099
1,double,uniform,CPU,"D | D",64,18,0.031328,0,0.04132,0.00816,0.120419,0.080808
1,double,uniform,CPU,"D | D",64,19,0.030112,0,0.041499,0.007392,0.119339,0.079003
1,double,uniform,CPU,"D | D",64,20,0.030432,0,0.041749,0.006912,0.119859,0.079093
1,double,uniform,CPU,"D | D",64,21,0.028288,0,0.03849,0.006976,0.106049,0.073754
1,double,uniform,CPU,"D | D",64,22,0.029408,0,0.04078,0.010016,0.115999,0.080204
1,double,uniform,CPU,"D | D",64,23,0.03008,0,0.037869,0.009856,0.110249,0.077805
1,double,uniform,CPU,"D | D",64,24,0.029536,0,0.042019,0.007744,0.119129,0.079299
1,double,uniform,CPU,"D | D",64,25,0.029632,0,0.041249,0.005184,0.115679,0.076065
1,double,uniform,CPU,"D | D",64,26,0.029984,0,0.041719,0.009728,0.119709,0.081431
1,double,uniform,CPU,"D | D",64,27,0.030592,0,0.0414,0.006624,0.117929,0.078616
1,double,uniform,CPU,"D | D",64,28,0.0304,0,0.04164,0.007136,0.118499,0.079176
1,double,uniform,CPU,"D | D",64,29,0.031968,0,0.04151,0.006752,0.116819,0.08023
1,double,uniform,CPU,"D | D",64,30,0.029376,0,0.04156,0.007968,0.118578,0.078904
1,double,uniform,CPU,"D | D",64,31,0.031904,0,0.04078,0.006016,0.118369,0.0787
1,double,uniform,CPU,"D | D",64,32,0.029056,0,0.04186,0.00576,0.114779,0.076676
1,double,uniform,CPU,"D | D",64,33,0.027712,0,0.041379,0.00736,0.115229,0.076451
1,double,uniform,CPU,"D | D",64,34,0.028,0,0.041109,0.00848,0.117249,0.077589
1,double,uniform,CPU,"D | D",64,35,0.029984,0,0.040069,0.00896,0.115759,0.079013
1,double,uniform,CPU,"D | D",64,36,0.031264,0,0.041609,0.008384,0.120779,0.081257
1,double,uniform,CPU,"D | D",64,37,0.02912,0,0.04163,0.004864,0.114609,0.075614
1,double,uniform,CPU,"D | D",64,38,0.029216,0,0.04155,0.008128,0.118849,0.078894
1,double,uniform,CPU,"D | D",64,39,0.030144,0,0.04106,0.007264,0.116689,0.078468
1,double,uniform,CPU,"D | D",64,40,0.030304,0,0.0426,0.006848,0.117898,0.079752
1,double,uniform,CPU,"D | D",64,41,0.029376,0,0.041429,0.006112,0.114149,0.076917
1,double,uniform,CPU,"D | D",64,42,0.0344,0,0.041599,0.007872,0.128279,0.083871
1,double,uniform,CPU,"D | D",64,43,0.030016,0,0.04119,0.009056,0.118688,0.080262
1,double,uniform,CPU,"D | D",64,44,0.029248,0,0.04162,0.007104,0.117279,0.077972
1,double,uniform,CPU,"D | D",64,45,0.027744,0,0.041259,0.005696,0.112229,0.074699
1,double,uniform,CPU,"D | D",64,46,0.030912,0,0.04137,0.00896,0.12011,0.081242
1,double,uniform,CPU,"D | D",64,47,0.0344,0,0.04124,0.008224,0.123659,0.083864
1,double,uniform,CPU,"D | D",64,48,0.02912,0,0.04181,0.007616,0.117009,0.078546
1,double,uniform,CPU,"D | D",64,49,0.030432,0,0.122989,0.005632,0.198328,0.159053
1,double,uniform,CPU,"D | D",64,50,0.03344,0,0.04199,0.008992,0.123779,0.084422
1,double,uniform,CPU,"D | D",64,51,0.029696,0,0.041129,0.008,0.119119,0.078825
1,double,uniform,CPU,"D | D",64,52,0.029888,0,0.04214,0.008864,0.120789,0.080892
1,double,uniform,CPU,"D | D",64,53,0.031328,0,0.03775,0.007968,0.110009,0.077046
1,double,uniform,CPU,"D | D",64,54,0.028448,0,0.03869,0.009792,0.108209,0.07693
1,double,uniform,CPU,"D | D",64,55,0.033728,0,0.047399,0.007072,0.131689,0.088199
1,double,uniform,CPU,"D | D",64,56,0.031264,0,0.042128,0.007552,0.119619,0.080944
1,double,uniform,CPU,"D | D",64,57,0.029792,0,0.0414,0.00592,0.116109,0.077112
1,double,uniform,CPU,"D | D",64,58,0.031328,0,0.04141,0.008896,0.119899,0.081634
1,double,uniform,CPU,"D | D",64,59,0.03024,0,0.04163,0.007136,0.11671,0.079006
1,double,uniform,CPU,"D | D",64,60,0.02816,0,0.04216,0.006944,0.119419,0.077264
1,double,uniform,CPU,"D | D",64,61,0.030784,0,0.041289,0.006144,0.114709,0.078217
1,double,uniform,CPU,"D | D",64,62,0.035936,0,0.042079,0.008896,0.127569,0.086911
1,double,uniform,CPU,"D | D",64,63,0.030016,0,0.04127,0.006176,0.119289,0.077462
1,double,uniform,CPU,"D | D",64,64,0.02832,0,0.042459,0.00752,0.121049,0.078299
1,double,uniform,CPU,"D | D",64,65,0.027136,0,0.04128,0.006752,0.114149,0.075168
1,double,uniform,CPU,"D | D",64,66,0.02976,0,0.04131,0.00848,0.119109,0.07955
1,double,uniform,CPU,"D | D",64,67,0.027776,0,0.041409,0.007968,0.116759,0.077153
1,double,uniform,CPU,"D | D",64,68,0.028928,0,0.04161,0.005312,0.113529,0.07585
1,double,uniform,CPU,"D | D",64,69,0.031072,0,0.041359,0.004928,0.117659,0.077359
1,double,uniform,CPU,"D | D",64,70,0.033952,0,0.04089,0.007808,0.121188,0.08265
1,double,uniform,CPU,"D | D",64,71,0.03952,0,0.041339,0.0088,0.129819,0.089659
1,double,uniform,CPU,"D | D",64,72,0.02928,0,0.041269,0.007232,0.115659,0.077781
1,double,uniform,CPU,"D | D",64,73,0.031104,0,0.03842,0.008192,0.110959,0.077716
1,double,uniform,CPU,"D | D",64,74,0.029824,0,0.041169,0.0072,0.116679,0.078193
1,double,uniform,CPU,"D | D",128,0,0.056992,0,0.04585,0.010624,0.161599,0.113466
1,double,uniform,CPU,"D | D",128,1,0.031936,0,0.04478,0.008448,0.132369,0.085164
1,double,uniform,CPU,"D | D",128,2,0.029632,0,0.044229,0.007328,0.121629,0.081189
1,double,uniform,CPU,"D | D",128,3,0.031072,0,0.043669,0.00752,0.123739,0.082261
1,double,uniform,CPU,"D | D",128,4,0.029312,0,0.04374,0.00608,0.11841,0.079132
1,double,uniform,CPU,"D | D",128,5,0.031296,0,0.04399,0.008032,0.123648,0.083318
1,double,uniform,CPU,"D | D",128,6,0.031168,0,0.04432,0.008352,0.12535,0.08384
1,double,uniform,CPU,"D | D",128,7,0.033184,0,0.043269,0.007744,0.122959,0.084197
1,double,uniform,CPU,"D | D",128,8,0.03872,0,0.04411,0.005216,0.128209,0.088046
1,double,uniform,CPU,"D | D",128,9,0.029408,0,0.043709,0.008352,0.122979,0.081469
1,double,uniform,CPU,"D | D",128,10,0.030752,0,0.04376,0.00816,0.123629,0.082672
1,double,uniform,CPU,"D | D",128,11,0.029056,0,0.04412,0.006752,0.118879,0.079928
1,double,uniform,CPU,"D | D",128,12,0.028448,0,0.04379,0.00784,0.120449,0.080078
1,double,uniform,CPU,"D | D",128,13,0.0288,0,0.04346,0.00768,0.119478,0.07994
1,double,uniform,CPU,"D | D",128,14,0.029856,0,0.04363,0.007584,0.122869,0.08107
1,double,uniform,CPU,"D | D",128,15,0.031008,0,0.04352,0.007616,0.123359,0.082144
1,double,uniform,CPU,"D | D",128,16,0.028096,0,0.04365,0.007584,0.119909,0.07933
1,double,uniform,CPU,"D | D",128,17,0.027776,0,0.04379,0.006816,0.120898,0.078382
1,double,uniform,CPU,"D | D",128,18,0.02944,0,0.043339,0.006464,0.117919,0.079243
1,double,uniform,CPU,"D | D",128,19,0.027936,0,0.040539,0.009824,0.111249,0.078299
1,double,uniform,CPU,"D | D",128,20,0.029056,0,0.043959,0.00768,0.124159,0.080695
1,double,uniform,CPU,"D | D",128,21,0.036416,0,0.04375,0.0072,0.126639,0.087366
1,double,uniform,CPU,"D | D",128,22,0.03056,0,0.04372,0.00624,0.121589,0.08052
1,double,uniform,CPU,"D | D",128,23,0.030336,0,0.04385,0.00608,0.120729,0.080266
1,double,uniform,CPU,"D | D",128,24,0.027456,0,0.04398,0.008096,0.120519,0.079532
1,double,uniform,CPU,"D | D",128,25,0.032608,0,0.04357,0.008352,0.125939,0.08453
1,double,uniform,CPU,"D | D",128,26,0.031296,0,0.04352,0.007904,0.122788,0.08272
