dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,44,0.016032,0.001739,0.06782,0.034688,0.259397,0.120279
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,45,0.014592,0.00153,0.067809,0.03568,0.257728,0.119611
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,46,0.009568,0.001611,0.067249,0.034944,0.252137,0.113372
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,47,0.01472,0.00156,0.067449,0.033984,0.257388,0.117713
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,48,0.015776,0.0016,0.068349,0.034656,0.259977,0.120381
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,49,0.014656,0.00155,0.0679,0.0344,0.259407,0.118506
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,50,0.016288,0.00162,0.067819,0.03536,0.260987,0.121087
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,51,0.017632,0.00176,0.068909,0.034272,0.262098,0.122573
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,52,0.008864,0.001541,0.067649,0.034176,0.252127,0.11223
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,53,0.015104,0.00155,0.06812,0.034496,0.256907,0.11927
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,54,0.016,0.00177,0.067509,0.034976,0.258948,0.120255
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,55,0.0088,0.00157,0.067709,0.034048,0.252967,0.112127
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,56,0.015264,0.00156,0.067859,0.03456,0.257987,0.119243
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,57,0.016608,0.00168,0.068029,0.035296,0.260677,0.121613
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,58,0.008416,0.001549,0.068059,0.034816,0.251647,0.11284
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,59,0.015264,0.00163,0.06665,0.033728,0.335376,0.117272
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,60,0.020672,0.00148,0.067819,0.035072,0.263267,0.125043
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,61,0.016256,0.00153,0.067059,0.035072,0.258448,0.119917
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,62,0.015168,0.00174,0.06729,0.034272,0.256827,0.11847
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,63,0.015264,0.00154,0.067609,0.034784,0.257527,0.119197
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,64,0.009888,0.00158,0.06771,0.035616,0.247987,0.114794
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,65,0.015808,0.001501,0.067389,0.034048,0.258317,0.118746
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,66,0.016352,0.00154,0.0678,0.034688,0.436766,0.12038
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,67,0.014784,0.00152,0.06725,0.0352,0.258747,0.118754
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,68,0.015616,0.001479,0.067799,0.03536,0.258418,0.120254
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,69,0.015904,0.001571,0.067339,0.035232,0.258167,0.120046
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,70,0.007968,0.00147,0.06688,0.034848,0.248947,0.111166
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,71,0.01584,0.00159,0.06444,0.03392,0.252327,0.11579
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,72,0.014752,0.001551,0.068039,0.034176,0.257838,0.118518
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,73,0.014688,0.001709,0.067589,0.03392,0.431916,0.117906
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,74,0.014912,0.00154,0.067829,0.0352,0.258767,0.119481
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,0,0.034432,0.00198,0.311266,0.0664,0.642623,0.414078
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,1,0.03744,0.00219,0.311556,0.067936,0.648743,0.419122
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,2,0.019968,0.00165,0.307827,0.066624,0.621674,0.396069
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,3,0.020096,0.00185,0.307677,0.06576,0.621903,0.395383
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,4,0.019648,0.00157,0.306636,0.06656,0.671002,0.394414
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,5,0.022688,0.00188,0.306617,0.065856,0.624084,0.397041
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,6,0.0272,0.00166,0.305317,0.066752,0.621093,0.400929
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,7,0.019264,0.00184,0.307777,0.066752,0.622023,0.395633
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,8,0.020544,0.00162,0.307107,0.066368,0.621103,0.395639
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,9,0.018848,0.00269,0.306437,0.06848,0.620573,0.396455
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,10,0.021024,0.001779,0.307097,0.065248,0.621333,0.395148
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,11,0.021504,0.002199,0.307667,0.065792,0.624023,0.397162
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,12,0.028,0.00175,0.306486,0.066432,0.629133,0.402668
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,13,0.02272,0.001711,0.307626,0.065888,0.630003,0.397945
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,14,0.019968,0.00165,0.307087,0.06656,0.620614,0.395265
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,15,0.019936,0.001689,0.306196,0.066528,0.619183,0.394349
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,16,0.01792,0.001621,0.307347,0.06656,0.640374,0.393448
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,17,0.019392,0.00184,0.307677,0.066304,0.621833,0.395213
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,18,0.019744,0.00163,0.308177,0.066144,0.622494,0.395695
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,19,0.020544,0.00186,0.305007,0.066144,0.615233,0.393555
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,20,0.020064,0.00154,0.306097,0.065472,0.619883,0.393173
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,21,0.038016,0.002159,0.311777,0.067648,0.646993,0.4196
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,22,0.041056,0.00214,0.312697,0.07024,0.655854,0.426133
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,23,0.019872,0.002061,0.307027,0.066016,0.621563,0.394976
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,24,0.02224,0.00164,0.306597,0.066848,0.622674,0.397325
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,25,0.02112,0.00157,0.307447,0.066912,0.699482,0.397049
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,26,0.022208,0.00175,0.306767,0.0656,0.622734,0.396325
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,27,0.01856,0.0017,0.306717,0.065856,0.618814,0.392833
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,28,0.020928,0.00158,0.307437,0.065312,0.634793,0.395257
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,29,0.037952,0.00187,0.312386,0.06816,0.648163,0.420368
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,30,0.018944,0.00168,0.307157,0.065888,0.619094,0.393669
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,31,0.019008,0.00166,0.306887,0.065984,0.621544,0.393539
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,32,0.021536,0.00156,0.304897,0.06688,0.619263,0.394873
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,33,0.019648,0.00208,0.305467,0.066272,0.620013,0.393467
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,34,0.022752,0.00182,0.307617,0.066336,0.624463,0.398525
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,35,0.019808,0.00167,0.307997,0.066368,0.622244,0.395843
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,36,0.0216,0.00164,0.312407,0.066592,0.629094,0.402239
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,37,0.019968,0.001831,0.306137,0.066208,0.620573,0.394144
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,38,0.022368,0.001651,0.307167,0.065984,0.622843,0.39717
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,39,0.019424,0.001679,0.308617,0.066016,0.622214,0.395736
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,40,0.020384,0.00165,0.307767,0.06624,0.621984,0.396041
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,41,0.038528,0.00205,0.311356,0.067616,0.648164,0.41955
