dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,0,186.372,0.00273,0.136509,51.987,238.611,238.498
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,1,0.254688,0.00179,0.122449,0.016032,0.452295,0.394959
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,2,0.233376,0.00158,0.116419,0.013728,0.411765,0.365103
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,3,0.235872,0.00164,0.11697,0.065952,0.466955,0.420434
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,4,0.235712,0.001559,0.116269,0.013984,0.415476,0.367524
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,5,0.233216,0.00182,0.120248,0.014848,0.417386,0.370132
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,6,0.233664,0.001659,0.117568,0.014176,0.414195,0.367067
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,7,0.239872,0.00149,0.11671,0.013056,0.418275,0.371128
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,8,0.23216,0.00149,0.116499,0.014688,0.413616,0.364837
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,9,0.231488,0.00153,0.123029,0.013984,0.416625,0.370031
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,10,0.239104,0.0015,0.116628,0.013248,0.416706,0.37048
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,11,0.233792,0.00155,0.115709,0.013984,0.413166,0.365035
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,12,0.233344,0.00157,0.116218,0.013152,0.411495,0.364284
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,13,0.235424,0.00161,0.115729,0.01424,0.413335,0.367003
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,14,0.232928,0.00151,0.116007,0.013216,0.409836,0.363661
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,15,0.235392,0.00161,0.11649,0.015744,0.520534,0.369236
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,16,0.23392,0.00148,0.116119,0.013536,0.411335,0.365055
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,17,0.235168,0.001591,0.261916,0.014688,0.560444,0.513363
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,18,0.233088,0.00151,0.116299,0.013792,0.413096,0.364689
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,19,0.233696,0.001691,0.116668,0.015456,0.413096,0.367511
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,20,0.22656,0.00162,0.109049,0.016832,0.390875,0.354061
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,21,0.2336,0.00164,0.109569,0.017472,0.402055,0.362281
