dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"P | P",64,0,0.07584,0,0.0452,210.461,210.692,210.582
1,float,uniform,GPU,"P | P",64,1,0.012736,0,0.01909,0.015776,0.090189,0.047602
1,float,uniform,GPU,"P | P",64,2,0.012224,0,0.01715,0.009056,0.092489,0.03843
1,float,uniform,GPU,"P | P",64,3,0.014048,0,0.017129,0.010304,0.083319,0.041481
1,float,uniform,GPU,"P | P",64,4,0.01152,0,0.01704,0.00944,0.079569,0.038
1,float,uniform,GPU,"P | P",64,5,0.012896,0,0.017829,0.010336,0.083109,0.041061
1,float,uniform,GPU,"P | P",64,6,0.01264,0,0.01716,0.011744,0.083269,0.041544
1,float,uniform,GPU,"P | P",64,7,0.012224,0,0.01726,0.011872,0.083149,0.041356
1,float,uniform,GPU,"P | P",64,8,0.013568,0,0.01378,0.011904,0.073729,0.039252
1,float,uniform,GPU,"P | P",64,9,0.017216,0,0.01784,0.009696,0.086299,0.044752
1,float,uniform,GPU,"P | P",64,10,0.013568,0,0.116959,0.009056,0.182178,0.139583
1,float,uniform,GPU,"P | P",64,11,0.0128,0,0.01713,0.011712,0.084548,0.041642
1,float,uniform,GPU,"P | P",64,12,0.01312,0,0.01714,0.010368,0.082509,0.040628
1,float,uniform,GPU,"P | P",64,13,0.012928,0,0.01736,0.011808,0.083849,0.042096
1,float,uniform,GPU,"P | P",64,14,0.013056,0,0.01735,0.010688,0.082649,0.041094
1,float,uniform,GPU,"P | P",64,15,0.012384,0,0.01743,0.011008,0.082139,0.040822
1,float,uniform,GPU,"P | P",64,16,0.013568,0,0.01768,0.011136,0.084799,0.042384
1,float,uniform,GPU,"P | P",64,17,0.013984,0,0.01746,0.010336,0.083279,0.04178
1,float,uniform,GPU,"P | P",64,18,0.012608,0,0.017349,0.011008,0.082069,0.040965
1,float,uniform,GPU,"P | P",64,19,0.012256,0,0.01711,0.012448,0.08375,0.041814
