dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,0,0.191456,0.00351,0.112988,212.888,213.312,213.196
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,1,0.15184,0.00165,0.04917,0.015776,0.270747,0.218436
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,2,0.13888,0.001579,0.04606,0.014688,0.252207,0.201207
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,3,0.139328,0.00154,0.04513,0.01504,0.252227,0.201038
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,4,0.139072,0.00151,0.04609,0.014688,0.251467,0.20136
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,5,0.139648,0.00159,0.044701,0.013376,0.248808,0.199315
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,6,0.144576,0.00158,0.045169,0.015136,0.258897,0.206461
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,7,0.138336,0.00196,0.044889,0.015328,0.251097,0.200513
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,8,0.141376,0.00163,0.045739,0.015072,0.257097,0.203817
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,9,0.146304,0.001662,0.045379,0.012416,0.256557,0.205761
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,10,0.139328,0.00151,0.045809,0.014528,0.252747,0.201175
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,11,0.13968,0.00152,0.04387,0.016,0.249497,0.20107
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,12,0.140544,0.00153,0.04731,0.014048,0.257448,0.203432
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,13,0.140896,0.001589,0.044701,0.013984,0.252817,0.20117
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,14,0.145792,0.00146,0.04593,0.012064,0.258597,0.205246
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,15,0.139552,0.001559,0.045578,0.013632,0.252928,0.200321
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,16,0.140864,0.00165,0.045299,0.014016,0.252287,0.201829
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,17,0.141888,0.00165,0.043909,0.0152,0.249347,0.202647
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,18,0.138432,0.00153,0.046,0.014368,0.438695,0.20033
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,19,0.13872,0.00151,0.044939,0.013504,0.249187,0.198673
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,20,0.140384,0.00175,0.0459,0.014144,0.253667,0.202178
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,21,0.138624,0.001551,0.04528,0.013056,0.250457,0.198511
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,22,0.139552,0.001549,0.04691,0.012896,0.252407,0.200907
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,23,0.138848,0.0016,0.045649,0.014016,0.257177,0.200113
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,24,0.138528,0.001569,0.04547,0.01472,0.251757,0.200287
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,25,0.139776,0.001541,0.04594,0.013504,0.252027,0.200761
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,26,0.138528,0.001569,0.04518,0.014912,0.250258,0.200189
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,27,0.143904,0.00153,0.044909,0.011776,0.255177,0.202119
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,28,0.139808,0.0016,0.04548,0.013472,0.251167,0.20036
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,29,0.137216,0.001539,0.039279,0.017056,0.235868,0.19509
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,30,0.140096,0.00151,0.04525,0.015232,0.254247,0.202088
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,31,0.13904,0.00159,0.04595,0.013376,0.250837,0.199956
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,32,0.138656,0.00155,0.04464,0.015328,0.250947,0.200174
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,33,0.140128,0.00167,0.04541,0.015168,0.251377,0.202376
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,34,0.1392,0.00163,0.04533,0.01664,0.246257,0.2028
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,35,0.136992,0.00167,0.037929,0.016704,0.233967,0.193295
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,36,0.138048,0.00145,0.04534,0.015648,0.249597,0.200486
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,37,0.140736,0.001519,0.04523,0.0136,0.252787,0.201085
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,38,0.139936,0.00155,0.048109,0.022624,0.266106,0.212219
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,39,0.141504,0.00161,0.04483,0.014112,0.253287,0.202056
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,40,0.140032,0.00154,0.046079,0.012384,0.254427,0.200035
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,41,0.138112,0.00163,0.045171,0.015648,0.251867,0.200561
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,42,0.142976,0.00142,0.04603,0.01376,0.263327,0.204186
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,43,0.13872,0.00151,0.04707,0.013376,0.252667,0.200676
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,44,0.137216,0.0014,0.0452,0.011744,0.247987,0.19556
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,45,0.142112,0.00154,0.045789,0.01376,0.253687,0.203201
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,46,0.373184,0.001821,0.045699,0.0152,0.487464,0.435904
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,47,0.138016,0.00149,0.046049,0.01216,0.249567,0.197715
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,48,0.140288,0.0016,0.04678,0.013824,0.253287,0.202492
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,49,0.139136,0.00148,0.04511,0.013536,0.251477,0.199262
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,50,0.139392,0.00156,0.04658,0.015328,0.253727,0.20286
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,51,0.140608,0.001509,0.04545,0.013728,0.253107,0.201295
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,52,0.220224,0.00151,0.04443,0.012032,0.329186,0.278196
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,53,0.138432,0.0015,0.046581,0.012736,0.251147,0.199249
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,54,0.139008,0.001499,0.04491,0.014368,0.251968,0.199785
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,55,0.139456,0.00153,0.047119,0.01424,0.253178,0.202345
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,56,0.139296,0.001519,0.045409,0.012,0.256927,0.198224
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,57,0.138816,0.001529,0.044861,0.016192,0.252088,0.201398
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,58,0.137824,0.001669,0.04499,0.014464,0.248458,0.198947
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,59,0.140992,0.001561,0.045828,0.013664,0.254117,0.202045
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,60,0.149504,0.00156,0.04582,0.01488,0.261557,0.211764
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,61,0.137952,0.001629,0.045349,0.013728,0.249567,0.198658
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,62,0.13952,0.00141,0.045269,0.013664,0.251977,0.199863
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,63,0.14,0.00155,0.047689,0.014496,0.264287,0.203735
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,64,0.140896,0.00157,0.045159,0.015008,0.253447,0.202633
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,65,0.137472,0.00161,0.038569,0.015968,0.236817,0.193619
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,66,0.138336,0.00154,0.04568,0.014848,0.251207,0.200404
3,float,uniform,CPU,"P | P | Ns | Ns | P | P",64,67,0.140288,0.00168,0.04481,0.014176,0.252447,0.200954
