dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"Ns | Ds",64,0,183.39,0,0.05093,51.4743,235.022,234.915
1,double,uniform,CPU,"Ns | Ds",64,1,0.036096,0,0.03805,0.010528,0.126769,0.084674
1,double,uniform,CPU,"Ns | Ds",64,2,0.02992,0,0.03391,0.005536,0.109359,0.069366
1,double,uniform,CPU,"Ns | Ds",64,3,0.030944,0,0.03439,0.007968,0.112379,0.073302
1,double,uniform,CPU,"Ns | Ds",64,4,0.032224,0,0.03327,0.00576,0.10999,0.071254
1,double,uniform,CPU,"Ns | Ds",64,5,0.030048,0,0.033719,0.00944,0.112619,0.073207
1,double,uniform,CPU,"Ns | Ds",64,6,0.02896,0,0.02997,0.009056,0.101989,0.067986
1,double,uniform,CPU,"Ns | Ds",64,7,0.028224,0,0.03044,0.008544,0.098499,0.067208
1,double,uniform,CPU,"Ns | Ds",64,8,0.029888,0,0.103339,0.005824,0.175528,0.139051
1,double,uniform,CPU,"Ns | Ds",64,9,0.031168,0,0.034219,0.009344,0.112199,0.074731
1,double,uniform,CPU,"Ns | Ds",64,10,0.032864,0,0.033699,0.006304,0.112599,0.072867
1,double,uniform,CPU,"Ns | Ds",64,11,0.029952,0,0.034,0.007616,0.109539,0.071568
1,double,uniform,CPU,"Ns | Ds",64,12,0.028704,0,0.03384,0.005696,0.106359,0.06824
1,double,uniform,CPU,"Ns | Ds",64,13,0.029024,0,0.03351,0.009056,0.109259,0.07159
1,double,uniform,CPU,"Ns | Ds",64,14,0.031328,0,0.03349,0.005216,0.108239,0.070034
1,double,uniform,CPU,"Ns | Ds",64,15,0.031808,0,0.03406,0.009216,0.11465,0.075084
1,double,uniform,CPU,"Ns | Ds",64,16,0.0296,0,0.03381,0.005728,0.108459,0.069138
1,double,uniform,CPU,"Ns | Ds",64,17,0.030144,0,0.03428,0.008896,0.111939,0.07332
1,double,uniform,CPU,"Ns | Ds",64,18,0.028544,0,0.03487,0.006048,0.10785,0.069462
1,double,uniform,CPU,"Ns | Ds",64,19,0.02912,0,0.034279,0.005568,0.107729,0.068967
1,double,uniform,CPU,"Ns | Ds",64,20,0.029824,0,0.03381,0.005472,0.10637,0.069106
1,double,uniform,CPU,"Ns | Ds",64,21,0.031808,0,0.033979,0.008736,0.115739,0.074523
1,double,uniform,CPU,"Ns | Ds",64,22,0.029536,0,0.033779,0.006176,0.107459,0.069491
1,double,uniform,CPU,"Ns | Ds",64,23,0.029056,0,0.034139,0.00704,0.108569,0.070235
1,double,uniform,CPU,"Ns | Ds",64,24,0.030176,0,0.037039,0.0048,0.110809,0.072015
1,double,uniform,CPU,"Ns | Ds",64,25,0.031296,0,0.03355,0.009408,0.114228,0.074254
