dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,0,186.972,0.00294,0.127139,51.9901,239.201,239.092
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,1,0.253184,0.00159,0.109808,0.016352,0.431506,0.380934
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,2,0.250464,0.001721,0.107577,0.013792,0.423875,0.373554
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,3,0.254208,0.00166,0.10736,0.013792,0.424626,0.37702
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,4,0.248128,0.001501,0.107648,0.013792,0.417166,0.371069
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,5,0.246176,0.00147,0.10702,0.014112,0.415465,0.368778
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,6,0.250656,0.0015,0.100888,0.01664,0.407776,0.369684
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,7,0.24976,0.00159,0.1071,0.014176,0.419955,0.372626
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,8,0.248064,0.001501,0.114398,0.01472,0.425696,0.378683
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,9,0.246624,0.00154,0.106919,0.01536,0.416456,0.370443
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,10,0.245632,0.00187,0.105349,0.016192,0.419826,0.369043
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,11,0.244384,0.00158,0.104419,0.015776,0.405685,0.366159
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,12,0.247936,0.0015,0.103229,0.01536,0.410606,0.368025
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,13,0.250368,0.00155,0.107238,0.014112,0.420005,0.373268
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,14,0.254592,0.00156,0.106789,0.014176,0.427205,0.377117
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,15,0.24672,0.00154,0.107438,0.014912,0.416316,0.37061
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,16,0.248192,0.001488,0.107289,0.014368,0.418636,0.371337
