dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,0,183.604,0.0028,0.06755,68.3277,252.117,252.002
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,1,0.1688,0.00168,0.04472,0.014368,0.286106,0.229568
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,2,0.151584,0.001839,0.041641,0.013568,0.262537,0.208632
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,3,0.14864,0.0016,0.0416,0.013024,0.261767,0.204864
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,4,0.147168,0.00177,0.04579,0.011712,0.260117,0.20644
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,5,0.15216,0.0017,0.041959,0.013888,0.264027,0.209707
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,6,0.144096,0.00165,0.0359,0.015776,0.240847,0.197422
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,7,0.149568,0.00172,0.040881,0.01344,0.259827,0.205609
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,8,0.153024,0.00159,0.042108,0.012768,0.265227,0.20949
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,9,0.150848,0.00172,0.041209,0.012896,0.260117,0.206673
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,10,0.148736,0.001599,0.04191,0.012608,0.258267,0.204853
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,11,0.149504,0.00152,0.041899,0.014176,0.260467,0.207099
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,12,0.147808,0.00161,0.03503,0.015072,0.244857,0.19952
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,13,0.147904,0.001559,0.156687,0.014912,0.375736,0.321062
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,14,0.15008,0.00161,0.04169,0.01104,0.261027,0.20442
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,15,0.147584,0.001619,0.04281,0.013184,0.258817,0.205197
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,16,0.159648,0.00154,0.042541,0.0136,0.271808,0.217329
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,17,0.147136,0.00162,0.04136,0.012128,0.256637,0.202244
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,18,0.144352,0.00163,0.03447,0.014496,0.239387,0.194948
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,19,0.148288,0.001609,0.043319,0.013472,0.260677,0.206688
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,20,0.157408,0.001582,0.042109,0.012768,0.267126,0.213867
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,21,0.14944,0.00159,0.041409,0.012896,0.259648,0.205335
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,22,0.150304,0.001589,0.04163,0.01328,0.259486,0.206803
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,23,0.150016,0.00158,0.04155,0.013856,0.268867,0.207002
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,24,0.149568,0.00154,0.0415,0.014304,0.261377,0.206912
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,25,0.150272,0.00161,0.04134,0.014176,0.262667,0.207398
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,26,0.146976,0.00163,0.04429,0.012672,0.259507,0.205568
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,27,0.14992,0.00176,0.042009,0.013248,0.261457,0.206937
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,28,0.146496,0.00154,0.042078,0.012224,0.256847,0.202338
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,29,0.149664,0.00188,0.04207,0.013888,0.261707,0.207502
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,30,0.146496,0.00162,0.042109,0.012768,0.257267,0.202993
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,31,0.147456,0.00157,0.04127,0.013408,0.255317,0.203704
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,32,0.147776,0.00163,0.04164,0.014144,0.259617,0.20519
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,33,0.151328,0.00154,0.041579,0.012736,0.261087,0.207183
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,34,0.15216,0.00157,0.04142,0.012128,0.261297,0.207278
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,35,0.150112,0.00159,0.041689,0.012288,0.259107,0.205679
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,36,0.145888,0.001611,0.041909,0.013056,0.256507,0.202464
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,37,0.152768,0.00173,0.041019,0.014688,0.263017,0.210205
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,38,0.149792,0.00151,0.04221,0.012992,0.261217,0.206504
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,39,0.155168,0.0016,0.041639,0.01328,0.275157,0.211687
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,40,0.14912,0.00157,0.04152,0.013376,0.258137,0.205586
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,41,0.15328,0.00162,0.04217,0.014112,0.268927,0.211182
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,42,0.148512,0.00155,0.045749,0.013952,0.264957,0.209763
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,43,0.147456,0.001601,0.041261,0.011456,0.254997,0.201774
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,44,0.148768,0.00156,0.041439,0.012224,0.258288,0.203991
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,45,0.145888,0.001601,0.041559,0.013728,0.258158,0.202776
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,46,0.149952,0.00157,0.041419,0.012992,0.259787,0.205933
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,47,0.148992,0.001651,0.041559,0.013856,0.258777,0.206058
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,48,0.148416,0.00153,0.157458,0.013344,0.376026,0.320748
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,49,0.146752,0.00163,0.04137,0.012864,0.255567,0.202616
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,50,0.148608,0.001599,0.04146,0.013568,0.260747,0.205235
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,51,0.154752,0.0016,0.041549,0.013216,0.264577,0.211117
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,52,0.146528,0.00155,0.04204,0.012608,0.256967,0.202726
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,53,0.15072,0.001729,0.04112,0.012576,0.262028,0.206145
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,54,0.148608,0.001689,0.04178,0.012448,0.259697,0.204525
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,55,0.14656,0.001559,0.04116,0.011616,0.254968,0.200895
3,float,uniform,CPU,"Ns | Ns | P | P | P | P",64,56,0.147552,0.00153,0.041499,0.013312,0.257837,0.203893
