dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,0,0.288,0.002629,0.183838,202.26,202.845,202.735
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,1,0.237952,0.00199,0.125719,0.018656,0.431155,0.384317
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,2,0.242304,0.001489,0.122598,0.015872,0.428465,0.382263
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,3,0.229696,0.00156,0.11954,0.016224,0.409775,0.36702
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,4,0.23376,0.00178,0.216298,0.015808,0.512405,0.467646
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,5,0.229376,0.001569,0.119389,0.015936,0.408835,0.36627
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,6,0.229888,0.00152,0.11374,0.017984,0.399495,0.363132
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,7,0.230304,0.001621,0.119508,0.016512,0.411265,0.367945
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,8,0.229696,0.001601,0.1208,0.015648,0.411366,0.367745
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,9,0.231008,0.00149,0.120768,0.015264,0.410606,0.36853
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,10,0.232896,0.00147,0.119178,0.015648,0.411116,0.369192
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,11,0.23088,0.00148,0.1186,0.015776,0.407865,0.366736
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,12,0.229056,0.00151,0.11295,0.017024,0.395845,0.36054
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,13,0.232,0.00156,0.302356,0.01552,0.596644,0.551436
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,14,0.231872,0.00171,0.121638,0.014752,0.415456,0.369972
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,15,0.240384,0.00156,0.120257,0.016928,0.422266,0.379129
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,16,0.233152,0.001531,0.119638,0.014912,0.413525,0.369233
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,17,0.233696,0.00152,0.11264,0.017152,0.401685,0.365008
3,double,uniform,CPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,18,0.232,0.00153,0.11887,0.0168,0.409485,0.3692
