dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"N | D",64,56,0.01856,0,0.02094,0.008672,0.083969,0.048172
1,float,uniform,CPU,"N | D",64,57,0.020896,0,0.02132,0.008416,0.08802,0.050632
1,float,uniform,CPU,"N | D",64,58,0.020224,0,0.021559,0.006976,0.084509,0.048759
1,float,uniform,CPU,"N | D",64,59,0.019392,0,0.02096,0.0064,0.085109,0.046752
1,float,uniform,CPU,"N | D",64,60,0.01872,0,0.02131,0.008,0.085309,0.04803
1,float,uniform,CPU,"N | D",64,61,0.020672,0,0.021268,0.006784,0.086119,0.048724
1,float,uniform,CPU,"N | D",64,62,0.018912,0,0.02058,0.0064,0.082979,0.045892
1,float,uniform,CPU,"N | D",64,63,0.020032,0,0.02205,0.0064,0.086659,0.048482
1,float,uniform,CPU,"N | D",64,64,0.018848,0,0.02071,0.007712,0.086059,0.04727
1,float,uniform,CPU,"N | D",64,65,0.017888,0,0.02023,0.006432,0.080609,0.04455
1,float,uniform,CPU,"N | D",64,66,0.019424,0,0.02071,0.014912,0.091279,0.055046
1,float,uniform,CPU,"N | D",64,67,0.020128,0,0.01681,0.00768,0.075319,0.044618
1,float,uniform,CPU,"N | D",64,68,0.018272,0,0.0208,0.006048,0.082829,0.04512
1,float,uniform,CPU,"N | D",64,69,0.019616,0,0.02084,0.008416,0.086209,0.048872
1,float,uniform,CPU,"N | D",64,70,0.021824,0,0.02149,0.008992,0.092269,0.052306
1,float,uniform,CPU,"N | D",64,71,0.020384,0,0.022519,0.007296,0.089279,0.050199
1,float,uniform,CPU,"N | D",64,72,0.018816,0,0.0215,0.007712,0.086219,0.048028
1,float,uniform,CPU,"N | D",64,73,0.0184,0,0.02053,0.008736,0.085329,0.047666
1,float,uniform,CPU,"N | D",64,74,0.01968,0,0.020949,0.0048,0.083439,0.045429
1,float,uniform,CPU,"N | D",128,0,0.024768,0,0.03284,0.018048,0.120159,0.075656
1,float,uniform,CPU,"N | D",128,1,0.020928,0,0.0243,0.009568,0.091729,0.054796
1,float,uniform,CPU,"N | D",128,2,0.018656,0,0.02242,0.0072,0.086539,0.048276
1,float,uniform,CPU,"N | D",128,3,0.017792,0,0.02153,0.007264,0.084869,0.046586
1,float,uniform,CPU,"N | D",128,4,0.019616,0,0.021399,0.00848,0.085739,0.049495
1,float,uniform,CPU,"N | D",128,5,0.0192,0,0.021549,0.006304,0.084549,0.047053
1,float,uniform,CPU,"N | D",128,6,0.017984,0,0.02122,0.006176,0.081719,0.04538
1,float,uniform,CPU,"N | D",128,7,0.019264,0,0.02188,0.00544,0.084149,0.046584
1,float,uniform,CPU,"N | D",128,8,0.019392,0,0.021119,0.00704,0.085039,0.047551
1,float,uniform,CPU,"N | D",128,9,0.0192,0,0.021449,0.008416,0.090489,0.049065
