dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | P | P",64,22,0.020768,0,0.02727,0.01392,0.121178,0.061958
3,float,uniform,GPU,"P | P | P | P | P | P",64,23,0.017984,0,0.02734,0.01536,0.120538,0.060684
3,float,uniform,GPU,"P | P | P | P | P | P",64,24,0.020032,0,0.02732,0.016128,0.123669,0.06348
3,float,uniform,GPU,"P | P | P | P | P | P",64,25,0.02064,0,0.02722,0.015104,0.227638,0.062964
3,float,uniform,GPU,"P | P | P | P | P | P",64,26,0.01472,0,0.02774,0.015776,0.117438,0.058236
3,float,uniform,GPU,"P | P | P | P | P | P",64,27,0.011936,0,0.027089,0.016128,0.113159,0.055153
3,float,uniform,GPU,"P | P | P | P | P | P",64,28,0.021088,0,0.02744,0.01376,0.121848,0.062288
3,float,uniform,GPU,"P | P | P | P | P | P",64,29,0.017824,0,0.027341,0.014688,0.119609,0.059853
3,float,uniform,GPU,"P | P | P | P | P | P",64,30,0.017696,0,0.02746,0.014144,0.118568,0.0593
3,float,uniform,GPU,"P | P | P | P | P | P",64,31,0.013792,0,0.02749,0.014784,0.114658,0.056066
3,float,uniform,GPU,"P | P | P | P | P | P",64,32,0.019104,0,0.024049,0.018752,0.112849,0.061905
3,float,uniform,GPU,"P | P | P | P | P | P",64,33,0.020064,0,0.02712,0.015936,0.122919,0.06312
3,float,uniform,GPU,"P | P | P | P | P | P",64,34,0.01488,0,0.02458,0.016864,0.107609,0.056324
3,float,uniform,GPU,"P | P | P | P | P | P",64,35,0.01984,0,0.02741,0.015808,0.122749,0.063058
3,float,uniform,GPU,"P | P | P | P | P | P",64,36,0.019744,0,0.02699,0.014144,0.120029,0.060878
3,float,uniform,GPU,"P | P | P | P | P | P",64,37,0.01824,0,0.02729,0.01504,0.120869,0.06057
3,float,uniform,GPU,"P | P | P | P | P | P",64,38,0.018432,0,0.027919,0.015296,0.121099,0.061647
3,float,uniform,GPU,"P | P | P | P | P | P",64,39,0.0208,0,0.126518,0.014656,0.221697,0.161974
3,float,uniform,GPU,"P | P | P | P | P | P",64,40,0.011776,0,0.0273,0.015744,0.113039,0.05482
