dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"Ds | Ds",64,0,183.557,0,0.03546,51.5534,235.239,235.146
1,float,uniform,GPU,"Ds | Ds",64,1,0.012512,0,0.02213,0.00544,0.078739,0.040082
1,float,uniform,GPU,"Ds | Ds",64,2,0.010176,0,0.01782,0.004544,0.06616,0.03254
1,float,uniform,GPU,"Ds | Ds",64,3,0.011296,0,0.01858,0.004576,0.069099,0.034452
1,float,uniform,GPU,"Ds | Ds",64,4,0.013184,0,0.01802,0.005312,0.072159,0.036516
1,float,uniform,GPU,"Ds | Ds",64,5,0.01136,0,0.01803,0.005152,0.06716,0.034542
1,float,uniform,GPU,"Ds | Ds",64,6,0.009888,0,0.018829,0.005312,0.067229,0.034029
1,float,uniform,GPU,"Ds | Ds",64,7,0.011296,0,0.017969,0.005056,0.067249,0.034321
1,float,uniform,GPU,"Ds | Ds",64,8,0.010912,0,0.01835,0.005568,0.06835,0.03483
1,float,uniform,GPU,"Ds | Ds",64,9,0.012864,0,0.01769,0.005248,0.06872,0.035802
1,float,uniform,GPU,"Ds | Ds",64,10,0.012896,0,0.01824,0.006272,0.07357,0.037408
1,float,uniform,GPU,"Ds | Ds",64,11,0.012128,0,0.0141,0.006144,0.06048,0.032372
1,float,uniform,GPU,"Ds | Ds",64,12,0.012288,0,0.01763,0.005408,0.06845,0.035326
1,float,uniform,GPU,"Ds | Ds",64,13,0.011072,0,0.01776,0.004256,0.065529,0.033088
1,float,uniform,GPU,"Ds | Ds",64,14,0.013696,0,0.01809,0.00544,0.070069,0.037226
1,float,uniform,GPU,"Ds | Ds",64,15,0.011296,0,0.017809,0.005152,0.066309,0.034257
1,float,uniform,GPU,"Ds | Ds",64,16,0.011168,0,0.01775,0.005056,0.074669,0.033974
1,float,uniform,GPU,"Ds | Ds",64,17,0.011744,0,0.01789,0.00528,0.07282,0.034914
1,float,uniform,GPU,"Ds | Ds",64,18,0.012352,0,0.018569,0.005152,0.076999,0.036073
1,float,uniform,GPU,"Ds | Ds",64,19,0.011136,0,0.01798,0.005632,0.068279,0.034748
1,float,uniform,GPU,"Ds | Ds",64,20,0.011776,0,0.01874,0.005248,0.06857,0.035764
1,float,uniform,GPU,"Ds | Ds",64,21,0.012192,0,0.01775,0.005312,0.067639,0.035254
1,float,uniform,GPU,"Ds | Ds",64,22,0.012128,0,0.01825,0.006496,0.071319,0.036874
1,float,uniform,GPU,"Ds | Ds",64,23,0.013632,0,0.01489,0.006368,0.064419,0.03489
1,float,uniform,GPU,"Ds | Ds",64,24,0.010752,0,0.01431,0.006368,0.05922,0.03143
1,float,uniform,GPU,"Ds | Ds",64,25,0.012224,0,0.01819,0.005664,0.069209,0.036078
1,float,uniform,GPU,"Ds | Ds",64,26,0.01024,0,0.01779,0.00544,0.06652,0.03347
1,float,uniform,GPU,"Ds | Ds",64,27,0.011488,0,0.01768,0.006016,0.069729,0.035184
1,float,uniform,GPU,"Ds | Ds",64,28,0.013184,0,0.01794,0.00624,0.07083,0.037364
1,float,uniform,GPU,"Ds | Ds",64,29,0.010528,0,0.01765,0.005312,0.065769,0.03349
1,float,uniform,GPU,"Ds | Ds",64,30,0.011136,0,0.0184,0.10512,0.167769,0.134656
1,float,uniform,GPU,"Ds | Ds",64,31,0.0128,0,0.01768,0.005568,0.06979,0.036048
1,float,uniform,GPU,"Ds | Ds",64,32,0.011104,0,0.01806,0.005184,0.06733,0.034348
1,float,uniform,GPU,"Ds | Ds",64,33,0.010272,0,0.01836,0.005248,0.06696,0.03388
1,float,uniform,GPU,"Ds | Ds",64,34,0.011296,0,0.01852,0.006112,0.070439,0.035928
1,float,uniform,GPU,"Ds | Ds",64,35,0.011456,0,0.018269,0.005024,0.069299,0.034749
