dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,40,0.233408,0.001599,0.111839,0.020448,0.427095,0.367294
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,41,0.242144,0.00159,0.111568,0.0248,0.433865,0.380102
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,42,0.234112,0.00161,0.110199,0.022688,0.421575,0.368609
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,43,0.236992,0.00155,0.110448,0.019936,0.424905,0.368926
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,44,0.234976,0.00151,0.110688,0.024576,0.428225,0.37175
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,45,0.23504,0.00159,0.11081,0.02096,0.421825,0.3684
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,46,0.232032,0.00158,0.11141,0.020448,0.419865,0.36547
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,47,0.236416,0.00174,0.11108,0.021312,0.425635,0.370548
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,48,0.235072,0.001601,0.11132,0.019936,0.426296,0.367929
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,49,0.233568,0.00206,0.110488,0.022528,0.422776,0.368644
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,50,0.238688,0.00155,0.109988,0.022464,0.426626,0.37269
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,51,0.237376,0.00154,0.111089,0.022336,0.429125,0.372341
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,52,0.31664,0.00157,0.109918,0.023168,0.505635,0.451296
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,53,0.23168,0.00157,0.11074,0.019712,0.420235,0.363702
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,54,0.240352,0.00158,0.110518,0.02256,0.430336,0.37501
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,55,0.236384,0.00159,0.111239,0.022368,0.425496,0.371581
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,56,0.233728,0.0016,0.110648,0.021824,0.422995,0.3678
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,57,0.232768,0.00163,0.110529,0.022016,0.420475,0.366943
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,58,0.232256,0.00157,0.114338,0.022208,0.424966,0.370372
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,59,0.23088,0.001791,0.110309,0.021056,0.418326,0.364036
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,60,0.240096,0.001641,0.110439,0.021344,0.427756,0.37352
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,61,0.2336,0.00156,0.110609,0.02272,0.422726,0.368489
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,62,0.233504,0.001649,0.10515,0.02672,0.413825,0.367023
