dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"Ds | Ns",64,52,0.03024,0,0.033109,0.007776,0.105499,0.071125
1,double,uniform,CPU,"Ds | Ns",64,53,0.029344,0,0.035239,0.00896,0.111659,0.073543
1,double,uniform,CPU,"Ds | Ns",64,54,0.030208,0,0.03515,0.00608,0.111549,0.071438
1,double,uniform,CPU,"Ds | Ns",64,55,0.028992,0,0.0361,0.012512,0.116579,0.077604
1,double,uniform,CPU,"Ds | Ns",64,56,0.029152,0,0.03502,0.00736,0.110559,0.071532
1,double,uniform,CPU,"Ds | Ns",64,57,0.031296,0,0.03604,0.007328,0.113159,0.074664
1,double,uniform,CPU,"Ds | Ns",64,58,0.02848,0,0.03577,0.008416,0.112489,0.072666
1,double,uniform,CPU,"Ds | Ns",64,59,0.029056,0,0.03579,0.007776,0.113359,0.072622
1,double,uniform,CPU,"Ds | Ns",64,60,0.02928,0,0.0354,0.005664,0.108379,0.070344
1,double,uniform,CPU,"Ds | Ns",64,61,0.032672,0,0.03531,0.014368,0.122929,0.08235
1,double,uniform,CPU,"Ds | Ns",64,62,0.030496,0,0.03522,0.0072,0.113359,0.072916
1,double,uniform,CPU,"Ds | Ns",64,63,0.027808,0,0.03576,0.007168,0.107219,0.070736
1,double,uniform,CPU,"Ds | Ns",64,64,0.03024,0,0.03765,0.00832,0.115479,0.07621
1,double,uniform,CPU,"Ds | Ns",64,65,0.03072,0,0.035529,0.008416,0.113919,0.074665
1,double,uniform,CPU,"Ds | Ns",64,66,0.0288,0,0.035309,0.007296,0.108589,0.071405
1,double,uniform,CPU,"Ds | Ns",64,67,0.029536,0,0.03557,0.006944,0.111809,0.07205
1,double,uniform,CPU,"Ds | Ns",64,68,0.028608,0,0.03497,0.008704,0.112239,0.072282
1,double,uniform,CPU,"Ds | Ns",64,69,0.02752,0,0.034959,0.007776,0.109269,0.070255
1,double,uniform,CPU,"Ds | Ns",64,70,0.030688,0,0.03531,0.009056,0.113549,0.075054
1,double,uniform,CPU,"Ds | Ns",64,71,0.033792,0,0.03526,0.00688,0.116599,0.075932
1,double,uniform,CPU,"Ds | Ns",64,72,0.027936,0,0.03534,0.00736,0.108619,0.070636
1,double,uniform,CPU,"Ds | Ns",64,73,0.02816,0,0.035409,0.007392,0.111319,0.070961
1,double,uniform,CPU,"Ds | Ns",64,74,0.030976,0,0.04059,0.007296,0.11673,0.078862
1,double,uniform,CPU,"Ds | Ns",128,0,0.057856,0,0.041319,0.011232,0.157549,0.110407
1,double,uniform,CPU,"Ds | Ns",128,1,0.030272,0,0.03791,0.00912,0.115368,0.077302
1,double,uniform,CPU,"Ds | Ns",128,2,0.02768,0,0.03771,0.007616,0.113808,0.073006
1,double,uniform,CPU,"Ds | Ns",128,3,0.02896,0,0.03733,0.007296,0.112759,0.073586
1,double,uniform,CPU,"Ds | Ns",128,4,0.029888,0,0.037909,0.007552,0.113939,0.075349
1,double,uniform,CPU,"Ds | Ns",128,5,0.028992,0,0.03744,0.006976,0.112369,0.073408
1,double,uniform,CPU,"Ds | Ns",128,6,0.032672,0,0.037579,0.00592,0.117209,0.076171
1,double,uniform,CPU,"Ds | Ns",128,7,0.028544,0,0.03729,0.007264,0.111928,0.073098
1,double,uniform,CPU,"Ds | Ns",128,8,0.03088,0,0.03803,0.008032,0.115719,0.076942
1,double,uniform,CPU,"Ds | Ns",128,9,0.029216,0,0.03759,0.005632,0.120339,0.072438
1,double,uniform,CPU,"Ds | Ns",128,10,0.031136,0,0.044669,0.007008,0.120629,0.082813
1,double,uniform,CPU,"Ds | Ns",128,11,0.13472,0,0.03764,0.006304,0.217468,0.178664
1,double,uniform,CPU,"Ds | Ns",128,12,0.028512,0,0.03759,0.007264,0.113079,0.073366
1,double,uniform,CPU,"Ds | Ns",128,13,0.029024,0,0.038369,0.007296,0.114899,0.074689
1,double,uniform,CPU,"Ds | Ns",128,14,0.02976,0,0.03787,0.00848,0.115448,0.07611
1,double,uniform,CPU,"Ds | Ns",128,15,0.0296,0,0.03757,0.006304,0.114099,0.073474
1,double,uniform,CPU,"Ds | Ns",128,16,0.02896,0,0.0379,0.006912,0.112629,0.073772
1,double,uniform,CPU,"Ds | Ns",128,17,0.033632,0,0.03724,0.005728,0.116059,0.0766
1,double,uniform,CPU,"Ds | Ns",128,18,0.029728,0,0.03712,0.005888,0.112339,0.072736
1,double,uniform,CPU,"Ds | Ns",128,19,0.028288,0,0.115219,0.010464,0.193178,0.153971
1,double,uniform,CPU,"Ds | Ns",128,20,0.029888,0,0.037169,0.005888,0.113219,0.072945
1,double,uniform,CPU,"Ds | Ns",128,21,0.034944,0,0.03724,0.00784,0.120249,0.080024
1,double,uniform,CPU,"Ds | Ns",128,22,0.028768,0,0.03727,0.007456,0.111149,0.073494
1,double,uniform,CPU,"Ds | Ns",128,23,0.028128,0,0.03423,0.008768,0.105039,0.071126
1,double,uniform,CPU,"Ds | Ns",128,24,0.029792,0,0.03739,0.007872,0.114759,0.075054
1,double,uniform,CPU,"Ds | Ns",128,25,0.029792,0,0.0375,0.00816,0.114919,0.075452
1,double,uniform,CPU,"Ds | Ns",128,26,0.029664,0,0.03726,0.007488,0.113299,0.074412
1,double,uniform,CPU,"Ds | Ns",128,27,0.03008,0,0.03732,0.007904,0.116719,0.075304
1,double,uniform,CPU,"Ds | Ns",128,28,0.027872,0,0.037899,0.007648,0.113329,0.073419
1,double,uniform,CPU,"Ds | Ns",128,29,0.0288,0,0.03737,0.006688,0.112159,0.072858
1,double,uniform,CPU,"Ds | Ns",128,30,0.030912,0,0.03838,0.005888,0.117119,0.07518
1,double,uniform,CPU,"Ds | Ns",128,31,0.029536,0,0.037469,0.008992,0.114769,0.075997
1,double,uniform,CPU,"Ds | Ns",128,32,0.030144,0,0.03756,0.007168,0.114699,0.074872
1,double,uniform,CPU,"Ds | Ns",128,33,0.032704,0,0.03743,0.006624,0.115188,0.076758
1,double,uniform,CPU,"Ds | Ns",128,34,0.029216,0,0.037891,0.007424,0.114219,0.074531
1,double,uniform,CPU,"Ds | Ns",128,35,0.028928,0,0.03759,0.00688,0.112739,0.073398
1,double,uniform,CPU,"Ds | Ns",128,36,0.029216,0,0.037598,0.00576,0.111509,0.072574
1,double,uniform,CPU,"Ds | Ns",128,37,0.036736,0,0.037399,0.008992,0.121419,0.083127
1,double,uniform,CPU,"Ds | Ns",128,38,0.030528,0,0.037839,0.007584,0.116299,0.075951
1,double,uniform,CPU,"Ds | Ns",128,39,0.030432,0,0.0384,0.006816,0.115169,0.075648
1,double,uniform,CPU,"Ds | Ns",128,40,0.030368,0,0.037909,0.007488,0.115569,0.075765
1,double,uniform,CPU,"Ds | Ns",128,41,0.028992,0,0.03736,0.008352,0.114759,0.074704
1,double,uniform,CPU,"Ds | Ns",128,42,0.030048,0,0.037309,0.004928,0.111239,0.072285
1,double,uniform,CPU,"Ds | Ns",128,43,0.031264,0,0.03797,0.008448,0.118509,0.077682
1,double,uniform,CPU,"Ds | Ns",128,44,0.027904,0,0.03704,0.009472,0.113619,0.074416
1,double,uniform,CPU,"Ds | Ns",128,45,0.034112,0,0.03714,0.006592,0.118189,0.077844
1,double,uniform,CPU,"Ds | Ns",128,46,0.0312,0,0.0373,0.007584,0.113709,0.076084
1,double,uniform,CPU,"Ds | Ns",128,47,0.031328,0,0.04182,0.008896,0.121419,0.082044
1,double,uniform,CPU,"Ds | Ns",128,48,0.029792,0,0.03726,0.007552,0.226838,0.074604
1,double,uniform,CPU,"Ds | Ns",128,49,0.029856,0,0.03746,0.00816,0.11339,0.075476
1,double,uniform,CPU,"Ds | Ns",128,50,0.02992,0,0.03754,0.008672,0.115959,0.076132
1,double,uniform,CPU,"Ds | Ns",128,51,0.028704,0,0.03717,0.00752,0.11397,0.073394
1,double,uniform,CPU,"Ds | Ns",128,52,0.0288,0,0.03746,0.007104,0.111949,0.073364
1,double,uniform,CPU,"Ds | Ns",128,53,0.030336,0,0.03723,0.006176,0.115529,0.073742
1,double,uniform,CPU,"Ds | Ns",128,54,0.030816,0,0.037629,0.006496,0.115239,0.074941
1,double,uniform,CPU,"Ds | Ns",128,55,0.028864,0,0.03818,0.00896,0.11423,0.076004
1,double,uniform,CPU,"Ds | Ns",128,56,0.028704,0,0.03724,0.005632,0.110809,0.071576
1,double,uniform,CPU,"Ds | Ns",128,57,0.027776,0,0.037879,0.006208,0.112099,0.071863
1,double,uniform,CPU,"Ds | Ns",128,58,0.029536,0,0.03728,0.007072,0.111359,0.073888
1,double,uniform,CPU,"Ds | Ns",128,59,0.03152,0,0.03718,0.006144,0.114009,0.074844
1,double,uniform,CPU,"Ds | Ns",128,60,0.03232,0,0.03395,0.008288,0.107019,0.074558
1,double,uniform,CPU,"Ds | Ns",128,61,0.029088,0,0.135639,0.00784,0.212918,0.172567
1,double,uniform,CPU,"Ds | Ns",128,62,0.0296,0,0.03805,0.007936,0.110979,0.075586
1,double,uniform,CPU,"Ds | Ns",128,63,0.029056,0,0.03738,0.006784,0.113239,0.07322
1,double,uniform,CPU,"Ds | Ns",128,64,0.031584,0,0.03758,0.007456,0.117589,0.07662
1,double,uniform,CPU,"Ds | Ns",128,65,0.030304,0,0.03751,0.004832,0.111159,0.072646
1,double,uniform,CPU,"Ds | Ns",128,66,0.0304,0,0.038389,0.005888,0.114739,0.074677
1,double,uniform,CPU,"Ds | Ns",128,67,0.033152,0,0.038128,0.009152,0.121039,0.080432
1,double,uniform,CPU,"Ds | Ns",128,68,0.029088,0,0.03639,0.008576,0.113169,0.074054
1,double,uniform,CPU,"Ds | Ns",128,69,0.028384,0,0.03737,0.005696,0.111039,0.07145
1,double,uniform,CPU,"Ds | Ns",128,70,0.03344,0,0.03774,0.006976,0.116999,0.078156
1,double,uniform,CPU,"Ds | Ns",128,71,0.031232,0,0.037469,0.00624,0.115359,0.074941
1,double,uniform,CPU,"Ds | Ns",128,72,0.032032,0,0.03741,0.007008,0.117049,0.07645
1,double,uniform,CPU,"Ds | Ns",128,73,0.030272,0,0.03707,0.0064,0.112699,0.073742
1,double,uniform,CPU,"Ds | Ns",128,74,0.030272,0,0.034779,0.007424,0.104849,0.072475
1,double,uniform,CPU,"Ds | Ns",192,0,0.067136,0,0.05315,0.01056,0.179858,0.130846
1,double,uniform,CPU,"Ds | Ns",192,1,0.030752,0,0.04616,0.009024,0.118059,0.085936
1,double,uniform,CPU,"Ds | Ns",192,2,0.027136,0,0.04725,0.009824,0.116249,0.08421
1,double,uniform,CPU,"Ds | Ns",192,3,0.030272,0,0.04875,0.007776,0.126329,0.086798
1,double,uniform,CPU,"Ds | Ns",192,4,0.028288,0,0.048209,0.009824,0.124809,0.086321
1,double,uniform,CPU,"Ds | Ns",192,5,0.028128,0,0.048579,0.00768,0.124689,0.084387
1,double,uniform,CPU,"Ds | Ns",192,6,0.032,0,0.049019,0.007456,0.127249,0.088475
1,double,uniform,CPU,"Ds | Ns",192,7,0.031296,0,0.048869,0.008608,0.134239,0.088773
1,double,uniform,CPU,"Ds | Ns",192,8,0.029376,0,0.04914,0.00832,0.128139,0.086836
1,double,uniform,CPU,"Ds | Ns",192,9,0.0312,0,0.048929,0.008384,0.127039,0.088513
1,double,uniform,CPU,"Ds | Ns",192,10,0.029344,0,0.048849,0.00864,0.125849,0.086833
1,double,uniform,CPU,"Ds | Ns",192,11,0.030432,0,0.04896,0.007168,0.127719,0.08656
1,double,uniform,CPU,"Ds | Ns",192,12,0.03024,0,0.04889,0.007392,0.128089,0.086522
1,double,uniform,CPU,"Ds | Ns",192,13,0.029504,0,0.04951,0.008864,0.128228,0.087878
1,double,uniform,CPU,"Ds | Ns",192,14,0.030848,0,0.049249,0.007456,0.126179,0.087553
1,double,uniform,CPU,"Ds | Ns",192,15,0.026944,0,0.04559,0.009792,0.115859,0.082326
1,double,uniform,CPU,"Ds | Ns",192,16,0.028992,0,0.04871,0.013792,0.130919,0.091494
1,double,uniform,CPU,"Ds | Ns",192,17,0.029984,0,0.049039,0.008576,0.127349,0.087599
1,double,uniform,CPU,"Ds | Ns",192,18,0.03184,0,0.04885,0.00816,0.130499,0.08885
1,double,uniform,CPU,"Ds | Ns",192,19,0.030336,0,0.04942,0.008128,0.12793,0.087884
1,double,uniform,CPU,"Ds | Ns",192,20,0.031104,0,0.04868,0.00896,0.130079,0.088744
1,double,uniform,CPU,"Ds | Ns",192,21,0.031072,0,0.0489,0.0088,0.128149,0.088772
