dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | D | D",64,48,0.23968,0,0.221128,0.015136,0.518796,0.475944
3,double,uniform,CPU,"D | D | D | D | D | D",64,49,0.238784,0,0.221167,0.013504,0.517065,0.473455
3,double,uniform,CPU,"D | D | D | D | D | D",64,50,0.240864,0,0.221048,0.015456,0.524495,0.477368
3,double,uniform,CPU,"D | D | D | D | D | D",64,51,0.316544,0,0.221078,0.016992,0.600664,0.554614
3,double,uniform,CPU,"D | D | D | D | D | D",64,52,0.235424,0,0.228978,0.013824,0.524375,0.478226
3,double,uniform,CPU,"D | D | D | D | D | D",64,53,0.234272,0,0.221908,0.013696,0.516026,0.469876
3,double,uniform,CPU,"D | D | D | D | D | D",64,54,0.24048,0,0.221158,0.012384,0.520065,0.474022
3,double,uniform,CPU,"D | D | D | D | D | D",64,55,0.240672,0,0.221158,0.015456,0.523696,0.477286
3,double,uniform,CPU,"D | D | D | D | D | D",64,56,0.236352,0,0.222258,0.013984,0.518145,0.472594
3,double,uniform,CPU,"D | D | D | D | D | D",64,57,0.23744,0,0.221528,0.014368,0.516686,0.473336
3,double,uniform,CPU,"D | D | D | D | D | D",64,58,0.234304,0,0.220458,0.01488,0.516256,0.469642
3,double,uniform,CPU,"D | D | D | D | D | D",64,59,0.237824,0,0.235268,0.01712,0.527475,0.490212
3,double,uniform,CPU,"D | D | D | D | D | D",64,60,0.240288,0,0.222129,0.01392,0.522945,0.476337
3,double,uniform,CPU,"D | D | D | D | D | D",64,61,0.238304,0,0.222318,0.013536,0.527325,0.474158
3,double,uniform,CPU,"D | D | D | D | D | D",64,62,0.237216,0,0.221208,0.014496,0.518986,0.47292
3,double,uniform,CPU,"D | D | D | D | D | D",64,63,0.238016,0,0.220917,0.01456,0.517875,0.473493
3,double,uniform,CPU,"D | D | D | D | D | D",64,64,0.236096,0,0.221148,0.014144,0.515926,0.471388
3,double,uniform,CPU,"D | D | D | D | D | D",64,65,0.237024,0,0.221198,0.013536,0.517566,0.471758
3,double,uniform,CPU,"D | D | D | D | D | D",64,66,0.235808,0,0.220598,0.013856,0.515655,0.470262
3,double,uniform,CPU,"D | D | D | D | D | D",64,67,0.242528,0,0.309407,0.014688,0.611445,0.566623
3,double,uniform,CPU,"D | D | D | D | D | D",64,68,0.239776,0,0.221568,0.013792,0.521486,0.475136
3,double,uniform,CPU,"D | D | D | D | D | D",64,69,0.241344,0,0.221828,0.014304,0.522456,0.477476
3,double,uniform,CPU,"D | D | D | D | D | D",64,70,0.23856,0,0.217918,0.01584,0.509766,0.472318
3,double,uniform,CPU,"D | D | D | D | D | D",64,71,0.236512,0,0.221088,0.014048,0.517555,0.471648
3,double,uniform,CPU,"D | D | D | D | D | D",64,72,0.236416,0,0.221609,0.016608,0.520065,0.474633
3,double,uniform,CPU,"D | D | D | D | D | D",64,73,0.24128,0,0.221468,0.015456,0.524215,0.478204
3,double,uniform,CPU,"D | D | D | D | D | D",64,74,0.23664,0,0.220648,0.014816,0.518075,0.472104
3,double,uniform,CPU,"D | D | D | D | D | D",128,0,1.85382,0,2.13602,0.06368,4.12973,4.05353
3,double,uniform,CPU,"D | D | D | D | D | D",128,1,1.54006,0,2.13411,0.063808,3.78585,3.73798
3,double,uniform,CPU,"D | D | D | D | D | D",128,2,1.54298,0,2.13107,0.06016,3.78457,3.73421
3,double,uniform,CPU,"D | D | D | D | D | D",128,3,1.59446,0,2.13008,0.06112,3.83201,3.78567
