dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,GPU,"P | P | P | P",64,52,0.012896,0,0.045409,0.016544,0.116939,0.074849
2,double,uniform,GPU,"P | P | P | P",64,53,0.01488,0,0.045339,0.016,0.118809,0.076219
2,double,uniform,GPU,"P | P | P | P",64,54,0.013792,0,0.045529,0.016544,0.117159,0.075865
2,double,uniform,GPU,"P | P | P | P",64,55,0.012352,0,0.045179,0.014656,0.113419,0.072187
2,double,uniform,GPU,"P | P | P | P",64,56,0.012576,0,0.04518,0.014176,0.112499,0.071932
2,double,uniform,GPU,"P | P | P | P",64,57,0.013728,0,0.04525,0.016928,0.116649,0.075906
2,double,uniform,GPU,"P | P | P | P",64,58,0.014496,0,0.04637,0.01712,0.118538,0.077986
2,double,uniform,GPU,"P | P | P | P",64,59,0.012864,0,0.045499,0.015808,0.114819,0.074171
2,double,uniform,GPU,"P | P | P | P",64,60,0.013792,0,0.045509,0.016736,0.116989,0.076037
2,double,uniform,GPU,"P | P | P | P",64,61,0.015904,0,0.04533,0.016256,0.120539,0.07749
2,double,uniform,GPU,"P | P | P | P",64,62,0.012288,0,0.04518,0.014848,0.113878,0.072316
2,double,uniform,GPU,"P | P | P | P",64,63,0.01408,0,0.045409,0.014912,0.116339,0.074401
2,double,uniform,GPU,"P | P | P | P",64,64,0.01328,0,0.042409,0.017696,0.106739,0.073385
2,double,uniform,GPU,"P | P | P | P",64,65,0.015488,0,0.04512,0.015424,0.118028,0.076032
2,double,uniform,GPU,"P | P | P | P",64,66,0.013504,0,0.126929,0.016224,0.198498,0.156657
2,double,uniform,GPU,"P | P | P | P",64,67,0.015072,0,0.045099,0.017216,0.118509,0.077387
2,double,uniform,GPU,"P | P | P | P",64,68,0.014592,0,0.04522,0.014688,0.115308,0.0745
2,double,uniform,GPU,"P | P | P | P",64,69,0.012704,0,0.045499,0.014976,0.113399,0.073179
2,double,uniform,GPU,"P | P | P | P",64,70,0.01312,0,0.04515,0.017216,0.116189,0.075486
2,double,uniform,GPU,"P | P | P | P",64,71,0.012576,0,0.044869,0.015328,0.113288,0.072773
2,double,uniform,GPU,"P | P | P | P",64,72,0.012448,0,0.045299,0.016896,0.115359,0.074643
2,double,uniform,GPU,"P | P | P | P",64,73,0.012928,0,0.04536,0.015808,0.115429,0.074096
2,double,uniform,GPU,"P | P | P | P",64,74,0.01296,0,0.04538,0.016992,0.116129,0.075332
2,double,uniform,GPU,"P | P | P | P",128,0,0.023136,0,0.05439,0.024704,0.153788,0.10223
2,double,uniform,GPU,"P | P | P | P",128,1,0.014912,0,0.05024,0.017664,0.125079,0.082816
2,double,uniform,GPU,"P | P | P | P",128,2,0.01392,0,0.050709,0.01472,0.120449,0.079349
2,double,uniform,GPU,"P | P | P | P",128,3,0.01376,0,0.05031,0.01552,0.122909,0.07959
2,double,uniform,GPU,"P | P | P | P",128,4,0.015072,0,0.050409,0.01712,0.126658,0.082601
2,double,uniform,GPU,"P | P | P | P",128,5,0.014144,0,0.050119,0.016288,0.123769,0.080551
2,double,uniform,GPU,"P | P | P | P",128,6,0.012896,0,0.05001,0.017216,0.122328,0.080122
2,double,uniform,GPU,"P | P | P | P",128,7,0.013024,0,0.04993,0.015232,0.120128,0.078186
2,double,uniform,GPU,"P | P | P | P",128,8,0.01424,0,0.050009,0.017152,0.123749,0.081401
2,double,uniform,GPU,"P | P | P | P",128,9,0.012736,0,0.04982,0.016736,0.126949,0.079292
2,double,uniform,GPU,"P | P | P | P",128,10,0.01248,0,0.0496,0.016768,0.120518,0.078848
2,double,uniform,GPU,"P | P | P | P",128,11,0.013824,0,0.05008,0.01728,0.123689,0.081184
2,double,uniform,GPU,"P | P | P | P",128,12,0.01136,0,0.04965,0.016768,0.119488,0.077778
2,double,uniform,GPU,"P | P | P | P",128,13,0.012704,0,0.049719,0.016768,0.120679,0.079191
2,double,uniform,GPU,"P | P | P | P",128,14,0.014016,0,0.049899,0.016512,0.122768,0.080427
2,double,uniform,GPU,"P | P | P | P",128,15,0.013152,0,0.050119,0.014336,0.119839,0.077607
2,double,uniform,GPU,"P | P | P | P",128,16,0.01456,0,0.04997,0.016416,0.126099,0.080946
2,double,uniform,GPU,"P | P | P | P",128,17,0.013056,0,0.050049,0.017184,0.122189,0.080289
2,double,uniform,GPU,"P | P | P | P",128,18,0.012768,0,0.049799,0.01536,0.126719,0.077927
2,double,uniform,GPU,"P | P | P | P",128,19,0.013344,0,0.050059,0.126944,0.233297,0.190347
2,double,uniform,GPU,"P | P | P | P",128,20,0.014176,0,0.050019,0.016224,0.123139,0.080419
2,double,uniform,GPU,"P | P | P | P",128,21,0.013152,0,0.049639,0.016544,0.121879,0.079335
2,double,uniform,GPU,"P | P | P | P",128,22,0.01296,0,0.049909,0.01632,0.121199,0.079189
2,double,uniform,GPU,"P | P | P | P",128,23,0.012288,0,0.05082,0.014816,0.119139,0.077924
2,double,uniform,GPU,"P | P | P | P",128,24,0.013344,0,0.049949,0.017248,0.123199,0.080541
2,double,uniform,GPU,"P | P | P | P",128,25,0.012384,0,0.049919,0.016288,0.120309,0.078591
2,double,uniform,GPU,"P | P | P | P",128,26,0.011744,0,0.04968,0.01664,0.119789,0.078064
2,double,uniform,GPU,"P | P | P | P",128,27,0.01264,0,0.049869,0.016704,0.120548,0.079213
2,double,uniform,GPU,"P | P | P | P",128,28,0.011712,0,0.049269,0.015936,0.118738,0.076917
2,double,uniform,GPU,"P | P | P | P",128,29,0.013376,0,0.050549,0.019456,0.124329,0.083381
2,double,uniform,GPU,"P | P | P | P",128,30,0.1208,0,0.05023,0.015136,0.229508,0.186166
2,double,uniform,GPU,"P | P | P | P",128,31,0.0136,0,0.0503,0.015904,0.122609,0.079804
2,double,uniform,GPU,"P | P | P | P",128,32,0.012992,0,0.049939,0.016448,0.121189,0.079379
2,double,uniform,GPU,"P | P | P | P",128,33,0.012096,0,0.04987,0.016704,0.120059,0.07867
2,double,uniform,GPU,"P | P | P | P",128,34,0.01376,0,0.04997,0.0152,0.121178,0.07893
2,double,uniform,GPU,"P | P | P | P",128,35,0.01152,0,0.0499,0.016416,0.119849,0.077836
2,double,uniform,GPU,"P | P | P | P",128,36,0.013312,0,0.04994,0.017344,0.122468,0.080596
2,double,uniform,GPU,"P | P | P | P",128,37,0.011968,0,0.05024,0.016416,0.119799,0.078624
2,double,uniform,GPU,"P | P | P | P",128,38,0.012096,0,0.049579,0.017024,0.120229,0.078699
2,double,uniform,GPU,"P | P | P | P",128,39,0.012768,0,0.046769,0.019232,0.112849,0.078769
2,double,uniform,GPU,"P | P | P | P",128,40,0.012864,0,0.046379,0.017056,0.110729,0.076299
2,double,uniform,GPU,"P | P | P | P",128,41,0.012032,0,0.049579,0.015744,0.118859,0.077355
2,double,uniform,GPU,"P | P | P | P",128,42,0.012992,0,0.049639,0.017056,0.120949,0.079687
