dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"Ds | Ns",64,52,0.028864,0,0.01878,0.005696,0.092679,0.05334
1,float,uniform,CPU,"Ds | Ns",64,53,0.027488,0,0.01811,0.00464,0.089399,0.050238
1,float,uniform,CPU,"Ds | Ns",64,54,0.028608,0,0.01851,0.00448,0.091319,0.051598
1,float,uniform,CPU,"Ds | Ns",64,55,0.032608,0,0.01816,0.0048,0.095639,0.055568
1,float,uniform,CPU,"Ds | Ns",64,56,0.033728,0,0.018699,0.004256,0.096439,0.056683
1,float,uniform,CPU,"Ds | Ns",64,57,0.027264,0,0.01476,0.006944,0.079589,0.048968
1,float,uniform,CPU,"Ds | Ns",64,58,0.030272,0,0.018689,0.006176,0.096659,0.055137
1,float,uniform,CPU,"Ds | Ns",64,59,0.029376,0,0.01862,0.004352,0.09137,0.052348
1,float,uniform,CPU,"Ds | Ns",64,60,0.029408,0,0.019119,0.004384,0.091499,0.052911
1,float,uniform,CPU,"Ds | Ns",64,61,0.028864,0,0.01883,0.004736,0.089749,0.05243
1,float,uniform,CPU,"Ds | Ns",64,62,0.029152,0,0.01851,0.005888,0.094218,0.05355
1,float,uniform,CPU,"Ds | Ns",64,63,0.0288,0,0.01848,0.004448,0.090639,0.051728
1,float,uniform,CPU,"Ds | Ns",64,64,0.027744,0,0.018179,0.008544,0.092699,0.054467
1,float,uniform,CPU,"Ds | Ns",64,65,0.029792,0,0.01857,0.00432,0.091839,0.052682
1,float,uniform,CPU,"Ds | Ns",64,66,0.030208,0,0.01826,0.004224,0.092489,0.052692
1,float,uniform,CPU,"Ds | Ns",64,67,0.02896,0,0.0187,0.00448,0.091009,0.05214
1,float,uniform,CPU,"Ds | Ns",64,68,0.030304,0,0.018629,0.00752,0.095249,0.056453
1,float,uniform,CPU,"Ds | Ns",64,69,0.030048,0,0.0187,0.004384,0.091908,0.053132
1,float,uniform,CPU,"Ds | Ns",64,70,0.032512,0,0.018941,0.005376,0.096709,0.056829
1,float,uniform,CPU,"Ds | Ns",64,71,0.027968,0,0.014298,0.00672,0.079699,0.048986
1,float,uniform,CPU,"Ds | Ns",64,72,0.02992,0,0.01854,0.006304,0.095729,0.054764
1,float,uniform,CPU,"Ds | Ns",64,73,0.028128,0,0.01832,0.006048,0.09177,0.052496
1,float,uniform,CPU,"Ds | Ns",64,74,0.03168,0,0.018331,0.005856,0.097359,0.055867
1,float,uniform,CPU,"Ds | Ns",128,0,0.055712,0,0.02252,0.012256,0.138579,0.090488
1,float,uniform,CPU,"Ds | Ns",128,1,0.031456,0,0.0191,0.005952,0.094349,0.056508
1,float,uniform,CPU,"Ds | Ns",128,2,0.030592,0,0.01843,0.006368,0.095619,0.05539
1,float,uniform,CPU,"Ds | Ns",128,3,0.0288,0,0.01857,0.005504,0.089849,0.052874
1,float,uniform,CPU,"Ds | Ns",128,4,0.027968,0,0.01812,0.007488,0.092309,0.053576
1,float,uniform,CPU,"Ds | Ns",128,5,0.030848,0,0.01855,0.005632,0.094739,0.05503
1,float,uniform,CPU,"Ds | Ns",128,6,0.030464,0,0.019,0.005536,0.094559,0.055
1,float,uniform,CPU,"Ds | Ns",128,7,0.03184,0,0.01855,0.00752,0.096569,0.05791
1,float,uniform,CPU,"Ds | Ns",128,8,0.030048,0,0.018439,0.005536,0.092429,0.054023
1,float,uniform,CPU,"Ds | Ns",128,9,0.029568,0,0.019649,0.00592,0.093469,0.055137
1,float,uniform,CPU,"Ds | Ns",128,10,0.027776,0,0.01527,0.006752,0.081089,0.049798
