dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,38,0.016,0.001511,0.042849,0.0112,0.124978,0.07156
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,39,0.013984,0.00158,0.04209,0.00912,0.123728,0.066774
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,40,0.015968,0.00146,0.04373,0.009024,0.124748,0.070182
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,41,0.014464,0.00145,0.04159,0.008608,0.120998,0.066112
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,42,0.014112,0.00191,0.043489,0.01072,0.124699,0.070231
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,43,0.00928,0.00154,0.04205,0.007968,0.116159,0.060838
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,44,0.011648,0.00155,0.035669,0.010496,0.107678,0.059363
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,45,0.014304,0.00163,0.04258,0.008096,0.122288,0.06661
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,46,0.014976,0.00144,0.04199,0.008256,0.120339,0.066662
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,47,0.013408,0.00159,0.04435,0.00832,0.123319,0.067668
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,48,0.016,0.00141,0.041479,0.008032,0.120119,0.066921
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,49,0.016032,0.001491,0.041729,0.007936,0.120579,0.067188
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,50,0.01488,0.00156,0.04146,0.013376,0.126119,0.071276
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,51,0.015328,0.001589,0.041479,0.007264,0.120539,0.06566
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,52,0.013664,0.0015,0.04241,0.00768,0.120739,0.065254
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,53,0.015104,0.0016,0.04117,0.007456,0.121638,0.06533
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,54,0.015328,0.00148,0.042079,0.007552,0.120928,0.066439
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,55,0.013152,0.00163,0.04231,0.007008,0.121469,0.0641
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,56,0.013568,0.001589,0.042089,0.009056,0.121748,0.066302
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,57,0.015008,0.00152,0.04206,0.007232,0.120358,0.06582
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,58,0.016416,0.00175,0.041449,0.007808,0.122049,0.067423
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,59,0.012896,0.00151,0.041958,0.009792,0.122429,0.066156
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,60,0.009248,0.00144,0.047079,0.008928,0.121429,0.066695
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,61,0.014272,0.00163,0.042169,0.007488,0.121709,0.065559
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,62,0.014176,0.001509,0.04166,0.007424,0.121149,0.064769
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,63,0.014848,0.00152,0.040681,0.009408,0.119779,0.066457
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,64,0.01584,0.00152,0.04292,0.007008,0.122089,0.067288
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,65,0.009792,0.001511,0.04225,0.008576,0.118129,0.062129
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,66,0.014816,0.001541,0.04261,0.009344,0.125449,0.068311
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,67,0.01328,0.00153,0.04158,0.00768,0.119878,0.06407
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,68,0.015904,0.00148,0.03854,0.010208,0.114159,0.066132
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,69,0.009376,0.00154,0.03458,0.010592,0.103478,0.056088
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,70,0.008736,0.00152,0.0424,0.009088,0.115479,0.061744
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,71,0.016032,0.00163,0.042029,0.00944,0.121829,0.069131
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,72,0.013728,0.00143,0.04213,0.00784,0.121108,0.065128
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,73,0.012608,0.001512,0.04176,0.008192,0.119779,0.064072
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",64,74,0.015232,0.001499,0.04169,0.0072,0.120958,0.065621
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,0,0.032128,0.00186,0.08007,0.022592,0.192637,0.13665
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,1,0.018208,0.00165,0.073459,0.017824,0.166998,0.111141
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,2,0.019744,0.00718,0.067809,0.021056,0.163778,0.115789
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,3,0.024544,0.00176,0.073249,0.019424,0.173209,0.118977
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,4,0.023904,0.001551,0.072339,0.018976,0.171118,0.11677
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,5,0.017696,0.001581,0.073479,0.01856,0.165808,0.111316
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,6,0.020032,0.001529,0.072509,0.01744,0.166728,0.11151
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,7,0.019584,0.0015,0.07299,0.019072,0.165938,0.113146
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,8,0.018336,0.001578,0.079309,0.019104,0.172548,0.118327
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,9,0.019072,0.00162,0.07331,0.018624,0.167538,0.112626
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,10,0.023904,0.00154,0.07428,0.01904,0.173748,0.118764
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,11,0.025696,0.00156,0.072708,0.01856,0.173248,0.118524
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,12,0.023936,0.001579,0.073159,0.017568,0.171398,0.116242
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,13,0.020608,0.001449,0.072669,0.017696,0.166738,0.112422
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,14,0.019456,0.001609,0.07364,0.018144,0.166858,0.112849
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,15,0.019968,0.0017,0.072669,0.017472,0.166638,0.111809
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,16,0.025376,0.001542,0.07263,0.018848,0.172958,0.118396
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,17,0.017184,0.00166,0.072288,0.01824,0.163698,0.109372
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,18,0.025184,0.001571,0.073089,0.01888,0.172058,0.118724
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,19,0.01888,0.001599,0.072728,0.0184,0.166248,0.111607
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,20,0.025664,0.00156,0.072659,0.018016,0.172318,0.117899
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,21,0.0264,0.001569,0.072769,0.01744,0.173438,0.118178
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,22,0.018816,0.00175,0.073429,0.01888,0.168068,0.112875
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,23,0.025984,0.00154,0.072549,0.017696,0.172858,0.117769
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,24,0.024032,0.00168,0.074008,0.018656,0.172958,0.118376
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,25,0.018464,0.00151,0.0722,0.017696,0.165928,0.10987
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,26,0.025728,0.001559,0.073107,0.019008,0.173758,0.119402
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,27,0.024896,0.00162,0.073417,0.01872,0.173248,0.118653
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,28,0.018272,0.001521,0.07281,0.01888,0.166678,0.111483
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,29,0.026112,0.001531,0.06844,0.020768,0.164778,0.116851
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,30,0.026464,0.001549,0.07322,0.019488,0.175268,0.120721
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,31,0.025376,0.001571,0.073208,0.018464,0.290637,0.118619
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,32,0.0176,0.00173,0.07393,0.018592,0.167318,0.111852
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,33,0.026656,0.001721,0.073288,0.019744,0.175448,0.121409
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,34,0.02576,0.001591,0.065681,0.02,0.161508,0.113032
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,35,0.026848,0.00154,0.072888,0.01808,0.173828,0.119356
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,36,0.024096,0.001519,0.07315,0.01856,0.294177,0.117325
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,37,0.018816,0.001571,0.072679,0.01792,0.166278,0.110986
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,38,0.026464,0.001602,0.07282,0.019296,0.174438,0.120182
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,39,0.020096,0.00176,0.073199,0.018816,0.167998,0.113871
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,40,0.019136,0.00157,0.073339,0.017152,0.167649,0.111197
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,41,0.01824,0.00186,0.073429,0.018272,0.166728,0.111801
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,42,0.026432,0.00159,0.07301,0.018272,0.173488,0.119304
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,43,0.023872,0.00165,0.07428,0.017696,0.172788,0.117498
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,44,0.019392,0.00155,0.072988,0.016992,0.166098,0.110922
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,45,0.025344,0.00151,0.07266,0.017184,0.172288,0.116698
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,46,0.025632,0.00159,0.073689,0.018688,0.174259,0.119599
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,47,0.026112,0.00163,0.207647,0.019616,0.309756,0.255005
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,48,0.03744,0.002,0.08249,0.021984,0.198478,0.143914
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,49,0.01968,0.0017,0.076548,0.020192,0.181548,0.11812
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,50,0.024544,0.001599,0.073559,0.017152,0.172258,0.116854
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,51,0.018176,0.001592,0.072939,0.018624,0.165798,0.111331
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,52,0.027744,0.00155,0.07173,0.020928,0.169318,0.121952
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,53,0.019104,0.001759,0.072599,0.01776,0.165758,0.111222
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,54,0.023552,0.00151,0.07272,0.017504,0.171548,0.115286
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,55,0.01904,0.001591,0.072549,0.018176,0.165718,0.111356
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,56,0.024928,0.001529,0.072039,0.018624,0.172368,0.11712
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,57,0.0176,0.00153,0.073161,0.017856,0.164858,0.110147
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,58,0.018016,0.00165,0.073291,0.020128,0.165818,0.113085
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,59,0.024384,0.00162,0.07334,0.019136,0.172358,0.11848
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,60,0.025344,0.00152,0.072629,0.017888,0.172208,0.117381
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,61,0.024672,0.00172,0.07395,0.019456,0.174918,0.119798
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,62,0.02448,0.00151,0.070518,0.019552,0.170048,0.11606
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,63,0.024704,0.00172,0.07361,0.019168,0.172328,0.119202
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,64,0.020448,0.0016,0.073008,0.019104,0.161868,0.11416
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,65,0.023648,0.00154,0.07432,0.018944,0.174188,0.118452
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,66,0.024448,0.00156,0.07346,0.019008,0.172778,0.118476
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,67,0.02736,0.00152,0.066139,0.020512,0.162368,0.115531
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,68,0.038272,0.002,0.08314,0.023552,0.202727,0.146964
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,69,0.017504,0.001671,0.073959,0.01936,0.167008,0.112494
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,70,0.019008,0.00162,0.07313,0.018912,0.167548,0.11267
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,71,0.01968,0.001671,0.073358,0.019296,0.168628,0.114005
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,72,0.019232,0.001671,0.072159,0.017312,0.164858,0.110374
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,73,0.026944,0.00173,0.07281,0.01664,0.173549,0.118124
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",128,74,0.024192,0.001579,0.0731,0.018208,0.172408,0.117079
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,0,0.06464,0.002453,0.158527,0.050048,0.330046,0.275668
