dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,45,0.013376,0,0.05299,0.007872,0.109129,0.074238
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,46,0.01344,0,0.052979,0.007648,0.110338,0.074067
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,47,0.012736,0,0.052989,0.008704,0.110149,0.074429
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,48,0.012544,0,0.0527,0.008576,0.112578,0.07382
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,49,0.012032,0,0.052679,0.007392,0.108339,0.072103
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,50,0.012704,0,0.05008,0.008864,0.100379,0.071648
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,51,0.012192,0,0.0533,0.00896,0.109629,0.074452
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,52,0.013664,0,0.05262,0.006816,0.108848,0.0731
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,53,0.011808,0,0.052849,0.007168,0.109669,0.071825
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,54,0.013344,0,0.052059,0.009184,0.110129,0.074587
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,55,0.013216,0,0.053009,0.0088,0.110629,0.075025
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,56,0.012672,0,0.053079,0.00832,0.110569,0.074071
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,57,0.012096,0,0.138139,0.008,0.195847,0.158235
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,58,0.010656,0,0.05258,0.007968,0.104759,0.071204
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,59,0.01216,0,0.053239,0.007296,0.109029,0.072695
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,60,0.012,0,0.0529,0.00784,0.109019,0.07274
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,61,0.013312,0,0.053039,0.008352,0.110879,0.074703
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,62,0.012672,0,0.05109,0.008704,0.100938,0.072466
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,63,0.013792,0,0.05277,0.007712,0.109269,0.074274
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,64,0.011936,0,0.053159,0.007168,0.108479,0.072263
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,65,0.013952,0,0.052399,0.00784,0.108089,0.074191
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,66,0.01424,0,0.0528,0.00688,0.109088,0.07392
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,67,0.012096,0,0.052789,0.008096,0.107629,0.072981
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,68,0.014304,0,0.052879,0.007712,0.111679,0.074895
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,69,0.01216,0,0.049,0.00944,0.099749,0.0706
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,70,0.012832,0,0.052559,0.008352,0.108249,0.073743
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,71,0.012704,0,0.136199,0.007296,0.191688,0.156199
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,72,0.012544,0,0.052839,0.008032,0.108389,0.073415
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,73,0.0128,0,0.05287,0.009088,0.109999,0.074758
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",64,74,0.012544,0,0.05264,0.008224,0.108459,0.073408
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,0,0.02592,0,0.059459,0.013248,0.134729,0.098627
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,1,0.012192,0,0.058289,0.007744,0.115179,0.078225
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,2,0.011264,0,0.058479,0.008608,0.113099,0.078351
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,3,0.012608,0,0.05799,0.008928,0.114359,0.079526
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,4,0.013216,0,0.058349,0.00768,0.115569,0.079245
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,5,0.013024,0,0.058009,0.009472,0.115689,0.080505
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,6,0.013248,0,0.058479,0.009504,0.115979,0.081231
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,7,0.012832,0,0.058168,0.007936,0.114619,0.078936
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,8,0.012608,0,0.05813,0.008544,0.114019,0.079282
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,9,0.010848,0,0.05865,0.007936,0.113969,0.077434
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,10,0.012032,0,0.058999,0.008512,0.116089,0.079543
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,11,0.01504,0,0.05826,0.008672,0.117029,0.081972
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,12,0.01568,0,0.054879,0.00944,0.108638,0.079999
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,13,0.012,0,0.059649,0.007072,0.115179,0.078721
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,14,0.011712,0,0.058199,0.007552,0.113719,0.077463
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,15,0.012448,0,0.059088,0.008256,0.116149,0.079792
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,16,0.011456,0,0.058379,0.008512,0.114549,0.078347
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,17,0.01488,0,0.058149,0.007296,0.116539,0.080325
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,18,0.012032,0,0.058569,0.008,0.115159,0.078601
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,19,0.015808,0,0.05457,0.00992,0.109859,0.080298
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,20,0.012736,0,0.05817,0.008576,0.115338,0.079482
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,21,0.01264,0,0.058249,0.007232,0.114558,0.078121
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,22,0.011424,0,0.057859,0.007296,0.112569,0.076579
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,23,0.012384,0,0.05873,0.007904,0.115439,0.079018
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,24,0.013536,0,0.058139,0.006848,0.114339,0.078523
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,25,0.011584,0,0.05844,0.007744,0.114329,0.077768
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,26,0.012512,0,0.05892,0.006272,0.208538,0.077704
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,27,0.0112,0,0.057889,0.00928,0.113049,0.078369
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,28,0.012128,0,0.058449,0.008768,0.115108,0.079345
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,29,0.012224,0,0.058259,0.008544,0.114258,0.079027
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,30,0.013408,0,0.058189,0.008544,0.117769,0.080141
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,31,0.013248,0,0.055689,0.009664,0.107159,0.078601
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,32,0.012736,0,0.059069,0.009152,0.117149,0.080957
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,33,0.01296,0,0.058439,0.007616,0.114529,0.079015
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,34,0.011648,0,0.05787,0.008768,0.113468,0.078286
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,35,0.01168,0,0.058299,0.008704,0.113619,0.078683
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,36,0.014176,0,0.05917,0.0088,0.117939,0.082146
