dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,185.361,0,0.11367,52.2023,237.779,237.677
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,0.010112,0,0.103399,0.017216,0.183738,0.130727
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,0.015968,0,0.099508,0.015424,0.183288,0.1309
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,0.01472,0,0.10144,0.013376,0.183989,0.129536
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,0.015392,0,0.099478,0.014592,0.182398,0.129462
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,0.01472,0,0.099499,0.01424,0.181008,0.128459
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,0.01664,0,0.09921,0.015136,0.261057,0.130986
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,0.015104,0,0.099419,0.014656,0.181708,0.129179
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,0.0136,0,0.099349,0.014752,0.180338,0.127701
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,0.018784,0,0.099349,0.01328,0.191038,0.131413
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,0.015584,0,0.099279,0.01376,0.181289,0.128623
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,0.017344,0,0.097508,0.012704,0.178038,0.127556
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,0.01392,0,0.099718,0.016928,0.182028,0.130566
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,0.017664,0,0.099069,0.014048,0.183798,0.130781
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,0.017024,0,0.099879,0.014624,0.183378,0.131527
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,15,0.009216,0,0.099199,0.01536,0.176388,0.123775
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,16,0.01536,0,0.10027,0.012256,0.180848,0.127886
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,17,0.014752,0,0.099279,0.013824,0.181718,0.127855
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,18,0.015392,0,0.100098,0.014272,0.182098,0.129762
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,19,0.015744,0,0.099198,0.013344,0.180788,0.128286
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,20,0.009152,0,0.100009,0.015296,0.177028,0.124457
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,21,0.008864,0,0.099388,0.013472,0.176898,0.121724
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,22,0.00928,0,0.099848,0.014176,0.177598,0.123304
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,23,0.008864,0,0.099118,0.013728,0.174988,0.12171
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,24,0.016,0,0.096259,0.016064,0.174778,0.128323
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,25,0.0152,0,0.098399,0.013568,0.178879,0.127167
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,26,0.016608,0,0.099778,0.01424,0.183778,0.130626
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,27,0.01536,0,0.099728,0.013664,0.182708,0.128752
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,28,0.013792,0,0.099898,0.014688,0.181548,0.128378
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,29,0.008544,0,0.099139,0.01312,0.174898,0.120803
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,30,0.015936,0,0.099299,0.014112,0.182828,0.129347
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,31,0.015584,0,0.098889,0.01792,0.184189,0.132393
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,32,0.015776,0,0.0994,0.01472,0.182788,0.129896
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,33,0.014688,0,0.099379,0.01472,0.182528,0.128787
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,34,0.010784,0,0.10006,0.015808,0.179128,0.126652
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,35,0.018496,0,0.099059,0.014144,0.184938,0.131699
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,36,0.016768,0,0.100098,0.014272,0.185178,0.131138
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,37,0.00912,0,0.098969,0.0136,0.174358,0.121689
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,38,0.016544,0,0.099619,0.013376,0.182958,0.129539
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,39,0.016096,0,0.099699,0.0136,0.182428,0.129395
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,40,0.009024,0,0.09976,0.016128,0.178348,0.124912
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,41,0.016128,0,0.099409,0.015744,0.182328,0.131281
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,42,0.016672,0,0.099959,0.015744,0.185468,0.132375
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,43,0.01408,0,0.099499,0.013792,0.180618,0.127371
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,44,0.015808,0,0.09904,0.015136,0.182618,0.129984
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,45,0.015808,0,0.09898,0.01344,0.180868,0.128228
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,46,0.00928,0,0.098938,0.014784,0.175508,0.123002
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,47,0.016928,0,0.09917,0.014912,0.184599,0.13101
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,48,0.00832,0,0.273897,0.014368,0.350246,0.296585
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,49,0.013568,0,0.097519,0.01392,0.177448,0.125007
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,50,0.016,0,0.099529,0.01424,0.183028,0.129769
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,51,0.01008,0,0.099109,0.012384,0.175658,0.121573
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,52,0.015648,0,0.099409,0.01552,0.182868,0.130577
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,53,0.014464,0,0.098829,0.013792,0.180369,0.127085
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,54,0.015776,0,0.09501,0.016192,0.176538,0.126978
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,55,0.014336,0,0.098128,0.014048,0.177858,0.126512
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,56,0.016,0,0.098818,0.01392,0.181808,0.128738
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,57,0.015424,0,0.098999,0.01408,0.180848,0.128503
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,58,0.0088,0,0.09903,0.01328,0.174549,0.12111
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,59,0.015264,0,0.099249,0.014176,0.182927,0.128689
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,60,0.016704,0,0.098989,0.01504,0.182738,0.130733
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,61,0.014688,0,0.09568,0.016544,0.172428,0.126912
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,62,0.009376,0,0.099699,0.014688,0.177278,0.123763
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,63,0.015456,0,0.099849,0.013856,0.182918,0.129161
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,64,0.015008,0,0.099258,0.013504,0.180988,0.12777
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,65,0.015296,0,0.099698,0.015552,0.183098,0.130546
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,66,0.008128,0,0.0993,0.015264,0.175859,0.122692
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,67,0.01536,0,0.096759,0.015616,0.173349,0.127735
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,68,0.015872,0,0.099048,0.014688,0.182068,0.129608
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,69,0.015808,0,0.099548,0.015872,0.183398,0.131228
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,70,0.016,0,0.098869,0.013408,0.181178,0.128277
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,71,0.009248,0,0.09951,0.099168,0.260738,0.207926
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,72,0.016832,0,0.09911,0.01408,0.182158,0.130022
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,73,0.01072,0,0.09855,0.015648,0.174678,0.124918
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,74,0.00992,0,0.098909,0.01392,0.175898,0.122749
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,0,0.03792,0,0.493495,0.064256,0.649863,0.595671
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,1,0.022112,0,0.486384,0.059104,0.620654,0.5676
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,2,0.020608,0,0.490394,0.060128,0.624864,0.57113
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,3,0.020448,0,0.488434,0.05936,0.622314,0.568242
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,4,0.022496,0,0.489274,0.059552,0.624674,0.571322
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,5,0.020768,0,0.488915,0.058496,0.620913,0.568179
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,6,0.018912,0,0.487404,0.058912,0.620543,0.565228
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,7,0.02704,0,0.486536,0.057216,0.620773,0.570792
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,8,0.020352,0,0.488034,0.059584,0.622063,0.56797
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,9,0.019648,0,0.488534,0.058112,0.620603,0.566294
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,10,0.021408,0,0.487146,0.05792,0.617014,0.566474
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,11,0.021472,0,0.488586,0.057632,0.621933,0.56769
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,12,0.023296,0,0.488034,0.060096,0.623384,0.571426
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,13,0.022272,0,0.489224,0.05712,0.622063,0.568616
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,14,0.021952,0,0.489265,0.058912,0.624424,0.570129
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,15,0.0392,0,0.494134,0.064864,0.651693,0.598198
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,16,0.01984,0,0.487434,0.058656,0.619923,0.56593
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,17,0.02912,0,0.488475,0.060832,0.630363,0.578427
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,18,0.023616,0,0.487836,0.05936,0.624763,0.570812
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,19,0.020256,0,0.489376,0.06016,0.623373,0.569792
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,20,0.022016,0,0.487604,0.059552,0.619423,0.569172
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,21,0.023008,0,0.489015,0.056672,0.623134,0.568695
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,22,0.021376,0,0.490184,0.058304,0.623693,0.569864
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,23,0.019808,0,0.489335,0.060256,0.623023,0.569399
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,24,0.029024,0,0.489104,0.06016,0.630534,0.578288
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,25,0.027808,0,0.493066,0.059488,0.634983,0.580362
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,26,0.0296,0,0.488226,0.057664,0.630083,0.57549
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,27,0.023584,0,0.489256,0.061216,0.628853,0.574056
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,28,0.022624,0,0.489036,0.059008,0.623634,0.570668
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,29,0.022048,0,0.487996,0.058464,0.620893,0.568508
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,30,0.021472,0,0.488784,0.059328,0.628764,0.569584
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,31,0.022432,0,0.488515,0.058912,0.622414,0.569859
3,double,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,32,0.01984,0,0.489036,0.060736,0.622753,0.569612
