dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"Ds | Ns",64,0,0.075296,0,0.049579,199.256,199.473,199.381
1,float,uniform,GPU,"Ds | Ns",64,1,0.013472,0,0.023549,0.01216,0.085649,0.049181
1,float,uniform,GPU,"Ds | Ns",64,2,0.013536,0,0.02029,0.005472,0.073389,0.039298
1,float,uniform,GPU,"Ds | Ns",64,3,0.013728,0,0.01947,0.00624,0.072799,0.039438
1,float,uniform,GPU,"Ds | Ns",64,4,0.012736,0,0.01992,0.006144,0.070299,0.0388
1,float,uniform,GPU,"Ds | Ns",64,5,0.011744,0,0.01559,0.007328,0.06369,0.034662
1,float,uniform,GPU,"Ds | Ns",64,6,0.013056,0,0.01921,0.008096,0.073489,0.040362
1,float,uniform,GPU,"Ds | Ns",64,7,0.01296,0,0.01938,0.005152,0.071119,0.037492
1,float,uniform,GPU,"Ds | Ns",64,8,0.013184,0,0.019329,0.006432,0.070249,0.038945
1,float,uniform,GPU,"Ds | Ns",64,9,0.011744,0,0.01893,0.004608,0.07023,0.035282
1,float,uniform,GPU,"Ds | Ns",64,10,0.01296,0,0.01966,0.005248,0.071009,0.037868
1,float,uniform,GPU,"Ds | Ns",64,11,0.012704,0,0.019209,0.004608,0.070569,0.036521
1,float,uniform,GPU,"Ds | Ns",64,12,0.012576,0,0.01944,0.00592,0.070519,0.037936
1,float,uniform,GPU,"Ds | Ns",64,13,0.012992,0,0.01878,0.006464,0.070199,0.038236
1,float,uniform,GPU,"Ds | Ns",64,14,0.01232,0,0.01937,0.005408,0.07028,0.037098
1,float,uniform,GPU,"Ds | Ns",64,15,0.012768,0,0.01979,0.008064,0.072699,0.040622
1,float,uniform,GPU,"Ds | Ns",64,16,0.0136,0,0.01916,0.00672,0.072889,0.03948
1,float,uniform,GPU,"Ds | Ns",64,17,0.01424,0,0.01963,0.006688,0.073869,0.040558
1,float,uniform,GPU,"Ds | Ns",64,18,0.012288,0,0.01898,0.006016,0.069589,0.037284
1,float,uniform,GPU,"Ds | Ns",64,19,0.012096,0,0.01937,0.007776,0.073479,0.039242
1,float,uniform,GPU,"Ds | Ns",64,20,0.013216,0,0.01884,0.005696,0.069129,0.037752
1,float,uniform,GPU,"Ds | Ns",64,21,0.012928,0,0.01909,0.00448,0.069849,0.036498
1,float,uniform,GPU,"Ds | Ns",64,22,0.013056,0,0.02022,0.00624,0.072509,0.039516
1,float,uniform,GPU,"Ds | Ns",64,23,0.013312,0,0.01916,0.005792,0.076599,0.038264
1,float,uniform,GPU,"Ds | Ns",64,24,0.012768,0,0.022079,0.005824,0.073139,0.040671
1,float,uniform,GPU,"Ds | Ns",64,25,0.013888,0,0.01945,0.116384,0.182708,0.149722
1,float,uniform,GPU,"Ds | Ns",64,26,0.012384,0,0.01902,0.006016,0.07022,0.03742
1,float,uniform,GPU,"Ds | Ns",64,27,0.01328,0,0.01937,0.006048,0.070649,0.038698
1,float,uniform,GPU,"Ds | Ns",64,28,0.012224,0,0.01929,0.004896,0.068179,0.03641
1,float,uniform,GPU,"Ds | Ns",64,29,0.013856,0,0.02082,0.008608,0.077608,0.043284
1,float,uniform,GPU,"Ds | Ns",64,30,0.013664,0,0.01917,0.006528,0.07151,0.039362
1,float,uniform,GPU,"Ds | Ns",64,31,0.013344,0,0.01987,0.0056,0.071369,0.038814
1,float,uniform,GPU,"Ds | Ns",64,32,0.012128,0,0.019288,0.006016,0.069869,0.037432
1,float,uniform,GPU,"Ds | Ns",64,33,0.0128,0,0.019019,0.00768,0.072699,0.039499
1,float,uniform,GPU,"Ds | Ns",64,34,0.013376,0,0.019279,0.005216,0.071199,0.037871
1,float,uniform,GPU,"Ds | Ns",64,35,0.01312,0,0.01926,0.006656,0.071339,0.039036
1,float,uniform,GPU,"Ds | Ns",64,36,0.012512,0,0.01914,0.005504,0.069229,0.037156
1,float,uniform,GPU,"Ds | Ns",64,37,0.011648,0,0.01951,0.006496,0.070239,0.037654
1,float,uniform,GPU,"Ds | Ns",64,38,0.013792,0,0.01939,0.006656,0.072669,0.039838
1,float,uniform,GPU,"Ds | Ns",64,39,0.014464,0,0.01947,0.00592,0.071569,0.039854
1,float,uniform,GPU,"Ds | Ns",64,40,0.013312,0,0.01916,0.00528,0.070419,0.037752
1,float,uniform,GPU,"Ds | Ns",64,41,0.011872,0,0.01922,0.005312,0.07021,0.036404
1,float,uniform,GPU,"Ds | Ns",64,42,0.012832,0,0.01977,0.00768,0.072749,0.040282
1,float,uniform,GPU,"Ds | Ns",64,43,0.012288,0,0.01897,0.00496,0.07203,0.036218
1,float,uniform,GPU,"Ds | Ns",64,44,0.013856,0,0.019529,0.005824,0.072949,0.039209
1,float,uniform,GPU,"Ds | Ns",64,45,0.01312,0,0.01913,0.006048,0.070139,0.038298
1,float,uniform,GPU,"Ds | Ns",64,46,0.013216,0,0.01965,0.008,0.074749,0.040866
1,float,uniform,GPU,"Ds | Ns",64,47,0.01376,0,0.01893,0.005888,0.070469,0.038578
1,float,uniform,GPU,"Ds | Ns",64,48,0.012288,0,0.01906,0.00624,0.069729,0.037588
1,float,uniform,GPU,"Ds | Ns",64,49,0.012608,0,0.02002,0.008288,0.074169,0.040916
1,float,uniform,GPU,"Ds | Ns",64,50,0.012448,0,0.01574,0.006976,0.06366,0.035164
1,float,uniform,GPU,"Ds | Ns",64,51,0.013664,0,0.020081,0.00528,0.072859,0.039025
1,float,uniform,GPU,"Ds | Ns",64,52,0.014048,0,0.01931,0.1,0.166698,0.133358
1,float,uniform,GPU,"Ds | Ns",64,53,0.012288,0,0.01876,0.005824,0.06921,0.036872
1,float,uniform,GPU,"Ds | Ns",64,54,0.011872,0,0.01963,0.00576,0.068149,0.037262
1,float,uniform,GPU,"Ds | Ns",64,55,0.013216,0,0.019258,0.00752,0.072909,0.039994
1,float,uniform,GPU,"Ds | Ns",64,56,0.014304,0,0.02028,0.005216,0.075499,0.0398
