dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"Ns | Ds",64,52,0.010848,0,0.01978,0.004608,0.068449,0.035236
1,float,uniform,GPU,"Ns | Ds",64,53,0.0096,0,0.01815,0.004864,0.067629,0.032614
1,float,uniform,GPU,"Ns | Ds",64,54,0.013152,0,0.01846,0.004832,0.07225,0.036444
1,float,uniform,GPU,"Ns | Ds",64,55,0.010784,0,0.01843,0.004512,0.067359,0.033726
1,float,uniform,GPU,"Ns | Ds",64,56,0.013952,0,0.01813,0.004608,0.071199,0.03669
1,float,uniform,GPU,"Ns | Ds",64,57,0.012864,0,0.01859,0.008128,0.080009,0.039582
1,float,uniform,GPU,"Ns | Ds",64,58,0.011072,0,0.01823,0.004544,0.068059,0.033846
1,float,uniform,GPU,"Ns | Ds",64,59,0.00912,0,0.018889,0.004736,0.066329,0.032745
1,float,uniform,GPU,"Ns | Ds",64,60,0.01168,0,0.01799,0.006528,0.071799,0.036198
1,float,uniform,GPU,"Ns | Ds",64,61,0.012704,0,0.0184,0.006368,0.072389,0.037472
1,float,uniform,GPU,"Ns | Ds",64,62,0.012672,0,0.024371,0.005344,0.080299,0.042387
1,float,uniform,GPU,"Ns | Ds",64,63,0.011552,0,0.01898,0.004672,0.068059,0.035204
1,float,uniform,GPU,"Ns | Ds",64,64,0.010624,0,0.01853,0.003552,0.067159,0.032706
1,float,uniform,GPU,"Ns | Ds",64,65,0.010016,0,0.01819,0.004512,0.06625,0.032718
1,float,uniform,GPU,"Ns | Ds",64,66,0.01088,0,0.014831,0.00736,0.062169,0.033071
1,float,uniform,GPU,"Ns | Ds",64,67,0.012832,0,0.01825,0.00448,0.069,0.035562
1,float,uniform,GPU,"Ns | Ds",64,68,0.013792,0,0.018429,0.004736,0.071659,0.036957
1,float,uniform,GPU,"Ns | Ds",64,69,0.01104,0,0.018339,0.004672,0.067459,0.034051
1,float,uniform,GPU,"Ns | Ds",64,70,0.011808,0,0.01804,0.004512,0.069309,0.03436
