dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,0,0.073728,0.002901,0.088598,217.698,217.971,217.863
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,1,0.0128,0.001641,0.046649,0.016704,0.141999,0.077794
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,2,0.021536,0.00148,0.043529,0.013536,0.142638,0.080081
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,3,0.0184,0.001449,0.04319,0.013056,0.139538,0.076095
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,4,0.021056,0.001651,0.042971,0.014048,0.141528,0.079726
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,5,0.021536,0.001459,0.043949,0.015104,0.143698,0.082048
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,6,0.020608,0.00156,0.0426,0.013088,0.140609,0.077856
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,7,0.013344,0.00152,0.04524,0.012736,0.135828,0.07284
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,8,0.019936,0.001449,0.043309,0.012352,0.139938,0.077046
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,9,0.019136,0.001502,0.043029,0.011488,0.138738,0.075155
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,10,0.020416,0.001459,0.043968,0.016448,0.143728,0.082291
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,11,0.017952,0.00147,0.043199,0.01488,0.140578,0.077501
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,12,0.014304,0.00144,0.043309,0.01248,0.133729,0.071533
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,13,0.020768,0.00148,0.04313,0.012896,0.141368,0.078274
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,14,0.01936,0.00149,0.04391,0.012928,0.140088,0.077688
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,15,0.020096,0.00146,0.043269,0.014336,0.141659,0.079161
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,16,0.012,0.001531,0.043459,0.012064,0.219808,0.069054
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,17,0.018368,0.00144,0.0432,0.014624,0.140908,0.077632
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,18,0.018496,0.00172,0.04313,0.014688,0.141018,0.078034
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,19,0.020608,0.001489,0.043479,0.013376,0.142049,0.078952
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | P | P",64,20,0.023872,0.001499,0.04324,0.014752,0.154708,0.083363
