dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | D | N",64,27,0.237024,0.001621,0.11605,0.023296,0.432335,0.377991
3,double,uniform,CPU,"P | P | P | P | D | N",64,28,0.240864,0.00166,0.116048,0.022688,0.436175,0.38126
3,double,uniform,CPU,"P | P | P | P | D | N",64,29,0.245088,0.00152,0.116539,0.023296,0.443146,0.386443
3,double,uniform,CPU,"P | P | P | P | D | N",64,30,0.245472,0.00152,0.117188,0.023168,0.440865,0.387348
3,double,uniform,CPU,"P | P | P | P | D | N",64,31,0.251808,0.001671,0.116948,0.023904,0.451055,0.394331
3,double,uniform,CPU,"P | P | P | P | D | N",64,32,0.242496,0.00157,0.116009,0.023872,0.438265,0.383947
3,double,uniform,CPU,"P | P | P | P | D | N",64,33,0.24544,0.00168,0.116228,0.020864,0.440605,0.384212
3,double,uniform,CPU,"P | P | P | P | D | N",64,34,0.240704,0.00167,0.117278,0.02544,0.440465,0.385092
3,double,uniform,CPU,"P | P | P | P | D | N",64,35,0.2408,0.001639,0.116328,0.022976,0.438705,0.381743
3,double,uniform,CPU,"P | P | P | P | D | N",64,36,0.240096,0.00165,0.116328,0.022208,0.436245,0.380282
3,double,uniform,CPU,"P | P | P | P | D | N",64,37,0.239936,0.00165,0.116518,0.023424,0.513314,0.381528
3,double,uniform,CPU,"P | P | P | P | D | N",64,38,0.242656,0.00179,0.116077,0.022976,0.437715,0.383499
3,double,uniform,CPU,"P | P | P | P | D | N",64,39,0.245184,0.0016,0.116509,0.02224,0.441155,0.385533
3,double,uniform,CPU,"P | P | P | P | D | N",64,40,0.241536,0.00179,0.116578,0.0232,0.438526,0.383104
3,double,uniform,CPU,"P | P | P | P | D | N",64,41,0.241664,0.001621,0.11641,0.021312,0.436325,0.381007
3,double,uniform,CPU,"P | P | P | P | D | N",64,42,0.247904,0.00161,0.115669,0.024192,0.442786,0.389375
3,double,uniform,CPU,"P | P | P | P | D | N",64,43,0.243392,0.0017,0.115639,0.02432,0.438236,0.385051
