dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,40,0.011712,0,0.0289,0.009216,0.101969,0.049828
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,41,0.02112,0,0.028729,0.009344,0.119329,0.059193
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,42,0.013024,0,0.0293,0.009344,0.105029,0.051668
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,43,0.021088,0,0.028609,0.011968,0.113139,0.061665
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,44,0.019712,0,0.028739,0.010496,0.110729,0.058947
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,45,0.018368,0,0.028839,0.009984,0.109829,0.057191
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,46,0.013376,0,0.02872,0.01136,0.111179,0.053456
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,47,0.019712,0,0.028689,0.008576,0.110079,0.056977
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,48,0.021888,0,0.028629,0.011616,0.113779,0.062133
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,49,0.019552,0,0.02859,0.009088,0.108279,0.05723
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,50,0.0192,0,0.02833,0.009856,0.108798,0.057386
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,51,0.019744,0,0.02834,0.009888,0.110069,0.057972
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,52,0.020672,0,0.02838,0.00992,0.109199,0.058972
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,53,0.021344,0,0.028359,0.011616,0.112249,0.061319
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,54,0.020256,0,0.028509,0.010176,0.116989,0.058941
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,55,0.013632,0,0.02882,0.01088,0.105969,0.053332
