dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"N | D | N | N | N | N",64,0,0.073792,0.00245,0.211358,202.493,202.882,202.781
3,double,uniform,GPU,"N | D | N | N | N | N",64,1,0.013088,0.00154,0.164468,0.019776,0.253737,0.198872
3,double,uniform,GPU,"N | D | N | N | N | N",64,2,0.021088,0.001448,0.159017,0.015936,0.251777,0.197489
3,double,uniform,GPU,"N | D | N | N | N | N",64,3,0.014688,0.001439,0.159539,0.014912,0.244617,0.190578
3,double,uniform,GPU,"N | D | N | N | N | N",64,4,0.020128,0.001459,0.15223,0.016704,0.237277,0.190521
3,double,uniform,GPU,"N | D | N | N | N | N",64,5,0.019712,0.0014,0.159328,0.015648,0.249107,0.196088
3,double,uniform,GPU,"N | D | N | N | N | N",64,6,0.021056,0.00142,0.158789,0.013472,0.249167,0.194737
3,double,uniform,GPU,"N | D | N | N | N | N",64,7,0.020672,0.00154,0.159217,0.014976,0.254067,0.196405
3,double,uniform,GPU,"N | D | N | N | N | N",64,8,0.020352,0.00147,0.158599,0.015616,0.249668,0.196037
3,double,uniform,GPU,"N | D | N | N | N | N",64,9,0.013888,0.001401,0.159619,0.016704,0.246657,0.191612
3,double,uniform,GPU,"N | D | N | N | N | N",64,10,0.017632,0.00157,0.159027,0.016896,0.246997,0.195125
3,double,uniform,GPU,"N | D | N | N | N | N",64,11,0.021408,0.00142,0.159879,0.016288,0.253117,0.198995
3,double,uniform,GPU,"N | D | N | N | N | N",64,12,0.022592,0.00154,0.210958,0.016928,0.306867,0.252018
3,double,uniform,GPU,"N | D | N | N | N | N",64,13,0.020704,0.00146,0.158178,0.016672,0.249797,0.197014
3,double,uniform,GPU,"N | D | N | N | N | N",64,14,0.02144,0.00144,0.159538,0.014368,0.250837,0.196786
3,double,uniform,GPU,"N | D | N | N | N | N",64,15,0.014912,0.00165,0.152428,0.016768,0.233948,0.185758
3,double,uniform,GPU,"N | D | N | N | N | N",64,16,0.02064,0.00144,0.158418,0.015712,0.249677,0.19621
3,double,uniform,GPU,"N | D | N | N | N | N",64,17,0.020704,0.00147,0.159269,0.014528,0.257398,0.195971
3,double,uniform,GPU,"N | D | N | N | N | N",64,18,0.02144,0.001699,0.159877,0.015296,0.253007,0.198312
3,double,uniform,GPU,"N | D | N | N | N | N",64,19,0.019104,0.00142,0.160508,0.01552,0.251497,0.196552
3,double,uniform,GPU,"N | D | N | N | N | N",64,20,0.0144,0.001461,0.158619,0.015072,0.243667,0.189552
3,double,uniform,GPU,"N | D | N | N | N | N",64,21,0.021472,0.001509,0.159088,0.014336,0.251548,0.196405
3,double,uniform,GPU,"N | D | N | N | N | N",64,22,0.017216,0.001509,0.159809,0.015104,0.251447,0.193638
3,double,uniform,GPU,"N | D | N | N | N | N",64,23,0.01424,0.00156,0.159407,0.015104,0.244748,0.190311
3,double,uniform,GPU,"N | D | N | N | N | N",64,24,0.020064,0.00147,0.158718,0.016384,0.251117,0.196636
