dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,56,0.235552,0.00158,0.110799,0.022496,0.426266,0.370427
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,57,0.239936,0.00158,0.107619,0.024896,0.429846,0.374031
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,58,0.23808,0.00177,0.10778,0.023616,0.431355,0.371246
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,59,0.23808,0.00156,0.107539,0.021888,0.424595,0.369067
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,60,0.234144,0.00152,0.10765,0.020768,0.418855,0.364082
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,61,0.23856,0.001579,0.106959,0.020448,0.421166,0.367546
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,62,0.236864,0.00156,0.107979,0.023776,0.426386,0.370179
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,63,0.237664,0.001669,0.10822,0.021312,0.424366,0.368865
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,64,0.237568,0.001571,0.107279,0.022336,0.423386,0.368754
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,65,0.238304,0.00164,0.10823,0.021056,0.424495,0.36923
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,66,0.23472,0.00159,0.10776,0.021664,0.419726,0.365734
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,67,0.241312,0.00171,0.108419,0.021664,0.428346,0.373105
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,68,0.411872,0.00158,0.10789,0.021504,0.599404,0.542846
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,69,0.239168,0.001579,0.107579,0.02416,0.430765,0.372486
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,70,0.238336,0.00149,0.108079,0.02176,0.422805,0.369665
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,71,0.23856,0.001559,0.107498,0.021248,0.424086,0.368865
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,72,0.237056,0.001829,0.101719,0.026272,0.411536,0.366876
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,73,0.240352,0.00162,0.107968,0.02208,0.426536,0.37202
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",64,74,0.237216,0.0016,0.10779,0.01936,0.421045,0.365966
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,0,1.89741,0.00206,0.500745,0.100352,2.57681,2.50057
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,1,1.56896,0.00231,0.502164,0.100224,2.25488,2.17366
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,2,1.53421,0.00178,0.494055,0.0944,2.18541,2.12444
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,3,1.51341,0.00185,0.493374,0.095104,2.1614,2.10374
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,4,1.56294,0.00169,0.493854,0.099584,2.22253,2.15807
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,5,1.54598,0.001859,0.494494,0.093632,2.19665,2.13597
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,6,1.55814,0.00164,0.494135,0.09568,2.20696,2.1496
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,7,1.53782,0.001689,0.493845,0.091872,2.18721,2.12523
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,8,1.61325,0.001779,0.489525,0.095488,2.25894,2.20004
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,9,1.52944,0.00171,0.493735,0.095168,2.18062,2.12005
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,10,1.5417,0.00162,0.495446,0.096768,2.19531,2.13553
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,11,1.54525,0.00169,0.494295,0.093824,2.19679,2.13506
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,12,1.52829,0.0017,0.494055,0.094048,2.17941,2.11809
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,13,1.5385,0.00162,0.494575,0.093472,2.18724,2.12816
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,14,1.54464,0.0018,0.493565,0.094144,2.19117,2.13415
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,15,1.52208,0.00169,0.493814,0.094176,2.1698,2.11176
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,16,1.54765,0.00165,0.494465,0.092384,2.19638,2.13615
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,17,1.62752,0.00163,0.490754,0.095968,2.27107,2.21587
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,18,1.55763,0.00179,0.495195,0.095616,2.20908,2.15023
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,19,1.53667,0.00159,0.493444,0.092608,2.1853,2.12431
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,20,1.55693,0.00174,0.495505,0.094688,2.20783,2.14886
