dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,185.639,0.00298,0.060189,52.425,441.585,238.128
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,0.170496,0.00171,0.02932,0.023488,0.307457,0.225014
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,0.156512,0.00164,0.02343,0.023488,0.277517,0.20507
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,0.147808,0.001638,0.030199,0.022016,0.272477,0.201661
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,0.150496,0.00156,0.02308,0.023392,0.273637,0.198528
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,0.150112,0.0016,0.02303,0.023264,0.272648,0.198006
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,0.149216,0.00161,0.023649,0.022368,0.269307,0.196843
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,0.153536,0.00156,0.02327,0.02272,0.273938,0.201086
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,0.148672,0.001599,0.021369,0.02368,0.259958,0.19532
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,0.147104,0.00156,0.02048,0.0232,0.257698,0.192344
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,0.1528,0.00162,0.02308,0.022976,0.271197,0.200476
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,0.149248,0.00165,0.02337,0.022016,0.269267,0.196284
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,0.14976,0.00156,0.02341,0.024832,0.271757,0.199562
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,0.153792,0.00161,0.02366,0.0248,0.277227,0.203862
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,0.14864,0.00167,0.022929,0.023264,0.269538,0.196503
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,15,0.148672,0.00184,0.021389,0.023456,0.259887,0.195357
3,float,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,16,0.147264,0.00168,0.023149,0.023264,0.266957,0.195357
