dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,28,0.021952,0.0015,0.108209,0.024608,0.218409,0.156269
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,29,0.012,0.001479,0.107078,0.025184,0.208858,0.145741
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,30,0.019584,0.001561,0.189548,0.026432,0.300658,0.237125
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,31,0.020736,0.00147,0.110769,0.021152,0.216928,0.154127
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,32,0.022176,0.00169,0.107999,0.02432,0.219788,0.156185
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,33,0.021344,0.00152,0.107219,0.02496,0.217398,0.155043
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,34,0.015104,0.001729,0.1077,0.02512,0.212308,0.149653
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,35,0.0136,0.001472,0.107279,0.026144,0.211058,0.148495
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,36,0.02176,0.00147,0.107749,0.025088,0.220788,0.156067
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,37,0.012768,0.00156,0.108218,0.025696,0.209879,0.148242
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,38,0.014688,0.00157,0.113629,0.024,0.217059,0.153887
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,39,0.013056,0.001529,0.107519,0.025824,0.212878,0.147928
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,40,0.01984,0.00164,0.106959,0.024512,0.215729,0.152951
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,41,0.020576,0.001489,0.106919,0.024256,0.446037,0.15324
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,42,0.020448,0.00163,0.106279,0.02544,0.216419,0.153797
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,43,0.02176,0.00152,0.107438,0.025984,0.217979,0.156702
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,44,0.012864,0.001509,0.106149,0.02448,0.208798,0.145002
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,45,0.021568,0.00151,0.107038,0.024096,0.216399,0.154212
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,46,0.014528,0.0016,0.181227,0.026112,0.284148,0.223467
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,47,0.020896,0.001541,0.10715,0.026144,0.218578,0.155731
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,48,0.021216,0.00176,0.1071,0.023872,0.214738,0.153948
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,49,0.019936,0.001501,0.106319,0.025344,0.215399,0.1531
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,50,0.020192,0.001461,0.106579,0.023552,0.214978,0.151784
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,51,0.021408,0.00152,0.10627,0.023808,0.216668,0.153006
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,52,0.014176,0.0015,0.107339,0.022176,0.298118,0.145191
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,53,0.021568,0.00155,0.106739,0.024512,0.216569,0.154369
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,54,0.013312,0.00149,0.105489,0.0232,0.203729,0.143491
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,55,0.02032,0.00184,0.106699,0.02208,0.214599,0.150939
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,56,0.02,0.00153,0.106729,0.022784,0.213569,0.151043
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,57,0.011616,0.00179,0.107219,0.024768,0.208578,0.145393
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,58,0.020096,0.001541,0.106198,0.026048,0.215808,0.153883
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,59,0.019776,0.00163,0.10694,0.022912,0.213699,0.151258
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,60,0.014944,0.001509,0.102869,0.026688,0.204479,0.14601
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,61,0.020864,0.001541,0.106578,0.024896,0.216479,0.153879
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,62,0.011776,0.00151,0.106799,0.022752,0.206649,0.142837
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,63,0.021632,0.00161,0.107228,0.025088,0.309528,0.155558
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,64,0.020672,0.001481,0.106819,0.023584,0.215498,0.152556
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,65,0.020704,0.00166,0.099589,0.02848,0.204619,0.150433
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,66,0.018528,0.00158,0.100699,0.025216,0.205879,0.146023
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,67,0.02064,0.00147,0.10644,0.024672,0.216819,0.153222
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,68,0.019904,0.001511,0.107598,0.022816,0.213718,0.151829
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,69,0.020864,0.00151,0.106419,0.024544,0.216509,0.153337
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,70,0.020416,0.00144,0.106938,0.023968,0.214798,0.152762
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,71,0.021856,0.00159,0.10775,0.025376,0.218899,0.156572
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,72,0.013056,0.00155,0.10171,0.026304,0.196489,0.14262
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,73,0.021216,0.00173,0.106689,0.022688,0.213949,0.152323
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",64,74,0.013216,0.001509,0.10702,0.02512,0.208878,0.146865
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,0,0.040416,0.00182,0.494316,0.101856,0.710905,0.638408
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,1,0.02976,0.0016,0.490277,0.097504,0.683755,0.619141
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,2,0.029664,0.00176,0.488197,0.096672,0.680985,0.616293
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,3,0.030272,0.001661,0.483907,0.098528,0.674165,0.614368
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,4,0.029248,0.00144,0.488366,0.097696,0.681725,0.61675
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,5,0.029088,0.001661,0.488106,0.096384,0.679276,0.615239
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,6,0.027872,0.001451,0.486646,0.09824,0.677765,0.614209
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,7,0.028,0.001479,0.486837,0.096096,0.676145,0.612412
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,8,0.030144,0.001619,0.488137,0.095712,0.679925,0.615612
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,9,0.030144,0.00172,0.487517,0.096,0.678566,0.615381
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,10,0.027744,0.00148,0.486637,0.095456,0.680536,0.611317
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,11,0.030144,0.00145,0.486318,0.096192,0.677346,0.614104
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,12,0.028896,0.001631,0.488277,0.097056,0.679315,0.61586
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,13,0.029344,0.001541,0.486377,0.097344,0.677305,0.614606
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,14,0.027776,0.00148,0.487387,0.098208,0.680176,0.614851
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,15,0.029184,0.00151,0.486537,0.0952,0.676896,0.612431
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,16,0.028512,0.001641,0.486997,0.096,0.677315,0.61315
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,17,0.028608,0.001529,0.486816,0.096416,0.677096,0.613369
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,18,0.029056,0.0015,0.487316,0.094432,0.679585,0.612304
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,19,0.029376,0.0018,0.488127,0.096608,0.678716,0.615911
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,20,0.028416,0.0015,0.486176,0.096832,0.678475,0.612924
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,21,0.030432,0.00144,0.487337,0.096032,0.680826,0.615241
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,22,0.043072,0.001891,0.495737,0.10608,0.713715,0.64678
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,23,0.0448,0.0021,0.489516,0.106432,0.699955,0.642848
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,24,0.028928,0.00165,0.487756,0.096096,0.680015,0.61443
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,25,0.029856,0.00149,0.487047,0.097952,0.709955,0.616345
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,26,0.027168,0.00156,0.481288,0.097792,0.666496,0.607808
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,27,0.029312,0.00149,0.486446,0.09488,0.675365,0.612128
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,28,0.0272,0.00148,0.487786,0.094592,0.674625,0.611058
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,29,0.028384,0.001589,0.487687,0.096864,0.678165,0.614524
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,30,0.033152,0.0017,0.487188,0.097056,0.668485,0.619096
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,31,0.02944,0.00149,0.487546,0.096352,0.680066,0.614828
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,32,0.02928,0.00143,0.486027,0.09456,0.675776,0.611297
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,33,0.029088,0.00156,0.487108,0.0984,0.678845,0.616156
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,34,0.030592,0.00165,0.486587,0.096896,0.680685,0.615725
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,35,0.028992,0.0015,0.479667,0.099488,0.665805,0.609647
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,36,0.029728,0.00159,0.487377,0.095808,0.678776,0.614503
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,37,0.029024,0.00141,0.486318,0.09728,0.677535,0.614032
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,38,0.029312,0.00151,0.487657,0.096448,0.677375,0.614927
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,39,0.02992,0.00171,0.496116,0.095232,0.689165,0.622978
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,40,0.029088,0.001661,0.488917,0.097824,0.680696,0.61749
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,41,0.028928,0.00147,0.520516,0.096864,0.711425,0.647778
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,42,0.028736,0.001499,0.487098,0.095168,0.676406,0.612501
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,43,0.036704,0.0015,0.485118,0.098112,0.697515,0.621434
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,44,0.029632,0.001628,0.487847,0.130752,0.713255,0.649859
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,45,0.0288,0.00165,0.486986,0.094816,0.676825,0.612252
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,46,0.042336,0.00195,0.496976,0.105184,0.711995,0.646446
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,47,0.03472,0.001509,0.485946,0.0968,0.688475,0.618975
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,48,0.028256,0.0015,0.487687,0.096992,0.676605,0.614435
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,49,0.028576,0.00169,0.487887,0.096384,0.678476,0.614537
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,50,0.029024,0.001729,0.488457,0.097376,0.679905,0.616586
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,51,0.029088,0.00153,0.487207,0.094944,0.677006,0.612769
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,52,0.028544,0.001549,0.486967,0.094208,0.678465,0.611268
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,53,0.029568,0.001739,0.497987,0.095808,0.688636,0.625102
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,54,0.02912,0.001611,0.486476,0.095904,0.676106,0.613111
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,55,0.027712,0.00158,0.486516,0.095712,0.677035,0.61152
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,56,0.027168,0.001431,0.486207,0.096096,0.676645,0.610902
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,57,0.048096,0.001851,0.496427,0.102784,0.713015,0.649158
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,58,0.027648,0.00155,0.483198,0.097408,0.670626,0.609804
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,59,0.02976,0.00149,0.487517,0.095136,0.678686,0.613903
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,60,0.029216,0.00163,0.485126,0.096544,0.745925,0.612516
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,61,0.028704,0.00179,0.487596,0.095488,0.678136,0.613578
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,62,0.030048,0.001531,0.486146,0.09664,0.679766,0.614365
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,63,0.0304,0.00148,0.484696,0.096512,0.675025,0.613088
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,64,0.031296,0.00142,0.487637,0.096736,0.680886,0.617089
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,65,0.026592,0.001621,0.487566,0.09552,0.675455,0.611299
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,66,0.115264,0.001759,0.486567,0.096032,0.763315,0.699622
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,67,0.043744,0.001921,0.495876,0.102272,0.708565,0.643813
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,68,0.044672,0.00186,0.495646,0.103712,0.709075,0.64589
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,69,0.029952,0.001529,0.486547,0.097824,0.680485,0.615852
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,70,0.027488,0.001551,0.486757,0.095072,0.675605,0.610868
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,71,0.02976,0.00185,0.487046,0.095904,0.726355,0.61456
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,72,0.071264,0.0015,0.487126,0.096832,0.719895,0.656722
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,73,0.044,0.00189,0.491387,0.104352,0.703245,0.641629
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",128,74,0.028192,0.00161,0.486737,0.096096,0.676985,0.612635
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,0,0.110976,0.00202,1.53928,0.336512,2.05371,1.98879
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,1,0.128928,0.002219,1.54917,0.337856,2.08625,2.01817
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,2,0.110496,0.00179,1.53981,0.338912,2.05471,1.99101
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,3,0.11088,0.0019,1.5431,0.336192,2.05801,1.99207
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,4,0.121856,0.001929,1.5411,0.338144,2.06943,2.00303
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,5,0.112608,0.002029,1.5369,0.334336,2.05072,1.98587
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,6,0.10944,0.00174,1.5366,0.332064,2.04539,1.97984
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,7,0.113824,0.001859,1.54537,0.337824,2.06479,1.99888
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,8,0.127968,0.00197,1.54602,0.337824,2.07679,2.01378
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,9,0.111584,0.002099,1.54631,0.338336,2.06517,1.99833
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,10,0.110016,0.001873,1.54747,0.333056,2.05639,1.99241
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,11,0.127104,0.00209,1.54786,0.339328,2.0821,2.01638
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,12,0.111616,0.00207,1.53569,0.33344,2.04803,1.98282
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,13,0.11184,0.001809,1.54732,0.334528,2.06084,1.9955
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,14,0.111264,0.00165,1.54627,0.336192,2.06164,1.99538
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,15,0.11392,0.00187,1.53615,0.33456,2.05292,1.9865
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,16,0.118624,0.0019,1.53965,0.334656,2.06117,1.99483
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,17,0.115072,0.00163,1.53282,0.335104,2.04615,1.98462
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,18,0.113216,0.00199,1.5384,0.334752,2.05489,1.98836
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,19,0.117568,0.00192,1.54803,0.338272,2.07175,2.00579
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,20,0.111744,0.0022,1.53695,0.3352,2.05049,1.98609
