dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"P | P",64,58,0.0216,0,0.018,0.014496,0.098668,0.054096
1,float,uniform,CPU,"P | P",64,59,0.01856,0,0.01749,0.016064,0.098209,0.052114
1,float,uniform,CPU,"P | P",64,60,0.020224,0,0.02007,0.0168,0.103619,0.057094
1,float,uniform,CPU,"P | P",64,61,0.0184,0,0.01753,0.014272,0.094139,0.050202
1,float,uniform,CPU,"P | P",64,62,0.02208,0,0.017361,0.014976,0.104279,0.054417
1,float,uniform,CPU,"P | P",64,63,0.018144,0,0.01743,0.013632,0.095079,0.049206
1,float,uniform,CPU,"P | P",64,64,0.018304,0,0.017369,0.015744,0.096749,0.051417
1,float,uniform,CPU,"P | P",64,65,0.020832,0,0.01749,0.016512,0.101549,0.054834
1,float,uniform,CPU,"P | P",64,66,0.020768,0,0.01771,0.01552,0.099658,0.053998
1,float,uniform,CPU,"P | P",64,67,0.019488,0,0.01723,0.014624,0.094479,0.051342
1,float,uniform,CPU,"P | P",64,68,0.020064,0,0.01754,0.01728,0.100049,0.054884
1,float,uniform,CPU,"P | P",64,69,0.018912,0,0.0175,0.015296,0.095279,0.051708
1,float,uniform,CPU,"P | P",64,70,0.018592,0,0.01731,0.013728,0.094819,0.04963
1,float,uniform,CPU,"P | P",64,71,0.026816,0,0.01738,0.015104,0.101509,0.0593
1,float,uniform,CPU,"P | P",64,72,0.025696,0,0.017329,0.0136,0.098699,0.056625
1,float,uniform,CPU,"P | P",64,73,0.018592,0,0.017219,0.0144,0.100319,0.050211
1,float,uniform,CPU,"P | P",64,74,0.01968,0,0.01742,0.01392,0.095039,0.05102
1,float,uniform,CPU,"P | P",128,0,0.02608,0,0.02189,0.028736,0.130889,0.076706
1,float,uniform,CPU,"P | P",128,1,0.022848,0,0.01895,0.01872,0.108469,0.060518
1,float,uniform,CPU,"P | P",128,2,0.020832,0,0.01812,0.01664,0.104588,0.055592
1,float,uniform,CPU,"P | P",128,3,0.02048,0,0.01794,0.014368,0.097019,0.052788
1,float,uniform,CPU,"P | P",128,4,0.020128,0,0.017959,0.015328,0.097259,0.053415
1,float,uniform,CPU,"P | P",128,5,0.021312,0,0.0174,0.016448,0.099429,0.05516
1,float,uniform,CPU,"P | P",128,6,0.019136,0,0.01735,0.014112,0.095649,0.050598
1,float,uniform,CPU,"P | P",128,7,0.01984,0,0.01756,0.013504,0.095309,0.050904
1,float,uniform,CPU,"P | P",128,8,0.019712,0,0.01745,0.01584,0.099979,0.053002
1,float,uniform,CPU,"P | P",128,9,0.019936,0,0.01804,0.016192,0.101079,0.054168
1,float,uniform,CPU,"P | P",128,10,0.018944,0,0.017289,0.0168,0.098849,0.053033
1,float,uniform,CPU,"P | P",128,11,0.019456,0,0.01446,0.01408,0.084509,0.047996
1,float,uniform,CPU,"P | P",128,12,0.018656,0,0.017309,0.016704,0.099479,0.052669
1,float,uniform,CPU,"P | P",128,13,0.018176,0,0.01783,0.015808,0.096829,0.051814
1,float,uniform,CPU,"P | P",128,14,0.020256,0,0.017381,0.014688,0.097379,0.052325
1,float,uniform,CPU,"P | P",128,15,0.019872,0,0.01748,0.01424,0.094039,0.051592
1,float,uniform,CPU,"P | P",128,16,0.02528,0,0.01788,0.016192,0.105239,0.059352
1,float,uniform,CPU,"P | P",128,17,0.020352,0,0.017549,0.015008,0.098529,0.052909
