dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,0,184.48,0,0.05506,52.0602,236.695,236.595
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,1,0.008896,0,0.03359,0.009632,0.105739,0.052118
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,2,0.013504,0,0.02726,0.008896,0.102388,0.04966
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,3,0.012832,0,0.027069,0.009312,0.103089,0.049213
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,4,0.015552,0,0.027719,0.008352,0.103319,0.051623
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,5,0.014336,0,0.02729,0.007232,0.102749,0.048858
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,6,0.013504,0,0.02781,0.009408,0.103709,0.050722
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,7,0.013632,0,0.02688,0.008224,0.10277,0.048736
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,8,0.01296,0,0.02726,0.0096,0.103049,0.04982
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,9,0.0168,0,0.027839,0.008864,0.105219,0.053503
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,10,0.016928,0,0.02484,0.01136,0.098819,0.053128
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,11,0.01584,0,0.02703,0.008128,0.104979,0.050998
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,12,0.015072,0,0.02836,0.009408,0.106128,0.05284
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,13,0.014752,0,0.0273,0.007968,0.103579,0.05002
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,14,0.013984,0,0.027608,0.009024,0.102159,0.050616
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,15,0.009216,0,0.02784,0.0072,0.096588,0.044256
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,16,0.013024,0,0.02763,0.010304,0.104129,0.050958
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,17,0.0136,0,0.0304,0.00784,0.105469,0.05184
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,18,0.01472,0,0.027778,0.008384,0.103699,0.050882
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,19,0.016,0,0.02747,0.008,0.104549,0.05147
3,float,uniform,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",64,20,0.015072,0,0.027278,0.009024,0.103219,0.051374
