dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,29,0.017664,0.00148,0.049319,0.007936,0.131329,0.076399
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,30,0.017952,0.00143,0.042979,0.00832,0.124538,0.070681
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,31,0.019584,0.001409,0.041959,0.008288,0.126169,0.07124
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,32,0.0192,0.001459,0.04367,0.011296,0.129968,0.075625
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,33,0.01936,0.00147,0.04256,0.008256,0.127208,0.071646
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,34,0.020288,0.001441,0.04364,0.008576,0.274767,0.073945
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,35,0.018144,0.001601,0.042199,0.009344,0.126918,0.071288
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,36,0.018304,0.001439,0.043349,0.009248,0.125738,0.07234
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,37,0.019072,0.00155,0.04242,0.008128,0.126529,0.07117
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,38,0.01008,0.001551,0.042809,0.00832,0.118008,0.06276
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,39,0.018624,0.00144,0.04219,0.010272,0.127599,0.072526
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,40,0.017504,0.00152,0.0432,0.011744,0.128128,0.073968
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,41,0.012288,0.00149,0.043149,0.010144,0.114769,0.067071
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,42,0.012384,0.001481,0.043459,0.008192,0.123088,0.065516
