dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,0,0.193504,0,0.090228,200.529,200.912,200.813
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,1,0.15504,0,0.03817,0.012672,0.250317,0.205882
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,2,0.143232,0,0.03145,0.0088,0.224507,0.183482
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,3,0.145728,0,0.03317,0.00896,0.227868,0.187858
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,4,0.145024,0,0.031839,0.011104,0.228637,0.187967
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,5,0.151968,0,0.0317,0.010016,0.234408,0.193684
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,6,0.144224,0,0.032429,0.008608,0.228217,0.185261
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,7,0.143808,0,0.03156,0.009376,0.225577,0.184744
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,8,0.142816,0,0.031799,0.008896,0.224868,0.183511
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,9,0.140832,0,0.03183,0.008256,0.223058,0.180918
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,10,0.14112,0,0.031629,0.008896,0.221458,0.181645
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,11,0.1408,0,0.03247,0.00976,0.223378,0.18303
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,12,0.142624,0,0.03086,0.00848,0.223448,0.181964
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,13,0.15104,0,0.03211,0.009984,0.235187,0.193134
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,14,0.145472,0,0.032809,0.00896,0.227147,0.187241
