dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,23,0.009568,0.001679,0.108029,0.023168,0.205048,0.142444
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,24,0.01552,0.001551,0.107289,0.02112,0.207858,0.14548
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,25,0.00976,0.001501,0.10788,0.024064,0.206087,0.143205
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,26,0.009664,0.00148,0.10845,0.022304,0.203577,0.141898
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,27,0.016416,0.00146,0.10842,0.022368,0.211988,0.148664
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,28,0.009568,0.00154,0.107989,0.023168,0.204568,0.142265
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,29,0.013984,0.0015,0.10854,0.022848,0.210097,0.146872
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,30,0.016544,0.00156,0.105089,0.023744,0.207058,0.146937
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,31,0.015264,0.00156,0.108869,0.022496,0.210078,0.148189
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,32,0.016896,0.0015,0.108158,0.021024,0.210197,0.147578
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,33,0.016128,0.00148,0.107869,0.02448,0.212698,0.149957
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,34,0.01616,0.00158,0.10815,0.020416,0.208678,0.146306
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,35,0.014592,0.00157,0.107768,0.022048,0.208038,0.145978
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,36,0.017024,0.001771,0.108868,0.022048,0.212358,0.149711
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,37,0.016416,0.00156,0.108739,0.024736,0.213247,0.151451
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,38,0.018656,0.001591,0.10868,0.023424,0.215258,0.152351
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,39,0.015872,0.00159,0.111269,0.024096,0.217958,0.152827
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,40,0.009568,0.00155,0.107928,0.021856,0.206238,0.140902
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,41,0.016384,0.001591,0.1085,0.021888,0.210598,0.148363
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,42,0.014944,0.00159,0.107439,0.021408,0.209467,0.145381
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,43,0.014208,0.001501,0.107109,0.023328,0.209418,0.146146
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,44,0.017216,0.00158,0.107519,0.0208,0.210418,0.147115
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,45,0.009408,0.00152,0.107869,0.023776,0.205377,0.142573
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,46,0.015168,0.001699,0.107079,0.023328,0.211128,0.147274
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,47,0.015104,0.00155,0.108129,0.020832,0.208098,0.145615
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,48,0.017088,0.00154,0.107409,0.021408,0.210438,0.147445
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,49,0.014496,0.001531,0.106997,0.02128,0.207738,0.144304
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,50,0.009184,0.00158,0.107619,0.022336,0.204418,0.140719
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,51,0.008736,0.00156,0.10793,0.026688,0.208228,0.144914
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,52,0.013984,0.001551,0.10807,0.023712,0.209978,0.147317
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,53,0.015552,0.001509,0.10719,0.024672,0.211098,0.148923
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,54,0.015712,0.001539,0.107688,0.0216,0.209887,0.146539
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,55,0.016032,0.001509,0.107519,0.0216,0.209208,0.14666
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,56,0.014624,0.00152,0.114689,0.023776,0.219058,0.154609
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,57,0.01728,0.001481,0.107309,0.022976,0.212028,0.149046
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,58,0.01584,0.001481,0.107328,0.021664,0.209497,0.146313
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,59,0.015744,0.00151,0.103598,0.025664,0.212278,0.146516
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,60,0.01664,0.001551,0.104258,0.025472,0.206578,0.147921
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,61,0.01472,0.0019,0.108579,0.021504,0.209528,0.146703
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,62,0.01584,0.001529,0.297157,0.023552,0.400816,0.338078
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,63,0.01648,0.00154,0.107759,0.022528,0.210828,0.148307
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,64,0.0152,0.001581,0.108228,0.023744,0.211548,0.148753
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,65,0.009248,0.00149,0.10791,0.022528,0.204148,0.141176
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,66,0.01776,0.00154,0.10241,0.025728,0.202538,0.147438
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,67,0.015776,0.00162,0.107629,0.02128,0.209468,0.146305
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,68,0.015424,0.00147,0.10693,0.023008,0.209808,0.146832
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,69,0.01552,0.00158,0.107309,0.020064,0.208488,0.144473
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,70,0.015872,0.001449,0.108009,0.026432,0.215278,0.151762
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,71,0.015776,0.0017,0.108498,0.021856,0.212158,0.14783
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,72,0.015712,0.00151,0.100688,0.02736,0.199418,0.14527
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,73,0.01696,0.00146,0.10712,0.023872,0.211378,0.149412
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",64,74,0.014752,0.00157,0.107189,0.023872,0.218078,0.147383
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,0,0.037568,0.001989,0.498565,0.098688,0.702142,0.63681
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,1,0.02032,0.00165,0.494924,0.094752,0.676173,0.611646
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,2,0.019776,0.00167,0.494045,0.09376,0.674663,0.609251
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,3,0.01952,0.001591,0.493336,0.093056,0.744972,0.607503
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,4,0.020352,0.00161,0.493824,0.095424,0.674973,0.61121
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,5,0.03936,0.00233,0.501174,0.100512,0.709642,0.643376
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,6,0.039808,0.00215,0.499814,0.100448,0.703412,0.64222
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,7,0.019584,0.001621,0.493395,0.09584,0.671453,0.61044
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,8,0.022048,0.001621,0.494646,0.092928,0.680613,0.611243
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,9,0.019936,0.00169,0.495024,0.096992,0.677463,0.613642
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,10,0.021056,0.00188,0.489924,0.09616,0.667723,0.60902
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,11,0.030176,0.002019,0.500024,0.098368,0.694163,0.630587
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,12,0.020992,0.00172,0.495835,0.099328,0.683763,0.617875
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,13,0.020416,0.00156,0.522024,0.096,0.702242,0.64
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,14,0.021824,0.0017,0.492914,0.093216,0.674642,0.609654
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,15,0.018528,0.00157,0.494616,0.09312,0.673653,0.607834
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,16,0.02048,0.00168,0.494155,0.093504,0.674513,0.609819
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,17,0.02256,0.001551,0.494925,0.09344,0.675892,0.612476
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,18,0.021664,0.00178,0.494295,0.092928,0.676113,0.610667
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,19,0.019232,0.00164,0.491464,0.096064,0.667173,0.6084
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,20,0.038368,0.00223,0.501546,0.1,0.706803,0.642144
