dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"N | N",64,56,0.03088,0,0.02951,0.007008,0.106499,0.067398
1,double,uniform,CPU,"N | N",64,57,0.027488,0,0.028899,0.005952,0.101799,0.062339
1,double,uniform,CPU,"N | N",64,58,0.030368,0,0.028869,0.009184,0.107659,0.068421
1,double,uniform,CPU,"N | N",64,59,0.039104,0,0.028849,0.008544,0.116409,0.076497
1,double,uniform,CPU,"N | N",64,60,0.029088,0,0.02938,0.008672,0.106928,0.06714
1,double,uniform,CPU,"N | N",64,61,0.029312,0,0.028879,0.00576,0.102899,0.063951
1,double,uniform,CPU,"N | N",64,62,0.029504,0,0.02881,0.009408,0.105948,0.067722
1,double,uniform,CPU,"N | N",64,63,0.03168,0,0.02883,0.006976,0.10708,0.067486
1,double,uniform,CPU,"N | N",64,64,0.030464,0,0.02931,0.00784,0.111639,0.067614
1,double,uniform,CPU,"N | N",64,65,0.030432,0,0.02865,0.006976,0.105349,0.066058
1,double,uniform,CPU,"N | N",64,66,0.030624,0,0.02953,0.005984,0.104269,0.066138
1,double,uniform,CPU,"N | N",64,67,0.029408,0,0.02935,0.00704,0.104019,0.065798
1,double,uniform,CPU,"N | N",64,68,0.029312,0,0.028869,0.006752,0.110969,0.064933
1,double,uniform,CPU,"N | N",64,69,0.02944,0,0.02872,0.007584,0.105119,0.065744
1,double,uniform,CPU,"N | N",64,70,0.035168,0,0.029339,0.008384,0.113199,0.072891
1,double,uniform,CPU,"N | N",64,71,0.032064,0,0.02933,0.00928,0.110769,0.070674
1,double,uniform,CPU,"N | N",64,72,0.029984,0,0.02881,0.0096,0.10653,0.068394
1,double,uniform,CPU,"N | N",64,73,0.02896,0,0.0287,0.0056,0.102089,0.06326
1,double,uniform,CPU,"N | N",64,74,0.0296,0,0.028751,0.006944,0.103289,0.065295
1,double,uniform,CPU,"N | N",128,0,0.05408,0,0.0865,0.010144,0.202758,0.150724
1,double,uniform,CPU,"N | N",128,1,0.029408,0,0.082589,0.005888,0.159369,0.117885
1,double,uniform,CPU,"N | N",128,2,0.029088,0,0.082569,0.006688,0.159248,0.118345
1,double,uniform,CPU,"N | N",128,3,0.030208,0,0.08222,0.007712,0.161928,0.12014
1,double,uniform,CPU,"N | N",128,4,0.029472,0,0.082309,0.006176,0.156399,0.117957
1,double,uniform,CPU,"N | N",128,5,0.029216,0,0.082269,0.00704,0.159999,0.118525
1,double,uniform,CPU,"N | N",128,6,0.028832,0,0.082379,0.008,0.160829,0.119211
1,double,uniform,CPU,"N | N",128,7,0.030688,0,0.082549,0.00784,0.161588,0.121077
1,double,uniform,CPU,"N | N",128,8,0.027936,0,0.08283,0.007744,0.159719,0.11851
1,double,uniform,CPU,"N | N",128,9,0.02912,0,0.0821,0.007424,0.158719,0.118644
1,double,uniform,CPU,"N | N",128,10,0.02816,0,0.078639,0.008864,0.148599,0.115663
1,double,uniform,CPU,"N | N",128,11,0.0304,0,0.08798,0.007136,0.167058,0.125516
1,double,uniform,CPU,"N | N",128,12,0.031328,0,0.082499,0.007136,0.161999,0.120963
1,double,uniform,CPU,"N | N",128,13,0.030624,0,0.083399,0.007584,0.162718,0.121607
1,double,uniform,CPU,"N | N",128,14,0.030048,0,0.082709,0.005888,0.159008,0.118645
1,double,uniform,CPU,"N | N",128,15,0.02992,0,0.082229,0.008128,0.161748,0.120277
1,double,uniform,CPU,"N | N",128,16,0.030848,0,0.08315,0.006688,0.164739,0.120686
1,double,uniform,CPU,"N | N",128,17,0.030368,0,0.082279,0.00704,0.159998,0.119687
1,double,uniform,CPU,"N | N",128,18,0.031904,0,0.082559,0.007392,0.163578,0.121855
1,double,uniform,CPU,"N | N",128,19,0.028064,0,0.082479,0.007968,0.159488,0.118511
1,double,uniform,CPU,"N | N",128,20,0.030912,0,0.082659,0.007616,0.163529,0.121187
1,double,uniform,CPU,"N | N",128,21,0.028128,0,0.08257,0.007104,0.160348,0.117802
1,double,uniform,CPU,"N | N",128,22,0.0312,0,0.08295,0.007136,0.162609,0.121286
1,double,uniform,CPU,"N | N",128,23,0.030784,0,0.082349,0.008,0.161728,0.121133
1,double,uniform,CPU,"N | N",128,24,0.030848,0,0.082529,0.007264,0.162049,0.120641
1,double,uniform,CPU,"N | N",128,25,0.029856,0,0.08304,0.008288,0.169869,0.121184
1,double,uniform,CPU,"N | N",128,26,0.030464,0,0.083359,0.0064,0.161679,0.120223
1,double,uniform,CPU,"N | N",128,27,0.028864,0,0.08252,0.00752,0.159199,0.118904
1,double,uniform,CPU,"N | N",128,28,0.027648,0,0.07936,0.00848,0.147998,0.115488
1,double,uniform,CPU,"N | N",128,29,0.034464,0,0.08314,0.007936,0.163928,0.12554
1,double,uniform,CPU,"N | N",128,30,0.033664,0,0.082439,0.008224,0.163349,0.124327
1,double,uniform,CPU,"N | N",128,31,0.031296,0,0.08252,0.007488,0.162878,0.121304
1,double,uniform,CPU,"N | N",128,32,0.03024,0,0.08249,0.006912,0.158979,0.119642
1,double,uniform,CPU,"N | N",128,33,0.03072,0,0.082799,0.00736,0.163069,0.120879
1,double,uniform,CPU,"N | N",128,34,0.029472,0,0.082469,0.006976,0.159248,0.118917
1,double,uniform,CPU,"N | N",128,35,0.032256,0,0.08234,0.006368,0.160489,0.120964
1,double,uniform,CPU,"N | N",128,36,0.02832,0,0.082549,0.006016,0.158989,0.116885
1,double,uniform,CPU,"N | N",128,37,0.0288,0,0.08251,0.007264,0.161578,0.118574
1,double,uniform,CPU,"N | N",128,38,0.030976,0,0.082209,0.007776,0.162368,0.120961
1,double,uniform,CPU,"N | N",128,39,0.030176,0,0.083289,0.007776,0.161558,0.121241
1,double,uniform,CPU,"N | N",128,40,0.031456,0,0.082949,0.009536,0.165039,0.123941
1,double,uniform,CPU,"N | N",128,41,0.029824,0,0.08286,0.006848,0.159889,0.119532
1,double,uniform,CPU,"N | N",128,42,0.029664,0,0.082629,0.007712,0.161768,0.120005
1,double,uniform,CPU,"N | N",128,43,0.032256,0,0.082459,0.00768,0.162198,0.122395
1,double,uniform,CPU,"N | N",128,44,0.03376,0,0.082629,0.007616,0.165128,0.124005
1,double,uniform,CPU,"N | N",128,45,0.030752,0,0.082549,0.007776,0.161309,0.121077
1,double,uniform,CPU,"N | N",128,46,0.031264,0,0.082739,0.0136,0.168168,0.127603
1,double,uniform,CPU,"N | N",128,47,0.031328,0,0.082779,0.007328,0.157429,0.121435
1,double,uniform,CPU,"N | N",128,48,0.032256,0,0.082249,0.005792,0.160228,0.120297
1,double,uniform,CPU,"N | N",128,49,0.032224,0,0.082349,0.007936,0.164378,0.122509
1,double,uniform,CPU,"N | N",128,50,0.027808,0,0.083059,0.005664,0.156688,0.116531
1,double,uniform,CPU,"N | N",128,51,0.03136,0,0.082429,0.007136,0.159479,0.120925
1,double,uniform,CPU,"N | N",128,52,0.02784,0,0.082699,0.005728,0.156368,0.116267
1,double,uniform,CPU,"N | N",128,53,0.028736,0,0.082069,0.007456,0.159388,0.118261
1,double,uniform,CPU,"N | N",128,54,0.03008,0,0.082629,0.00752,0.159878,0.120229
1,double,uniform,CPU,"N | N",128,55,0.030496,0,0.082689,0.007776,0.163949,0.120961
1,double,uniform,CPU,"N | N",128,56,0.030112,0,0.082579,0.007264,0.160049,0.119955
1,double,uniform,CPU,"N | N",128,57,0.035296,0,0.082599,0.007456,0.166608,0.125351
1,double,uniform,CPU,"N | N",128,58,0.029664,0,0.0824,0.006688,0.158939,0.118752
1,double,uniform,CPU,"N | N",128,59,0.03328,0,0.08236,0.00736,0.162278,0.123
1,double,uniform,CPU,"N | N",128,60,0.030432,0,0.082839,0.00736,0.160259,0.120631
1,double,uniform,CPU,"N | N",128,61,0.029376,0,0.08211,0.005728,0.157039,0.117214
