dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",64,0,0.076896,0.003159,0.0879,210.639,210.915,210.807
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",64,1,0.013056,0.00162,0.04508,0.016768,0.142989,0.076524
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",64,2,0.012384,0.00158,0.04236,0.014112,0.131249,0.070436
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",64,3,0.020704,0.00158,0.042269,0.013824,0.139969,0.078377
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",64,4,0.019616,0.0016,0.043119,0.015808,0.141479,0.080143
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",64,5,0.020704,0.00149,0.04298,0.01568,0.141958,0.080854
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",64,6,0.01136,0.00145,0.042409,0.013568,0.130578,0.068787
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",64,7,0.018816,0.001449,0.041849,0.01408,0.137628,0.076194
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",64,8,0.014176,0.00149,0.04147,0.015392,0.133078,0.072528
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",64,9,0.019328,0.00155,0.04245,0.013504,0.138848,0.076832
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",64,10,0.021408,0.00154,0.04225,0.014176,0.140928,0.079374
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",64,11,0.013952,0.001591,0.042669,0.01664,0.142958,0.074852
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",64,12,0.018112,0.0015,0.04203,0.014208,0.136599,0.07585
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",64,13,0.018592,0.001451,0.04236,0.016992,0.139899,0.079395
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",64,14,0.020352,0.00175,0.036279,0.016416,0.127478,0.074797
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",64,15,0.017984,0.00163,0.04286,0.013472,0.138298,0.075946
3,float,uniform,GPU,"Ns | Ns | P | P | P | P",64,16,0.020896,0.00149,0.127339,0.014112,0.226838,0.163837
