dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,19,0.01808,0.001541,0.097389,0.026144,0.195488,0.143154
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,20,0.01392,0.00135,0.103968,0.023872,0.204568,0.14311
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,21,0.020256,0.001549,0.10302,0.021216,0.207598,0.146041
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,22,0.0216,0.00159,0.104199,0.021568,0.211478,0.148957
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,23,0.021024,0.001379,0.10337,0.024448,0.210938,0.150221
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,24,0.01424,0.00151,0.10387,0.021728,0.203968,0.141348
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,25,0.012064,0.00145,0.10303,0.025312,0.202297,0.141856
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,26,0.021376,0.001401,0.109458,0.023936,0.218407,0.156171
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,27,0.021152,0.00146,0.103799,0.022688,0.211428,0.149099
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,28,0.021728,0.00145,0.103328,0.022976,0.211628,0.149482
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,29,0.021472,0.00147,0.103929,0.024256,0.211527,0.151127
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,30,0.01424,0.00153,0.104079,0.020416,0.203047,0.140265
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,31,0.021472,0.00149,0.107699,0.024288,0.216648,0.154949
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,32,0.020736,0.00145,0.103108,0.111968,0.298717,0.237262
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,33,0.021664,0.00151,0.10365,0.023328,0.212777,0.150152
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,34,0.020896,0.0014,0.103368,0.021344,0.208998,0.147008
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,35,0.014112,0.00151,0.103578,0.024544,0.205888,0.143744
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,36,0.014432,0.00153,0.104178,0.022624,0.204298,0.142764
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,37,0.012416,0.00149,0.10332,0.02224,0.200737,0.139466
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,38,0.0144,0.00169,0.104389,0.022112,0.204707,0.142591
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,39,0.020096,0.00149,0.103328,0.022016,0.212048,0.14693
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,40,0.020384,0.001401,0.103049,0.022816,0.208747,0.14765
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,41,0.020224,0.00138,0.103318,0.023648,0.210838,0.14857
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,42,0.013824,0.00146,0.103019,0.025344,0.203968,0.143647
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,43,0.01968,0.00144,0.103018,0.020864,0.211668,0.145002
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,44,0.019616,0.001611,0.10344,0.025696,0.211278,0.150363
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,45,0.021152,0.00152,0.103308,0.021728,0.209498,0.147708
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,46,0.017152,0.001589,0.103058,0.020256,0.430205,0.142055
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,47,0.020288,0.00155,0.103039,0.023584,0.210178,0.148461
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,48,0.021216,0.00144,0.102969,0.021504,0.208597,0.147129
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,49,0.02112,0.00144,0.103089,0.020288,0.208457,0.145937
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,50,0.015328,0.00154,0.09795,0.02544,0.195568,0.140258
