dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,49,0.140032,0.00165,0.04731,0.014592,0.254847,0.203584
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,50,0.142688,0.00158,0.045999,0.015488,0.256687,0.205755
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,51,0.143552,0.00167,0.04762,0.0136,0.258387,0.206442
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,52,0.140288,0.00163,0.04542,0.013952,0.251897,0.20129
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,53,0.139488,0.00167,0.04641,0.014176,0.453944,0.201744
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,54,0.140032,0.00153,0.046449,0.01296,0.251917,0.200971
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,55,0.140832,0.00153,0.045379,0.012576,0.252067,0.200317
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,56,0.141216,0.00148,0.046989,0.0136,0.254107,0.203285
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,57,0.14928,0.00162,0.04575,0.013888,0.261877,0.210538
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,58,0.142208,0.0016,0.046179,0.015168,0.256627,0.205155
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,59,0.141984,0.00159,0.045959,0.014976,0.250987,0.204509
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,60,0.142976,0.001499,0.046299,0.014304,0.254147,0.205078
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,61,0.140704,0.001541,0.04594,0.014048,0.252977,0.202233
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,62,0.142656,0.0015,0.04562,0.013504,0.254857,0.20328
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,63,0.141696,0.00159,0.046939,0.01312,0.255907,0.203345
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,64,0.14096,0.001519,0.045569,0.013408,0.251147,0.201456
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,65,0.142688,0.00156,0.03838,0.016896,0.241067,0.199524
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,66,0.142848,0.001521,0.046539,0.013856,0.255427,0.204764
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,67,0.140544,0.00156,0.045059,0.01328,0.251097,0.200443
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,68,0.142528,0.001649,0.04631,0.014656,0.255657,0.205143
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,69,0.14064,0.00155,0.052,0.014336,0.258087,0.208526
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,70,0.145696,0.001639,0.039729,0.016,0.244907,0.203064
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,71,0.140672,0.00164,0.047689,0.014112,0.257417,0.204113
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,72,0.142688,0.001619,0.046359,0.013472,0.255937,0.204138
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,73,0.141344,0.00169,0.044999,0.013696,0.250997,0.201729
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",64,74,0.140544,0.001641,0.04638,0.015424,0.438755,0.203989
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,0,0.822784,0.00199,0.097279,0.039744,1.02691,0.961797
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,1,0.811296,0.00172,0.08242,0.03184,0.979978,0.927276
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,2,0.801184,0.001599,0.082119,0.02864,0.964499,0.913542
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,3,0.80752,0.00156,0.083019,0.031328,0.976049,0.923427
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,4,0.797024,0.00166,0.08205,0.02896,0.962119,0.909694
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,5,0.799584,0.00156,0.082158,0.03088,0.965139,0.914182
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,6,0.7896,0.0018,0.07401,0.033728,0.940949,0.899138
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,7,0.802208,0.00167,0.08229,0.02784,0.967879,0.914008
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,8,0.809824,0.00163,0.081429,0.030048,0.976709,0.922931
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,9,0.807936,0.00172,0.083689,0.0288,0.976318,0.922145
